TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075555,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۷:۲۹:۵۴,۱۴۰۲/۰۶/۰۵ ۱۷:۲۹:۵۴,/Reports/Decision.aspx?LetterSerial=vZe7STOaJ5R1LIDbaOMLdA%3d%3d&rt=8&let=58&ct=0&ft=-1
1064483,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۵۵:۱۷,۱۴۰۲/۰۵/۰۴ ۱۷:۵۵:۱۷,/Reports/Decision.aspx?LetterSerial=67jQQQaQQQmLEDVls8MdS9%2bmlfwg%3d%3d&rt=8&let=58&ct=0&ft=-1
1046729,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۶:۵۶:۳۲,۱۴۰۲/۰۴/۰۶ ۱۶:۵۶:۳۲,/Reports/Decision.aspx?LetterSerial=CV2euNqpYdkIBahJMB574w%3d%3d&rt=8&let=58&ct=0&ft=-1
1031674,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۰۹:۱۳,۱۴۰۲/۰۳/۰۶ ۱۶:۰۹:۱۳,/Reports/Decision.aspx?LetterSerial=DVfnRGwPDQQQaQQQO0Ftk8XNFDjA%3d%3d&rt=8&let=58&ct=0&ft=-1
1018570,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۳:۰۷:۰۹,۱۴۰۲/۰۲/۰۹ ۱۳:۰۷:۰۹,/Reports/Decision.aspx?LetterSerial=9l17W4OcQinCS2aCifPxLA%3d%3d&rt=8&let=58&ct=0&ft=-1
1008841,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۵:۵۰:۱۶,۱۴۰۲/۰۱/۰۸ ۱۵:۵۰:۱۶,/Reports/Decision.aspx?LetterSerial=gdS9VZ82tW5Mia0Gf8QQQaQQQ5zg%3d%3d&rt=8&let=58&ct=0&ft=-1
996470,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۲:۲۰:۰۷,۱۴۰۱/۱۲/۰۴ ۱۲:۲۰:۰۷,/Reports/Decision.aspx?LetterSerial=rc58iOnIPGGcoSe7cVHKiA%3d%3d&rt=8&let=58&ct=0&ft=-1
986832,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۵۲:۰۳,۱۴۰۱/۱۱/۰۴ ۱۱:۵۲:۰۳,/Reports/Decision.aspx?LetterSerial=aBVRQQQaQQQvP8C8bmdgq0nfi7bA%3d%3d&rt=8&let=58&ct=0&ft=-1
974389,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۱:۳۰:۳۴,۱۴۰۱/۱۰/۰۵ ۱۱:۳۰:۳۴,/Reports/Decision.aspx?LetterSerial=Q9bYiDua1lxXarwZzH3YSQ%3d%3d&rt=8&let=58&ct=0&ft=-1
962924,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۰:۳۷:۱۲,۱۴۰۱/۰۹/۰۵ ۱۰:۳۷:۱۲,/Reports/Decision.aspx?LetterSerial=8Ikj4yricCXj7L71sO8ZsQ%3d%3d&rt=8&let=58&ct=0&ft=-1
952505,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۰۸ ۱۰:۵۶:۱۰,۱۴۰۱/۰۸/۰۸ ۱۰:۵۶:۱۰,/Reports/Decision.aspx?LetterSerial=rKxEsxoM2Hh8LBRtoCzwgA%3d%3d&rt=8&let=58&ct=0&ft=-1
948096,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۲:۵۰:۵۱,۱۴۰۱/۰۸/۰۵ ۱۲:۵۰:۵۱,/Reports/Decision.aspx?LetterSerial=GqAPTR%2bxmi96nMjLMFXp2w%3d%3d&rt=8&let=58&ct=0&ft=-1
946427,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۱۰:۳۰:۱۳,۱۴۰۱/۰۷/۲۷ ۱۰:۳۰:۱۳,/Reports/Decision.aspx?LetterSerial=KQQQaQQQFWC7HkxlOlTVjE%2bVJ2dg%3d%3d&rt=8&let=58&ct=0&ft=-1
941554,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۵ ۱۰:۴۳:۱۳,۱۴۰۱/۰۷/۰۵ ۱۰:۴۳:۱۳,/Reports/Decision.aspx?LetterSerial=vB5qYLDvmd9YgQ5cJzeCrA%3d%3d&rt=8&let=58&ct=0&ft=-1
930820,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۷:۰۰:۱۷,۱۴۰۱/۰۶/۰۵ ۱۷:۰۰:۱۷,/Reports/Decision.aspx?LetterSerial=FFwo1jQhRZJE4ryQjKU%2bTw%3d%3d&rt=8&let=58&ct=0&ft=-1
928483,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۱:۵۵:۲۷,۱۴۰۱/۰۶/۰۵ ۱۱:۵۵:۲۷,/Reports/Decision.aspx?LetterSerial=Mm9DSB4ml3CrlXfCTZanhw%3d%3d&rt=8&let=58&ct=0&ft=-1
926021,زگلدشت,کشت و دام گلدشت نمونه اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۲۸ ۰۸:۵۶:۲۴,۱۴۰۱/۰۵/۲۸ ۰۸:۵۶:۲۴,/Reports/Decision.aspx?LetterSerial=KGqddFaQHfonsFgEJreIQQ%3d%3d&rt=8&let=58&ct=0&ft=-1
