TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074833,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۲:۵۷:۵۸,۱۴۰۲/۰۶/۰۴ ۱۲:۵۷:۵۸,/Reports/Decision.aspx?LetterSerial=d6VQQQaQQQ8O6CZpMKRJMSGt1k5Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1061999,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۰:۲۰:۳۴,۱۴۰۲/۰۵/۰۳ ۱۰:۲۰:۳۴,/Reports/Decision.aspx?LetterSerial=7NmQQQaQQQ5pvO1RnJWQQQaQQQu5VnKzLA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044240,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۵:۲۲:۳۶,۱۴۰۲/۰۴/۰۳ ۱۵:۲۲:۳۶,/Reports/Decision.aspx?LetterSerial=iwm%2bhCgaiO02kbV0nqwzfQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029772,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۶:۰۲:۱۲,۱۴۰۲/۰۳/۰۲ ۱۶:۰۲:۱۲,/Reports/Decision.aspx?LetterSerial=EdRdQQQaQQQr6yBhrmlcPCOwDVMQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1015980,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۲:۱۳:۵۴,۱۴۰۲/۰۲/۰۴ ۱۲:۱۳:۵۴,/Reports/Decision.aspx?LetterSerial=lXkF9pwrLlueiCBQQQaQQQ2uhiqA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006337,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۲:۴۶:۵۴,۱۴۰۲/۰۱/۰۷ ۱۲:۴۶:۵۴,/Reports/Decision.aspx?LetterSerial=dIJK9Kkuvhp0TpAriYYnKQ%3d%3d&rt=0&let=58&ct=0&ft=-1
994933,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۱۰:۴۹:۴۰,۱۴۰۱/۱۲/۰۲ ۱۰:۴۹:۴۰,/Reports/Decision.aspx?LetterSerial=hwKqAEgyU0ViuffaOTso0Q%3d%3d&rt=0&let=58&ct=0&ft=-1
985750,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۲ ۱۶:۲۵:۴۹,۱۴۰۱/۱۱/۰۲ ۱۶:۲۵:۴۹,/Reports/Decision.aspx?LetterSerial=DOvMdoBWbjZFgAKs4wBxxg%3d%3d&rt=0&let=58&ct=0&ft=-1
974216,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۳:۴۶:۲۶,۱۴۰۱/۱۰/۰۴ ۱۳:۴۶:۲۶,/Reports/Decision.aspx?LetterSerial=uc0QQQaQQQyev0EaRgM%2bfp4tHQQQaQQQFQ%3d%3d&rt=0&let=58&ct=0&ft=-1
961789,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۱ ۱۳:۲۴:۵۶,۱۴۰۱/۰۹/۰۱ ۱۳:۲۴:۵۶,/Reports/Decision.aspx?LetterSerial=kyDbdsR9T4vrH66BL8c6uw%3d%3d&rt=0&let=58&ct=0&ft=-1
949720,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۰۱ ۱۶:۲۲:۰۹,۱۴۰۱/۰۸/۰۱ ۱۶:۲۲:۰۹,/Reports/Decision.aspx?LetterSerial=nlGgj2L9YuT9lQQQaQQQYdG1NOfg%3d%3d&rt=0&let=58&ct=0&ft=-1
949620,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۱ ۱۵:۵۷:۵۵,۱۴۰۱/۰۸/۰۱ ۱۵:۵۷:۵۵,/Reports/Decision.aspx?LetterSerial=35nHsJ4RY093XfBV0GCROQ%3d%3d&rt=0&let=58&ct=0&ft=-1
941163,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۴:۱۹:۴۴,۱۴۰۱/۰۷/۰۴ ۱۴:۱۹:۴۴,/Reports/Decision.aspx?LetterSerial=ntxsvLbDMzXkaHESKKrT%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
928071,ساربیل,سیمان آرتا اردبیل (سیمان اردبیل و آهک آذرشهر),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۱ ۱۶:۳۵:۳۳,۱۴۰۱/۰۶/۰۱ ۱۶:۳۵:۳۳,/Reports/Decision.aspx?LetterSerial=IpE27UtNvuLQZPSt5be6GQ%3d%3d&rt=0&let=58&ct=0&ft=-1
