TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076354,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۸ ۱۰:۵۳:۳۰,۱۴۰۲/۰۶/۰۸ ۱۰:۵۳:۳۰,/Reports/Decision.aspx?LetterSerial=AYWfHZWhS09hRrZ10ItbVQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1074834,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۷:۲۵:۰۹,۱۴۰۲/۰۶/۰۵ ۱۷:۲۵:۰۹,/Reports/Decision.aspx?LetterSerial=YgNG0ie3n9Kd45CMUNOG3A%3d%3d&rt=0&let=58&ct=0&ft=-1
1064411,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۴۴:۰۲,۱۴۰۲/۰۵/۰۴ ۱۷:۴۴:۰۲,/Reports/Decision.aspx?LetterSerial=2u0sc0Vitdm98g46iygzLg%3d%3d&rt=0&let=58&ct=0&ft=-1
1048637,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۰ ۱۲:۴۸:۵۱,۱۴۰۲/۰۴/۱۰ ۱۲:۴۸:۵۱,/Reports/Decision.aspx?LetterSerial=oWtv5GILzi%2bmN3i3WnXNBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046262,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۹:۳۷:۱۲,۱۴۰۲/۰۴/۰۵ ۱۹:۳۷:۱۲,/Reports/Decision.aspx?LetterSerial=UZoJmY7UXz4sO9GXN8NRhA%3d%3d&rt=0&let=58&ct=0&ft=-1
1031157,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۵ ۱۴:۴۰:۵۸,۱۴۰۲/۰۳/۰۵ ۱۴:۴۰:۵۸,/Reports/Decision.aspx?LetterSerial=wvlQgZe2NkO8yY7KuTDRgQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016769,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۹:۴۷:۳۹,۱۴۰۲/۰۲/۰۵ ۱۹:۴۷:۳۹,/Reports/Decision.aspx?LetterSerial=GwxOwtuMNqveYi2DsGkMlQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006423,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۴:۱۷:۰۸,۱۴۰۲/۰۱/۰۸ ۱۴:۱۷:۰۸,/Reports/Decision.aspx?LetterSerial=j761HiyDRJ%2bUX9PSeZmhkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996474,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۰:۴۶:۴۸,۱۴۰۱/۱۲/۰۶ ۱۰:۴۶:۴۸,/Reports/Decision.aspx?LetterSerial=xfmCsUTe1eiWdNodbtQQQaQQQMtw%3d%3d&rt=0&let=58&ct=0&ft=-1
986753,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۰۶:۵۵,۱۴۰۱/۱۱/۰۵ ۱۶:۰۶:۵۵,/Reports/Decision.aspx?LetterSerial=5TQQDqRwh1eFtaqX0DNn2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
975209,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۸:۲۷:۳۶,۱۴۰۱/۱۰/۰۵ ۱۸:۲۷:۳۶,/Reports/Decision.aspx?LetterSerial=wHRHtl4REDlhpl2r5ydJXA%3d%3d&rt=0&let=58&ct=0&ft=-1
963142,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۸:۴۶:۴۴,۱۴۰۱/۰۹/۰۵ ۱۸:۴۶:۴۴,/Reports/Decision.aspx?LetterSerial=feVrCqC2QJQQQaQQQU5xCJnPQQQaQQQYxQ%3d%3d&rt=0&let=58&ct=0&ft=-1
951281,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۵:۳۹:۲۱,۱۴۰۱/۰۸/۰۵ ۱۵:۳۹:۲۱,/Reports/Decision.aspx?LetterSerial=ZZLbcRF9VOaoy0NYUtEzYg%3d%3d&rt=0&let=58&ct=0&ft=-1
942111,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۷ ۱۸:۳۲:۴۳,۱۴۰۱/۰۷/۰۷ ۱۸:۳۲:۴۳,/Reports/Decision.aspx?LetterSerial=hXmOCYEfb7p0CQSVGxWmlg%3d%3d&rt=0&let=58&ct=0&ft=-1
928774,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۶:۱۹:۵۱,۱۴۰۱/۰۶/۰۵ ۱۶:۱۹:۵۱,/Reports/Decision.aspx?LetterSerial=EazmnJhQQQaQQQ0QQQaQQQniuMkjTbUv1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
919313,ساروم,سیمان ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۳:۲۰:۳۳,۱۴۰۱/۰۵/۰۵ ۱۳:۲۰:۳۳,/Reports/Decision.aspx?LetterSerial=tHaIi4Zg0hDnIDg8g6AHHg%3d%3d&rt=0&let=58&ct=0&ft=-1
