TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074087,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۹:۰۰:۰۴,۱۴۰۲/۰۶/۰۴ ۱۹:۰۰:۰۴,/Reports/Decision.aspx?LetterSerial=lkEdGQQQaQQQoHZvtRsLisQQQaQQQYzK6g%3d%3d&rt=0&let=58&ct=0&ft=-1
1066550,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۹ ۱۹:۰۲:۴۱,۱۴۰۲/۰۵/۰۹ ۱۹:۰۲:۴۱,/Reports/Decision.aspx?LetterSerial=XhwSh8EJvGGpGnQQQaQQQNcHoycg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063949,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۰۰:۴۱,۱۴۰۲/۰۵/۰۴ ۱۷:۰۰:۴۱,/Reports/Decision.aspx?LetterSerial=W9aqujMYf6cmxvGBkasffw%3d%3d&rt=0&let=58&ct=0&ft=-1
1053395,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۸ ۱۹:۳۴:۵۶,۱۴۰۲/۰۴/۱۸ ۱۹:۳۴:۵۶,/Reports/Decision.aspx?LetterSerial=Z2d8MS7HrluuJvyzEnhu1g%3d%3d&rt=0&let=58&ct=0&ft=-1
1037374,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۰:۲۶:۲۴,۱۴۰۲/۰۴/۰۴ ۱۰:۲۶:۲۴,/Reports/Decision.aspx?LetterSerial=OCd3WpLnirEtCng6Xm18fg%3d%3d&rt=0&let=58&ct=0&ft=-1
1028841,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۴:۴۰:۴۲,۱۴۰۲/۰۳/۰۳ ۱۴:۴۰:۴۲,/Reports/Decision.aspx?LetterSerial=G7PhN83aMwcU0XN9831dSA%3d%3d&rt=0&let=58&ct=0&ft=-1
1023788,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۰ ۱۴:۰۴:۲۰,۱۴۰۲/۰۲/۲۰ ۱۴:۰۴:۲۰,/Reports/Decision.aspx?LetterSerial=Fnk8znCPajtu72wqfTnp3A%3d%3d&rt=0&let=58&ct=0&ft=-1
1016382,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۵:۴۲:۳۹,۱۴۰۲/۰۲/۰۶ ۱۵:۴۲:۳۹,/Reports/Decision.aspx?LetterSerial=p1hTu7Z%2b4Quf21171tCqSQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1008742,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۳:۳۲:۳۶,۱۴۰۲/۰۱/۰۸ ۱۳:۳۲:۳۶,/Reports/Decision.aspx?LetterSerial=CJ5SAhn7U%2b6tQQQaQQQgpQQQaQQQUYIhGw%3d%3d&rt=0&let=58&ct=0&ft=-1
1006959,ساوه,سیمان ساوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۵:۴۷:۴۸,۱۴۰۲/۰۱/۰۷ ۱۵:۴۷:۴۸,/Reports/Decision.aspx?LetterSerial=%2bsMXznneZc0ZTZcNEXvU9A%3d%3d&rt=0&let=58&ct=0&ft=-1
