TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074779,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۴:۴۹:۵۳,۱۴۰۲/۰۶/۰۵ ۱۴:۴۹:۵۳,/Reports/Decision.aspx?LetterSerial=5Lb5nqvyMklrZiIu%2bcK1Bg%3d%3d&rt=0&let=58&ct=0&ft=-1
1062949,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۵:۵۵:۵۸,۱۴۰۲/۰۵/۰۳ ۱۵:۵۵:۵۸,/Reports/Decision.aspx?LetterSerial=jvvYtAp0Jrg%2b8P8DY6kFNA%3d%3d&rt=0&let=58&ct=0&ft=-1
1061050,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۳۱ ۱۱:۴۲:۴۰,۱۴۰۲/۰۴/۳۱ ۱۱:۴۲:۴۰,/Reports/Decision.aspx?LetterSerial=o%2b415oP9Vv7qBHXbvvSzVw%3d%3d&rt=0&let=58&ct=0&ft=-1
1058076,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۳۱ ۰۹:۵۹:۰۶,۱۴۰۲/۰۴/۳۱ ۰۹:۵۹:۰۶,/Reports/Decision.aspx?LetterSerial=mNcUhJ5cU1ssdKsIrjbRGw%3d%3d&rt=0&let=58&ct=0&ft=-1
1058087,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۳۱ ۰۹:۵۱:۰۵,۱۴۰۲/۰۴/۳۱ ۰۹:۵۱:۰۵,/Reports/Decision.aspx?LetterSerial=jffhgSoS%2bxHuIl4dc3xUtw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045184,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۹:۳۲:۰۰,۱۴۰۲/۰۴/۰۵ ۱۹:۳۲:۰۰,/Reports/Decision.aspx?LetterSerial=ezPxu8tA3hstf4Q9xD8tbw%3d%3d&rt=0&let=58&ct=0&ft=-1
1039781,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۳ ۱۶:۴۰:۱۵,۱۴۰۲/۰۳/۲۳ ۱۶:۴۰:۱۵,/Reports/Decision.aspx?LetterSerial=Vqz8PYFMS6FaSACLCO2U6w%3d%3d&rt=0&let=58&ct=0&ft=-1
1029652,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۳:۳۷:۳۵,۱۴۰۲/۰۳/۰۴ ۱۳:۳۷:۳۵,/Reports/Decision.aspx?LetterSerial=e5%2bbcxO8MZ3xsNJrnqZUeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1017552,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۳:۱۷:۴۱,۱۴۰۲/۰۲/۰۶ ۱۳:۱۷:۴۱,/Reports/Decision.aspx?LetterSerial=mqGf8fULcOpMrWBWxK21iw%3d%3d&rt=0&let=58&ct=0&ft=-1
1006764,سباقر,سیمان باقران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۰:۰۱:۱۷,۱۴۰۲/۰۱/۰۷ ۱۰:۰۱:۱۷,/Reports/Decision.aspx?LetterSerial=zjcxMplS2aRHIyuk3%2bKt6w%3d%3d&rt=0&let=58&ct=0&ft=-1
