TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075834,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۰۴:۱۵,۱۴۰۲/۰۶/۰۵ ۱۸:۰۴:۱۵,/Reports/Decision.aspx?LetterSerial=dpUV9jQQQaQQQOf8sDqFz8rtm4iw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064427,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۲۴:۴۲,۱۴۰۲/۰۵/۰۴ ۱۵:۲۴:۴۲,/Reports/Decision.aspx?LetterSerial=XDQQQaQQQpdkeyTTPREs5NPJlySA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046582,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۲۳:۵۵:۴۱,۱۴۰۲/۰۴/۰۵ ۲۳:۵۵:۴۱,/Reports/Decision.aspx?LetterSerial=gFWYHsbveZQNxQEabSNUiQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1032668,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۸:۳۷:۲۵,۱۴۰۲/۰۳/۰۷ ۱۸:۳۷:۲۵,/Reports/Decision.aspx?LetterSerial=xjhZlXdx1AKeQPkuASfVaQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1032613,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۵۳:۱۶,۱۴۰۲/۰۳/۰۷ ۱۷:۵۳:۱۶,/Reports/Decision.aspx?LetterSerial=Lmy%2bCC83QjJyVelLnVUCkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031182,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۵ ۲۳:۰۹:۲۲,۱۴۰۲/۰۳/۰۵ ۲۳:۰۹:۲۲,/Reports/Decision.aspx?LetterSerial=oXLP9gQQQaQQQKX5SwFyRgxnn8hw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016921,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۲۳:۲۲:۱۵,۱۴۰۲/۰۲/۰۵ ۲۳:۲۲:۱۵,/Reports/Decision.aspx?LetterSerial=J95%2b5eSoBIwEF33SaPIo7A%3d%3d&rt=0&let=58&ct=0&ft=-1
1016913,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۵ ۲۲:۵۱:۲۷,۱۴۰۲/۰۲/۰۵ ۲۲:۵۱:۲۷,/Reports/Decision.aspx?LetterSerial=WKBa8oiHQQQaQQQeJenJXproPl7g%3d%3d&rt=0&let=58&ct=0&ft=-1
1009283,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۶:۴۳:۰۲,۱۴۰۲/۰۱/۰۹ ۱۶:۴۳:۰۲,/Reports/Decision.aspx?LetterSerial=LDy2cQVRI6ex1Q0FNQQQaQQQjLwg%3d%3d&rt=0&let=58&ct=0&ft=-1
996809,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۵:۱۳:۴۱,۱۴۰۱/۱۲/۰۶ ۱۵:۱۳:۴۱,/Reports/Decision.aspx?LetterSerial=7icdB4199QQQaQQQWD59EYwQp6bw%3d%3d&rt=0&let=58&ct=0&ft=-1
987910,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۸:۲۷:۰۴,۱۴۰۱/۱۱/۰۵ ۱۸:۲۷:۰۴,/Reports/Decision.aspx?LetterSerial=qD2lry8W38HO3RT5UqRDsQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987292,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۳۸:۵۶,۱۴۰۱/۱۱/۰۵ ۱۲:۳۸:۵۶,/Reports/Decision.aspx?LetterSerial=JsjZZxIO5VOK%2b8dnkYa%2b9w%3d%3d&rt=0&let=58&ct=0&ft=-1
975040,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۰:۱۹:۰۶,۱۴۰۱/۱۰/۰۵ ۱۰:۱۹:۰۶,/Reports/Decision.aspx?LetterSerial=hQoSHkAMvlDTHKiL1UMMPg%3d%3d&rt=0&let=58&ct=0&ft=-1
963085,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۲:۱۷:۲۷,۱۴۰۱/۰۹/۰۵ ۱۲:۱۷:۲۷,/Reports/Decision.aspx?LetterSerial=OGnezRQQQaQQQqbppfC2YRt3fKMQ%3d%3d&rt=0&let=58&ct=0&ft=-1
955500,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۱۷ ۱۳:۴۳:۵۹,۱۴۰۱/۰۸/۱۷ ۱۳:۴۳:۵۹,/Reports/Decision.aspx?LetterSerial=fnNAdubZLVMwpsBRRa3pPA%3d%3d&rt=0&let=58&ct=0&ft=-1
951462,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۰۹:۵۵:۳۴,۱۴۰۱/۰۸/۰۵ ۰۹:۵۵:۳۴,/Reports/Decision.aspx?LetterSerial=ofqdLRYm7syloB4CeKmZDA%3d%3d&rt=0&let=58&ct=0&ft=-1
941252,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۲:۲۴:۳۴,۱۴۰۱/۰۷/۰۴ ۱۲:۲۴:۳۴,/Reports/Decision.aspx?LetterSerial=Zl5uan4gY69Bi8F4F5Dwlg%3d%3d&rt=0&let=58&ct=0&ft=-1
930386,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۰:۲۹:۰۶,۱۴۰۱/۰۶/۰۵ ۱۰:۲۹:۰۶,/Reports/Decision.aspx?LetterSerial=DHMeVr%2bOuAg6BFMTGshWig%3d%3d&rt=0&let=58&ct=0&ft=-1
930334,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۰۵ ۰۹:۴۴:۴۶,۱۴۰۱/۰۶/۰۵ ۰۹:۴۴:۴۶,/Reports/Decision.aspx?LetterSerial=ohTvjvw4QQQaQQQJgBv4%2bo2099tA%3d%3d&rt=0&let=58&ct=0&ft=-1
919538,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۵:۰۲:۴۳,۱۴۰۱/۰۵/۰۵ ۱۵:۰۲:۴۳,/Reports/Decision.aspx?LetterSerial=QQQaQQQAQQQaQQQOndLtnQ28Rq1Y5x4i2A%3d%3d&rt=0&let=58&ct=0&ft=-1
916136,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۴:۵۲:۰۶,۱۴۰۱/۰۴/۳۰ ۱۴:۵۲:۰۶,/Reports/Decision.aspx?LetterSerial=E0LapM7DnsNmKse1xKzskw%3d%3d&rt=0&let=58&ct=0&ft=-1
902564,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۹:۳۳:۱۵,۱۴۰۱/۰۴/۰۵ ۱۹:۳۳:۱۵,/Reports/Decision.aspx?LetterSerial=ZD3eigiQQQaQQQA7as3Ro8G6oVYw%3d%3d&rt=0&let=58&ct=0&ft=-1
887204,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۳ ۱۷:۴۱:۵۴,۱۴۰۱/۰۳/۰۳ ۱۷:۴۱:۵۴,/Reports/Decision.aspx?LetterSerial=grI9v8eF4AeTayFBqRpo0w%3d%3d&rt=0&let=58&ct=0&ft=-1
887096,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۰۳ ۱۷:۰۸:۲۰,۱۴۰۱/۰۳/۰۳ ۱۷:۰۸:۲۰,/Reports/Decision.aspx?LetterSerial=%2bE3awcQQQaQQQ5dPZyOrTB0dlH9Q%3d%3d&rt=0&let=58&ct=0&ft=-1
874896,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۵ ۱۹:۵۲:۴۲,۱۴۰۱/۰۲/۰۵ ۱۹:۵۲:۴۲,/Reports/Decision.aspx?LetterSerial=qe7A90O9tsGrARzL6EUlTw%3D%3D&rt=0&let=58&ct=0&ft=-1
864834,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۶ ۱۶:۰۹:۲۷,۱۴۰۱/۰۱/۰۶ ۱۶:۰۹:۲۷,/Reports/Decision.aspx?LetterSerial=h0PeE9l60taXeQQQaQQQBezfOyOQ%3D%3D&rt=0&let=58&ct=0&ft=-1
857360,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۵ ۱۰:۳۳:۲۵,۱۴۰۰/۱۲/۰۵ ۱۰:۳۳:۲۵,/Reports/Decision.aspx?LetterSerial=kaIAd6R66osbfN4OlvnsOg%3D%3D&rt=0&let=58&ct=0&ft=-1
848282,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۷:۲۵:۰۴,۱۴۰۰/۱۱/۰۵ ۱۷:۲۵:۰۴,/Reports/Decision.aspx?LetterSerial=DGT0%2BFQQQaQQQC7ZYmd1gO9%2Bm0QQQaQQQQ%3D%3D&rt=0&let=58&ct=0&ft=-1
835684,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۱۸:۴۱:۲۱,۱۴۰۰/۱۰/۰۵ ۱۸:۴۱:۲۱,/Reports/Decision.aspx?LetterSerial=1P2bVxMRps6tudTzPv5XpA%3D%3D&rt=0&let=58&ct=0&ft=-1
822688,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۵ ۱۶:۱۳:۰۷,۱۴۰۰/۰۹/۰۵ ۱۶:۱۳:۰۷,/Reports/Decision.aspx?LetterSerial=gsIFCQjv81D%2BUJbr3%2BAicg%3D%3D&rt=0&let=58&ct=0&ft=-1
811116,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۵ ۱۷:۳۱:۵۷,۱۴۰۰/۰۸/۰۵ ۱۷:۳۱:۵۷,/Reports/Decision.aspx?LetterSerial=FLLwfp%2BfBds3P7gfOI%2BQQQaQQQ7w%3D%3D&rt=0&let=58&ct=0&ft=-1
799932,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۰/۰۷/۰۴ ۲۰:۵۰:۲۴,۱۴۰۰/۰۷/۰۴ ۲۰:۵۰:۲۴,/Reports/Decision.aspx?LetterSerial=3qYMelevD1P4IEiUFaf6ow%3D%3D&rt=0&let=58&ct=0&ft=-1
799917,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۴ ۱۹:۵۰:۲۷,۱۴۰۰/۰۷/۰۴ ۱۹:۵۰:۲۷,/Reports/Decision.aspx?LetterSerial=y%2Bg2vZCnxOimg3itWnQQQaQQQdQA%3D%3D&rt=0&let=58&ct=0&ft=-1
786159,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۴ ۱۸:۲۰:۱۴,۱۴۰۰/۰۶/۰۴ ۱۸:۲۰:۱۴,/Reports/Decision.aspx?LetterSerial=4fFNOCuxsJtl0QQQaQQQMLX2foBA%3D%3D&rt=0&let=58&ct=0&ft=-1
778350,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۰/۰۵/۰۶ ۱۷:۴۶:۳۳,۱۴۰۰/۰۵/۰۶ ۱۷:۴۶:۳۳,/Reports/Decision.aspx?LetterSerial=dlx94TboRU9pzQQQaQQQgoWZrc3Q%3D%3D&rt=0&let=58&ct=0&ft=-1
777579,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۷:۱۴:۵۱,۱۴۰۰/۰۵/۰۵ ۱۷:۱۴:۵۱,/Reports/Decision.aspx?LetterSerial=1Ih3dzsXLIT7ZCZVrISobQ%3D%3D&rt=0&let=58&ct=0&ft=-1
762594,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۵ ۱۸:۴۹:۲۹,۱۴۰۰/۰۴/۰۵ ۱۸:۴۹:۲۹,/Reports/Decision.aspx?LetterSerial=nlbQQQaQQQP8kajwH7WPuD51I96Q%3D%3D&rt=0&let=58&ct=0&ft=-1
751562,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۵:۲۵:۳۶,۱۴۰۰/۰۳/۰۵ ۱۵:۲۵:۳۶,/Reports/Decision.aspx?LetterSerial=u0JfSfQDVtCtaRDwJStiSw%3D%3D&rt=0&let=58&ct=0&ft=-1
740596,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۵ ۲۰:۰۶:۵۲,۱۴۰۰/۰۲/۰۵ ۲۰:۰۶:۵۲,/Reports/Decision.aspx?LetterSerial=Orkzs3ubJoLzl7Dv0qzQQg%3D%3D&rt=0&let=58&ct=0&ft=-1
733350,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۴ ۱۷:۱۱:۵۵,۱۴۰۰/۰۱/۱۴ ۱۷:۱۱:۵۵,/Reports/Decision.aspx?LetterSerial=btftWfaipSL1KQW5u%2BXvSQ%3D%3D&rt=0&let=58&ct=0&ft=-1
725178,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۵ ۱۸:۴۱:۳۷,۱۳۹۹/۱۲/۰۵ ۱۸:۴۱:۳۷,/Reports/Decision.aspx?LetterSerial=qXW4QQQaQQQXylW2syWtgFlj7r%2BA%3D%3D&rt=0&let=58&ct=0&ft=-1
716188,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۵ ۱۶:۵۲:۱۰,۱۳۹۹/۱۱/۰۵ ۱۶:۵۲:۱۰,/Reports/Decision.aspx?LetterSerial=Y8Tc9VdxoCXfgeJQPqQQQaQQQkmg%3D%3D&rt=0&let=58&ct=0&ft=-1
705952,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۵ ۲۲:۴۶:۰۹,۱۳۹۹/۱۰/۰۵ ۲۲:۴۶:۰۹,/Reports/Decision.aspx?LetterSerial=vwAdkbLvUXteGtOAEvOqaQ%3D%3D&rt=0&let=58&ct=0&ft=-1
696587,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۳ ۱۵:۴۹:۳۶,۱۳۹۹/۰۹/۰۳ ۱۵:۴۹:۳۶,/Reports/Decision.aspx?LetterSerial=cPGMY8HVQ%2BU1hwSe%2BcIOFg%3D%3D&rt=0&let=58&ct=0&ft=-1
686727,سخوز,سیمان خوزستان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۰۵ ۱۸:۱۵:۰۳,۱۳۹۹/۰۸/۰۵ ۱۸:۱۵:۰۳,/Reports/Decision.aspx?LetterSerial=zwNF1qdt7tIvjSr1fK%2BK4A%3D%3D&rt=0&let=58&ct=0&ft=-1
