TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074874,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۱:۳۱:۲۲,۱۴۰۲/۰۶/۰۴ ۱۱:۳۱:۲۲,/Reports/Decision.aspx?LetterSerial=myy9A5JPRthYUpnBdH%2b4Gg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063903,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۷:۰۱:۰۸,۱۴۰۲/۰۵/۰۳ ۱۷:۰۱:۰۸,/Reports/Decision.aspx?LetterSerial=1GHo%2bn1pw8XM0f0QGV7PKw%3d%3d&rt=0&let=58&ct=0&ft=-1
1044912,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۹:۰۶:۳۲,۱۴۰۲/۰۴/۰۳ ۱۹:۰۶:۳۲,/Reports/Decision.aspx?LetterSerial=mZy5DQQQaQQQx4xoSm8k8w3wlBOA%3d%3d&rt=0&let=58&ct=0&ft=-1
1029902,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۶:۵۱:۳۲,۱۴۰۲/۰۳/۰۲ ۱۶:۵۱:۳۲,/Reports/Decision.aspx?LetterSerial=oTBtpxioWwyx7okl8H65wA%3d%3d&rt=0&let=58&ct=0&ft=-1
1016862,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۵:۱۰:۲۴,۱۴۰۲/۰۲/۰۵ ۱۵:۱۰:۲۴,/Reports/Decision.aspx?LetterSerial=HYn4ICCK6DRX4XE5kmd5Sw%3d%3d&rt=0&let=58&ct=0&ft=-1
1010558,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۱۶ ۱۶:۴۲:۰۳,۱۴۰۲/۰۱/۱۶ ۱۶:۴۲:۰۳,/Reports/Decision.aspx?LetterSerial=GjO09sEAmUZJntJLvroZQg%3d%3d&rt=0&let=58&ct=0&ft=-1
1006538,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۰۸:۳۲:۴۶,۱۴۰۲/۰۱/۰۶ ۰۸:۳۲:۴۶,/Reports/Decision.aspx?LetterSerial=J3l6UHZ%2bYtbCS8%2b4ioRLQQQaQQQg%3d%3d&rt=0&let=58&ct=0&ft=-1
996614,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۱:۴۱:۴۶,۱۴۰۱/۱۲/۰۶ ۱۱:۴۱:۴۶,/Reports/Decision.aspx?LetterSerial=dVPS55lcGSQ6AB%2bFnjuQaA%3d%3d&rt=0&let=58&ct=0&ft=-1
986278,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۸:۰۶:۳۳,۱۴۰۱/۱۱/۰۳ ۱۸:۰۶:۳۳,/Reports/Decision.aspx?LetterSerial=xOEP7Wzf8F7VejtQQQaQQQUlMPyw%3d%3d&rt=0&let=58&ct=0&ft=-1
975663,سرود,سیمان شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۳:۱۷:۲۴,۱۴۰۱/۱۰/۰۷ ۱۳:۱۷:۲۴,/Reports/Decision.aspx?LetterSerial=LzPEawEztlJni9PWzwlNgQ%3d%3d&rt=0&let=58&ct=0&ft=-1
