TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074935,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۰۹:۰۱:۴۲,۱۴۰۲/۰۶/۰۷ ۰۹:۰۱:۴۲,/Reports/Decision.aspx?LetterSerial=FQQQaQQQsgkfOoakhrUYklq6QQQaQQQmdA%3d%3d&rt=0&let=58&ct=0&ft=-1
1061347,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۶:۱۹:۰۶,۱۴۰۲/۰۵/۰۷ ۱۶:۱۹:۰۶,/Reports/Decision.aspx?LetterSerial=tAaGV7QS53DyOnpKXBWS%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1047297,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۸:۰۵:۲۵,۱۴۰۲/۰۴/۰۶ ۱۸:۰۵:۲۵,/Reports/Decision.aspx?LetterSerial=j5VzWOnpQQQaQQQJT9wE0hhwYgCw%3d%3d&rt=0&let=58&ct=0&ft=-1
1046812,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۴:۱۸:۱۶,۱۴۰۲/۰۴/۰۶ ۱۴:۱۸:۱۶,/Reports/Decision.aspx?LetterSerial=KMEhXE4xPbDYA9kOFIcncA%3d%3d&rt=0&let=58&ct=0&ft=-1
1029544,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۸:۲۵:۲۵,۱۴۰۲/۰۳/۰۷ ۱۸:۲۵:۲۵,/Reports/Decision.aspx?LetterSerial=5w38TSBA4NZHDSsAfLn8pQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1017322,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۲۰:۵۰:۲۰,۱۴۰۲/۰۲/۰۶ ۲۰:۵۰:۲۰,/Reports/Decision.aspx?LetterSerial=GvXjAuU93Z66YseCOooJdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1008840,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۷:۱۶:۳۴,۱۴۰۲/۰۱/۰۸ ۱۷:۱۶:۳۴,/Reports/Decision.aspx?LetterSerial=gJRdytQQQaQQQfHELsgF1ex8KsCA%3d%3d&rt=0&let=58&ct=0&ft=-1
996783,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۳:۰۹:۱۲,۱۴۰۱/۱۲/۰۶ ۱۳:۰۹:۱۲,/Reports/Decision.aspx?LetterSerial=WrLT0qtjauf2Ikxk5HA7TA%3d%3d&rt=0&let=58&ct=0&ft=-1
986908,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۸:۲۹:۵۹,۱۴۰۱/۱۱/۰۴ ۱۸:۲۹:۵۹,/Reports/Decision.aspx?LetterSerial=ZUOj3bkynkJbUUXAgkYmuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975533,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۸:۵۶:۳۱,۱۴۰۱/۱۰/۰۵ ۱۸:۵۶:۳۱,/Reports/Decision.aspx?LetterSerial=nMAS0utrNyPU6QB6QAKG1g%3d%3d&rt=0&let=58&ct=0&ft=-1
964361,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۸:۴۱:۱۲,۱۴۰۱/۰۹/۰۶ ۱۸:۴۱:۱۲,/Reports/Decision.aspx?LetterSerial=pjAkgxH6dwEWU9UMsstM5A%3d%3d&rt=0&let=58&ct=0&ft=-1
951413,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۵:۳۷:۰۹,۱۴۰۱/۰۸/۰۴ ۱۵:۳۷:۰۹,/Reports/Decision.aspx?LetterSerial=jLB45NXbAaK6IoygoDh1sg%3d%3d&rt=0&let=58&ct=0&ft=-1
951123,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۵:۳۲:۴۲,۱۴۰۱/۰۸/۰۴ ۱۵:۳۲:۴۲,/Reports/Decision.aspx?LetterSerial=RYgyM5wIunyZE0QzrBR7GA%3d%3d&rt=0&let=58&ct=0&ft=-1
943456,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۱ ۱۵:۱۷:۰۱,۱۴۰۱/۰۷/۱۱ ۱۵:۱۷:۰۱,/Reports/Decision.aspx?LetterSerial=UMR9KKB2vhnpCx7i6Z0BDQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931008,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۰۹:۴۹:۲۷,۱۴۰۱/۰۶/۰۶ ۰۹:۴۹:۲۷,/Reports/Decision.aspx?LetterSerial=a%2b9c%2bhxDkahdQDdYG8r7mA%3d%3d&rt=0&let=58&ct=0&ft=-1
918488,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۰۹:۲۷:۵۳,۱۴۰۱/۰۵/۰۴ ۰۹:۲۷:۵۳,/Reports/Decision.aspx?LetterSerial=LWlVaAPI%2bIZ2EFWQ2wboNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
902189,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۴:۲۷:۳۸,۱۴۰۱/۰۴/۰۵ ۱۴:۲۷:۳۸,/Reports/Decision.aspx?LetterSerial=veY16jSMFGhpiDSdXaSD5g%3d%3d&rt=0&let=58&ct=0&ft=-1
886190,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۲ ۱۳:۴۴:۰۹,۱۴۰۱/۰۳/۰۲ ۱۳:۴۴:۰۹,/Reports/Decision.aspx?LetterSerial=uQQQaQQQYiqX9iguNQGRjZ1QQQaQQQtCuA%3d%3d&rt=0&let=58&ct=0&ft=-1
875009,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۶ ۱۰:۵۷:۴۰,۱۴۰۱/۰۲/۰۶ ۱۰:۵۷:۴۰,/Reports/Decision.aspx?LetterSerial=OZ8wxNM93b7frjtCA1LaGQ%3D%3D&rt=0&let=58&ct=0&ft=-1
865523,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۰۹:۳۳:۵۸,۱۴۰۱/۰۱/۱۰ ۰۹:۳۳:۵۸,/Reports/Decision.aspx?LetterSerial=PLwthZJT0xF3jQD2C38aXg%3D%3D&rt=0&let=58&ct=0&ft=-1
856647,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۰۹:۴۲:۳۵,۱۴۰۰/۱۲/۰۴ ۰۹:۴۲:۳۵,/Reports/Decision.aspx?LetterSerial=GtTQMiToA14DTnJJb2wwTw%3D%3D&rt=0&let=58&ct=0&ft=-1
846716,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۴ ۱۷:۵۶:۴۳,۱۴۰۰/۱۱/۰۴ ۱۷:۵۶:۴۳,/Reports/Decision.aspx?LetterSerial=rWjsPaQcRnfJFBs65TDAKw%3D%3D&rt=0&let=58&ct=0&ft=-1
835539,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۱۶:۴۵:۱۰,۱۴۰۰/۱۰/۰۵ ۱۶:۴۵:۱۰,/Reports/Decision.aspx?LetterSerial=QS6utVMhUpUz03kRoTMaKQ%3D%3D&rt=0&let=58&ct=0&ft=-1
821989,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۳ ۱۲:۲۷:۴۳,۱۴۰۰/۰۹/۰۳ ۱۲:۲۷:۴۳,/Reports/Decision.aspx?LetterSerial=ZCuNgRDD8AELO1JJd2O4Uw%3D%3D&rt=0&let=58&ct=0&ft=-1
809579,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۳ ۱۳:۵۲:۲۰,۱۴۰۰/۰۸/۰۳ ۱۳:۵۲:۲۰,/Reports/Decision.aspx?LetterSerial=8K7nSMfykQQQaQQQq1XfBp7b6daw%3D%3D&rt=0&let=58&ct=0&ft=-1
800792,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۷ ۱۲:۴۳:۳۳,۱۴۰۰/۰۷/۰۷ ۱۲:۴۳:۳۳,/Reports/Decision.aspx?LetterSerial=mTbepajnVey0HtxC01ar9g%3D%3D&rt=0&let=58&ct=0&ft=-1
786904,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۳:۱۱:۵۷,۱۴۰۰/۰۶/۰۷ ۱۳:۱۱:۵۷,/Reports/Decision.aspx?LetterSerial=S8ifGwzPHdtyIOOgxVgP4Q%3D%3D&rt=0&let=58&ct=0&ft=-1
777357,سشمال,سیمان شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۴:۵۱:۵۲,۱۴۰۰/۰۵/۰۵ ۱۴:۵۱:۵۲,/Reports/Decision.aspx?LetterSerial=cKFqtOXxwQQQaQQQBLWSoaPUP0Mg%3D%3D&rt=0&let=58&ct=0&ft=-1
