TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075376,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۲:۲۹:۰۰,۱۴۰۲/۰۶/۰۵ ۱۲:۲۹:۰۰,/Reports/Decision.aspx?LetterSerial=y8QQQaQQQ6Sx7TOtBU4Y5PS4Gbvg%3d%3d&rt=0&let=58&ct=0&ft=-1
1062833,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۴:۱۳:۰۲,۱۴۰۲/۰۵/۰۳ ۱۴:۱۳:۰۲,/Reports/Decision.aspx?LetterSerial=aiVgTQKYxOyr27GFblDPlw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045117,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۰:۳۸:۰۷,۱۴۰۲/۰۴/۰۵ ۱۰:۳۸:۰۷,/Reports/Decision.aspx?LetterSerial=OahmvbhQEB7UdUAaxihkDg%3d%3d&rt=0&let=58&ct=0&ft=-1
1030211,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۲:۳۳:۳۹,۱۴۰۲/۰۳/۰۳ ۱۲:۳۳:۳۹,/Reports/Decision.aspx?LetterSerial=gDAgioQFrejpKzsslJMAIg%3d%3d&rt=0&let=58&ct=0&ft=-1
1018154,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۸ ۱۲:۴۷:۳۵,۱۴۰۲/۰۲/۰۸ ۱۲:۴۷:۳۵,/Reports/Decision.aspx?LetterSerial=2epIW1T1o%2bsXeBtkaB4s1w%3d%3d&rt=0&let=58&ct=0&ft=-1
1008792,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۶:۰۴:۳۴,۱۴۰۲/۰۱/۰۸ ۱۶:۰۴:۳۴,/Reports/Decision.aspx?LetterSerial=QAZpNBUdxXMBQQQaQQQc8xaHEoDQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006833,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۶:۰۲:۰۷,۱۴۰۲/۰۱/۰۷ ۱۶:۰۲:۰۷,/Reports/Decision.aspx?LetterSerial=fL%2bP9OClNM6q3PgS%2btQvSg%3d%3d&rt=0&let=58&ct=0&ft=-1
995615,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۳:۵۴:۲۸,۱۴۰۱/۱۲/۰۳ ۱۳:۵۴:۲۸,/Reports/Decision.aspx?LetterSerial=ILXTjg8dn%2bfUiaHWObKdIg%3d%3d&rt=0&let=58&ct=0&ft=-1
985578,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۰:۵۶:۱۵,۱۴۰۱/۱۱/۰۴ ۱۰:۵۶:۱۵,/Reports/Decision.aspx?LetterSerial=1q1QQQaQQQCG8QqzuRl3g7YoDYUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974701,سصوفی,کارخانجات سیمان صوفیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۲:۰۲:۲۷,۱۴۰۱/۱۰/۰۵ ۱۲:۰۲:۲۷,/Reports/Decision.aspx?LetterSerial=Wz407FIiwzzX1wo%2bKd3vPg%3d%3d&rt=0&let=58&ct=0&ft=-1
