TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1085033,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۷/۰۱ ۱۱:۵۰:۰۴,۱۴۰۲/۰۷/۰۱ ۱۱:۵۰:۰۴,/Reports/Decision.aspx?LetterSerial=XkfxrqhwuFB7KgxlJ2OKeg%3d%3d&rt=2&let=8&ct=0&ft=-1
1074422,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۱ ۱۵:۴۹:۵۱,۱۴۰۲/۰۶/۰۱ ۱۵:۴۹:۵۱,/Reports/Decision.aspx?LetterSerial=k1dHc1c%2b7gNcM9YuTjw0QQQaQQQQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1063002,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۲ ۱۴:۴۳:۵۶,۱۴۰۲/۰۵/۰۲ ۱۴:۴۳:۵۶,/Reports/Decision.aspx?LetterSerial=Ga0iUBv6U3MqjVT4UAOltA%3d%3d&rt=2&let=8&ct=0&ft=-1
1045826,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۰۸:۰۶:۵۶,۱۴۰۲/۰۴/۰۵ ۰۸:۰۶:۵۶,/Reports/Decision.aspx?LetterSerial=PTDcqpCNtDBx%2bnp9N%2ba3Jg%3d%3d&rt=2&let=8&ct=0&ft=-1
1029389,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۱ ۱۷:۰۳:۴۲,۱۴۰۲/۰۳/۰۱ ۱۷:۰۳:۴۲,/Reports/Decision.aspx?LetterSerial=Z8LSoiFpHGeRiQQQaQQQ5MMADQQQaQQQeQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1016343,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۷:۱۸:۰۷,۱۴۰۲/۰۲/۰۴ ۱۷:۱۸:۰۷,/Reports/Decision.aspx?LetterSerial=oUAuJyMa7yxsUo5Oz2CYEg%3d%3d&rt=2&let=8&ct=0&ft=-1
1006453,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۵ ۱۶:۱۲:۳۶,۱۴۰۲/۰۱/۰۵ ۱۶:۱۲:۳۶,/Reports/Decision.aspx?LetterSerial=li72%2brds1hNByM%2b42vVb%2bQ%3d%3d&rt=2&let=8&ct=0&ft=-1
994955,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۱ ۱۴:۳۵:۰۸,۱۴۰۱/۱۲/۰۱ ۱۴:۳۵:۰۸,/Reports/Decision.aspx?LetterSerial=%2baDh2p6nPmQ%2b0V1VPQQQaQQQvuaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
985320,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۱ ۱۷:۵۳:۰۵,۱۴۰۱/۱۱/۰۱ ۱۷:۵۳:۰۵,/Reports/Decision.aspx?LetterSerial=AeOewOLT7cSj4vKSlEPP1w%3d%3d&rt=2&let=8&ct=0&ft=-1
973931,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۳ ۱۱:۱۵:۴۴,۱۴۰۱/۱۰/۰۳ ۱۱:۱۵:۴۴,/Reports/Decision.aspx?LetterSerial=ol6zL05DwHdLpj%2bDv59vSg%3d%3d&rt=2&let=8&ct=0&ft=-1
962051,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۲ ۱۴:۵۹:۰۰,۱۴۰۱/۰۹/۰۲ ۱۴:۵۹:۰۰,/Reports/Decision.aspx?LetterSerial=VavHYdBkRUG%2baASVzAEZbw%3d%3d&rt=2&let=8&ct=0&ft=-1
949741,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۱ ۱۷:۰۱:۲۴,۱۴۰۱/۰۸/۰۱ ۱۷:۰۱:۲۴,/Reports/Decision.aspx?LetterSerial=QpyQQQaQQQuHUl%2bq9nQLYA78snEQ%3d%3d&rt=2&let=8&ct=0&ft=-1
940577,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۲ ۰۹:۵۲:۵۸,۱۴۰۱/۰۷/۰۲ ۰۹:۵۲:۵۸,/Reports/Decision.aspx?LetterSerial=e57fVwi01EceblQQQaQQQMQFPViw%3d%3d&rt=2&let=8&ct=0&ft=-1
927780,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۱ ۰۹:۴۳:۳۱,۱۴۰۱/۰۶/۰۱ ۰۹:۴۳:۳۱,/Reports/Decision.aspx?LetterSerial=BkJgvGh9vwPSZ4fiyiSELA%3d%3d&rt=2&let=8&ct=0&ft=-1
916572,سغدیر,توسعه سرمایه و صنعت غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۱ ۱۱:۰۰:۴۰,۱۴۰۱/۰۵/۰۱ ۱۱:۰۰:۴۰,/Reports/Decision.aspx?LetterSerial=kgR8dVVnAZ%2b4Biw8OnOI9Q%3d%3d&rt=2&let=8&ct=0&ft=-1
