TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074651,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۴:۱۱:۵۰,۱۴۰۲/۰۶/۰۵ ۱۴:۱۱:۵۰,/Reports/Decision.aspx?LetterSerial=sJd1hhhyrDTvF8hpRrGCXg%3d%3d&rt=0&let=58&ct=0&ft=-1
1061879,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۳۷:۰۱,۱۴۰۲/۰۵/۰۴ ۱۳:۳۷:۰۱,/Reports/Decision.aspx?LetterSerial=L8iWr4jGXSJV47%2bs29QKOQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1041898,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۰:۰۴:۴۰,۱۴۰۲/۰۴/۰۴ ۱۰:۰۴:۴۰,/Reports/Decision.aspx?LetterSerial=QZY73v0CJQmnemDQZIsoWQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1028000,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۱:۵۷:۴۰,۱۴۰۲/۰۳/۰۴ ۱۱:۵۷:۴۰,/Reports/Decision.aspx?LetterSerial=hJZJpXwLs9HPrBtzGH10nQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1015758,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۰۹:۱۶:۳۳,۱۴۰۲/۰۲/۰۵ ۰۹:۱۶:۳۳,/Reports/Decision.aspx?LetterSerial=cO7xXBsgLrfn8j3odDqThQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006146,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۷:۱۸:۰۷,۱۴۰۲/۰۱/۰۶ ۱۷:۱۸:۰۷,/Reports/Decision.aspx?LetterSerial=UDpXbjIGvgouIxoyMXQQQaQQQlZQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996732,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۲:۲۰:۲۵,۱۴۰۱/۱۲/۰۶ ۱۲:۲۰:۲۵,/Reports/Decision.aspx?LetterSerial=MLoXZcaR%2bj79xfgQQQaQQQWlaOQw%3d%3d&rt=0&let=58&ct=0&ft=-1
994817,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۰۹:۳۷:۳۰,۱۴۰۱/۱۲/۰۲ ۰۹:۳۷:۳۰,/Reports/Decision.aspx?LetterSerial=HbeG7B2ta6vSn0492lemqg%3d%3d&rt=0&let=58&ct=0&ft=-1
995216,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۱ ۲۰:۱۸:۵۴,۱۴۰۱/۱۲/۰۱ ۲۰:۱۸:۵۴,/Reports/Decision.aspx?LetterSerial=vAmtYP4xizeqZeHJCUK8RQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986839,سمازن,سیمان مازندران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۵:۰۲:۰۷,۱۴۰۱/۱۱/۰۴ ۱۵:۰۲:۰۷,/Reports/Decision.aspx?LetterSerial=dillLuQQQaQQQ0qHm2TkowLE8hQQQaQQQg%3d%3d&rt=0&let=58&ct=0&ft=-1
