TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076444,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۹ ۱۹:۴۰:۳۵,۱۴۰۲/۰۶/۰۹ ۱۹:۴۰:۳۵,/Reports/Decision.aspx?LetterSerial=0T1QMAQQQaQQQQqibn4NRbs6Xuqw%3d%3d&rt=2&let=8&ct=0&ft=-1
1067132,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۱۰ ۲۰:۵۴:۲۷,۱۴۰۲/۰۵/۱۰ ۲۰:۵۴:۲۷,/Reports/Decision.aspx?LetterSerial=kDStg15gRn3X4LSixCrPqw%3d%3d&rt=2&let=8&ct=0&ft=-1
1046968,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۱۹:۰۴:۴۶,۱۴۰۲/۰۴/۰۷ ۱۹:۰۴:۴۶,/Reports/Decision.aspx?LetterSerial=CQQQaQQQMI3BWGNkfmiPDwgQUwnw%3d%3d&rt=2&let=8&ct=0&ft=-1
1030993,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۴ ۱۵:۵۲:۱۲,۱۴۰۲/۰۳/۰۴ ۱۵:۵۲:۱۲,/Reports/Decision.aspx?LetterSerial=z8NSa2allt4mBbKOfDWOjw%3d%3d&rt=2&let=8&ct=0&ft=-1
1018418,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۹ ۱۴:۴۷:۲۴,۱۴۰۲/۰۲/۰۹ ۱۴:۴۷:۲۴,/Reports/Decision.aspx?LetterSerial=NiW9Yy5XxMO8EHymECLEJw%3d%3d&rt=2&let=8&ct=0&ft=-1
1006741,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۶ ۱۵:۲۲:۵۷,۱۴۰۲/۰۱/۰۶ ۱۵:۲۲:۵۷,/Reports/Decision.aspx?LetterSerial=N1AtrQQQaQQQB7RBr6fnMJDTDHBw%3d%3d&rt=2&let=8&ct=0&ft=-1
996890,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۱۷:۳۴:۳۰,۱۴۰۱/۱۲/۰۶ ۱۷:۳۴:۳۰,/Reports/Decision.aspx?LetterSerial=oa9%2b04cySl8qbErrLg00aA%3d%3d&rt=2&let=8&ct=0&ft=-1
988964,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۹ ۱۸:۰۳:۲۵,۱۴۰۱/۱۱/۰۹ ۱۸:۰۳:۲۵,/Reports/Decision.aspx?LetterSerial=taSdG%2bQQQaQQQCG3kb8CSBM1WOhQ%3d%3d&rt=2&let=8&ct=0&ft=-1
975666,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۷ ۱۱:۴۹:۲۴,۱۴۰۱/۱۰/۰۷ ۱۱:۴۹:۲۴,/Reports/Decision.aspx?LetterSerial=hYHYtnmHoZXpQQQaQQQmCikb4btw%3d%3d&rt=2&let=8&ct=0&ft=-1
964684,سنوین,سرمایه گذاری اقتصاد نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۰۹/۰۷ ۱۳:۳۳:۴۸,۱۴۰۱/۰۹/۰۷ ۱۳:۳۳:۴۸,/Reports/Decision.aspx?LetterSerial=ceP0T2gVXekFZwbNrGtuDg%3d%3d&rt=2&let=8&ct=0&ft=-1
