TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1084697,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۲۹ ۱۶:۵۵:۴۲,۱۴۰۲/۰۶/۲۹ ۱۶:۵۵:۴۲,/Reports/Decision.aspx?LetterSerial=fNmQgpBtTo8FJiljKArBXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1074851,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۶:۲۲:۱۷,۱۴۰۲/۰۶/۰۴ ۱۶:۲۲:۱۷,/Reports/Decision.aspx?LetterSerial=A1tLLKrvBwdzoiQQQQaQQQajAN1g%3d%3d&rt=0&let=58&ct=0&ft=-1
1064376,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۰۳:۱۹,۱۴۰۲/۰۵/۰۴ ۱۳:۰۳:۱۹,/Reports/Decision.aspx?LetterSerial=pS3a8Z9l%2byQ9onIjEl7inw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064246,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۱:۱۰:۴۶,۱۴۰۲/۰۵/۰۴ ۱۱:۱۰:۴۶,/Reports/Decision.aspx?LetterSerial=%2bgsxKjgQQQaQQQPQGsFbcTNB4Q7A%3d%3d&rt=0&let=58&ct=0&ft=-1
1058874,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۷ ۱۷:۴۵:۲۴,۱۴۰۲/۰۴/۲۷ ۱۷:۴۵:۲۴,/Reports/Decision.aspx?LetterSerial=s4ViGgnbH07yrjcaco6g5w%3d%3d&rt=0&let=58&ct=0&ft=-1
1058841,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۷ ۱۷:۳۹:۱۴,۱۴۰۲/۰۴/۲۷ ۱۷:۳۹:۱۴,/Reports/Decision.aspx?LetterSerial=aiVyqXLkkDYDMsgaLnhWwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046753,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۵:۳۳:۲۷,۱۴۰۲/۰۴/۰۶ ۱۵:۳۳:۲۷,/Reports/Decision.aspx?LetterSerial=KfkpLpydRxBT2uFWx3ARaw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045821,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۶:۳۴:۳۹,۱۴۰۲/۰۴/۰۵ ۱۶:۳۴:۳۹,/Reports/Decision.aspx?LetterSerial=FnRxTcU1hUHZ4Sti8Az4Nw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030668,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۳:۲۳:۴۹,۱۴۰۲/۰۴/۰۵ ۱۳:۲۳:۴۹,/Reports/Decision.aspx?LetterSerial=X96iQQQaQQQQd8LuU1Kyk79zDpcQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029478,سهرمز,سیمان هرمزگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۱۷:۰۰,۱۴۰۲/۰۳/۰۳ ۱۵:۱۷:۰۰,/Reports/Decision.aspx?LetterSerial=PCN2d8YHf3vYZkY4%2bUyboQ%3d%3d&rt=0&let=58&ct=0&ft=-1
