TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075609,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۶:۱۲:۵۹,۱۴۰۲/۰۶/۰۵ ۱۶:۱۲:۵۹,/Reports/Decision.aspx?LetterSerial=%2bwCqu4O6pL81dC0d43QQQaQQQfuw%3d%3d&rt=0&let=58&ct=0&ft=-1
1062828,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۵:۰۹:۴۷,۱۴۰۲/۰۵/۰۲ ۱۵:۰۹:۴۷,/Reports/Decision.aspx?LetterSerial=i3n%2bHTpona1yPiisr12ung%3d%3d&rt=0&let=58&ct=0&ft=-1
1053792,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۹ ۱۱:۳۸:۰۹,۱۴۰۲/۰۴/۱۹ ۱۱:۳۸:۰۹,/Reports/Decision.aspx?LetterSerial=TnpBqi6gzQVtbDHAEFMSHw%3d%3d&rt=0&let=58&ct=0&ft=-1
1044281,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۲:۱۱:۱۲,۱۴۰۲/۰۴/۰۳ ۱۲:۱۱:۱۲,/Reports/Decision.aspx?LetterSerial=XnWOH9Y7aBIG9%2bf5xSeX3A%3d%3d&rt=0&let=58&ct=0&ft=-1
1029491,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۱۲:۴۸,۱۴۰۲/۰۳/۰۳ ۱۵:۱۲:۴۸,/Reports/Decision.aspx?LetterSerial=TAwe9IfPP7BoECIVaSeNVQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016306,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۸:۵۳:۱۹,۱۴۰۲/۰۲/۰۴ ۱۸:۵۳:۱۹,/Reports/Decision.aspx?LetterSerial=liFfYK5ij%2bXy92Jo2XcMJA%3d%3d&rt=0&let=58&ct=0&ft=-1
1005317,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۱:۵۳:۲۰,۱۴۰۲/۰۱/۰۶ ۱۱:۵۳:۲۰,/Reports/Decision.aspx?LetterSerial=UHmOw2QQQaQQQntgyBbYNZEpVh%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
997439,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۵:۵۶:۵۱,۱۴۰۱/۱۲/۰۷ ۱۵:۵۶:۵۱,/Reports/Decision.aspx?LetterSerial=GUgONWMX97SjBPGmGqVFcg%3d%3d&rt=0&let=58&ct=0&ft=-1
996258,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۴۸:۱۸,۱۴۰۱/۱۲/۰۳ ۱۶:۴۸:۱۸,/Reports/Decision.aspx?LetterSerial=4Tl046vkjsf0ZZthbycDFQ%3d%3d&rt=0&let=58&ct=0&ft=-1
985853,سکرما,گروه صنایع سیمان کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۲ ۱۷:۱۱:۱۰,۱۴۰۱/۱۱/۰۲ ۱۷:۱۱:۱۰,/Reports/Decision.aspx?LetterSerial=d%2bXeSL%2bGxVMTuKJGP7%2bnPA%3d%3d&rt=0&let=58&ct=0&ft=-1
