TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076430,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۷:۲۰:۰۲,۱۴۰۲/۰۶/۰۶ ۱۷:۲۰:۰۲,/Reports/Decision.aspx?LetterSerial=HpRcWN6FVKC23Aak9uISDg%3d%3d&rt=0&let=58&ct=0&ft=-1
1064640,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۲۶:۱۳,۱۴۰۲/۰۵/۰۴ ۱۷:۲۶:۱۳,/Reports/Decision.aspx?LetterSerial=DLkvB6zoKjHFIjIQU1bVCg%3d%3d&rt=0&let=58&ct=0&ft=-1
1059945,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۲۱:۵۰:۲۶,۱۴۰۲/۰۴/۲۸ ۲۱:۵۰:۲۶,/Reports/Decision.aspx?LetterSerial=yShbZg4FT2f9W55eM8HBvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1047159,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۸:۰۵:۲۴,۱۴۰۲/۰۴/۰۶ ۱۸:۰۵:۲۴,/Reports/Decision.aspx?LetterSerial=L8FtO4nFU%2bYMKHFJLQQQaQQQ1Hnw%3d%3d&rt=0&let=58&ct=0&ft=-1
1032266,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۳:۱۳:۲۲,۱۴۰۲/۰۳/۰۷ ۱۳:۱۳:۲۲,/Reports/Decision.aspx?LetterSerial=yQQQaQQQ3pZXp6hMd6WcQQQaQQQx24VRlQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1026794,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۴:۴۰:۳۱,۱۴۰۲/۰۲/۲۷ ۱۴:۴۰:۳۱,/Reports/Decision.aspx?LetterSerial=bYSLMBI8BjtvUAtMgc7qow%3d%3d&rt=0&let=58&ct=0&ft=-1
1026750,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۳:۳۶:۰۴,۱۴۰۲/۰۲/۲۷ ۱۳:۳۶:۰۴,/Reports/Decision.aspx?LetterSerial=f3KzbNPV0h%2bU3KQWPx8h%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1026740,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۳:۱۵:۱۳,۱۴۰۲/۰۲/۲۷ ۱۳:۱۵:۱۳,/Reports/Decision.aspx?LetterSerial=hcVwzrOQsvGV9oBngpbCrw%3d%3d&rt=0&let=58&ct=0&ft=-1
1019292,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۲:۴۰:۴۸,۱۴۰۲/۰۲/۱۰ ۱۲:۴۰:۴۸,/Reports/Decision.aspx?LetterSerial=o8VJWlSCp5UoW0wKOOQmuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1018799,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۶:۳۴:۳۰,۱۴۰۲/۰۲/۰۹ ۱۶:۳۴:۳۰,/Reports/Decision.aspx?LetterSerial=QB8bPYO20DVjTKKdmsZQQQaQQQ5A%3d%3d&rt=0&let=58&ct=0&ft=-1
1008973,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۶:۵۳:۳۰,۱۴۰۲/۰۱/۰۹ ۱۶:۵۳:۳۰,/Reports/Decision.aspx?LetterSerial=z9%2bzeqMerIO%2b4t1hwpNQQQaQQQjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996315,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۰:۱۶:۴۳,۱۴۰۱/۱۲/۰۷ ۱۰:۱۶:۴۳,/Reports/Decision.aspx?LetterSerial=IvfWtktVQQQaQQQmhW4BNIa05PEw%3d%3d&rt=0&let=58&ct=0&ft=-1
986873,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۳۸:۰۳,۱۴۰۱/۱۱/۰۵ ۱۲:۳۸:۰۳,/Reports/Decision.aspx?LetterSerial=0Db77yHpdvN54cXliCEisQ%3d%3d&rt=0&let=58&ct=0&ft=-1
984634,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۶:۵۳:۲۳,۱۴۰۱/۱۰/۲۹ ۱۶:۵۳:۲۳,/Reports/Decision.aspx?LetterSerial=Fgwu6AQuB2h507IvjztCAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975875,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۲:۵۸:۱۶,۱۴۰۱/۱۰/۰۷ ۱۲:۵۸:۱۶,/Reports/Decision.aspx?LetterSerial=ohd0D6o82Jd2bMTH09FgIg%3d%3d&rt=0&let=58&ct=0&ft=-1
963755,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۵:۵۲:۲۳,۱۴۰۱/۰۹/۰۶ ۱۵:۵۲:۲۳,/Reports/Decision.aspx?LetterSerial=FQGut766FMJxkOYF%2bxHEwg%3d%3d&rt=0&let=58&ct=0&ft=-1
963748,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۶ ۰۸:۲۶:۴۰,۱۴۰۱/۰۹/۰۶ ۰۸:۲۶:۴۰,/Reports/Decision.aspx?LetterSerial=JSuL4aoM4JL19XnSqCbcfA%3d%3d&rt=0&let=58&ct=0&ft=-1
961231,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۶:۳۴:۳۷,۱۴۰۱/۰۸/۳۰ ۱۶:۳۴:۳۷,/Reports/Decision.aspx?LetterSerial=MtAPNEJ7kQQQaQQQ1W7P88XIGsqA%3d%3d&rt=0&let=58&ct=0&ft=-1
960903,شاروم,پتروشیمی ارومیه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۵:۲۷:۴۴,۱۴۰۱/۰۸/۳۰ ۱۵:۲۷:۴۴,/Reports/Decision.aspx?LetterSerial=rlp0sLZ0cdG%2bkYMu86IOAA%3d%3d&rt=0&let=58&ct=0&ft=-1
