TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074899,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۲۱:۲۸:۰۸,۱۴۰۲/۰۶/۰۴ ۲۱:۲۸:۰۸,/Reports/Decision.aspx?LetterSerial=QQQaQQQxHeLFP06EB6J8KnEODqYg%3d%3d&rt=0&let=58&ct=0&ft=-1
1064671,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۹:۰۴:۳۰,۱۴۰۲/۰۵/۰۷ ۱۹:۰۴:۳۰,/Reports/Decision.aspx?LetterSerial=rabCuWNeSLQQQaQQQAsBsmQQQaQQQJAxXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1060350,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۶:۰۱:۵۹,۱۴۰۲/۰۴/۲۹ ۱۶:۰۱:۵۹,/Reports/Decision.aspx?LetterSerial=6x0sGrbQuqkIdT11Qqfjrg%3d%3d&rt=0&let=58&ct=0&ft=-1
1054910,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۰ ۱۵:۰۴:۱۶,۱۴۰۲/۰۴/۲۰ ۱۵:۰۴:۱۶,/Reports/Decision.aspx?LetterSerial=%2bQQQaQQQvEFHOVm2n0Ns440%2bQVtA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046716,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۰:۲۳:۱۹,۱۴۰۲/۰۴/۰۶ ۱۰:۲۳:۱۹,/Reports/Decision.aspx?LetterSerial=liC9ccKWTgVu9uzQQQaQQQGK3jKg%3d%3d&rt=0&let=58&ct=0&ft=-1
1041423,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۲۱:۰۵:۴۴,۱۴۰۲/۰۳/۲۸ ۲۱:۰۵:۴۴,/Reports/Decision.aspx?LetterSerial=%2b3eknlVxQQQaQQQjbyR8jtO47MHA%3d%3d&rt=0&let=58&ct=0&ft=-1
1030528,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۱۴:۰۵,۱۴۰۲/۰۳/۰۳ ۱۵:۱۴:۰۵,/Reports/Decision.aspx?LetterSerial=3l4n2XKqrtNVbHKFzyWsew%3d%3d&rt=0&let=58&ct=0&ft=-1
1016486,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۰:۴۳:۵۴,۱۴۰۲/۰۲/۰۵ ۱۰:۴۳:۵۴,/Reports/Decision.aspx?LetterSerial=ji91DuxPpnXTv2lb7jQQQaQQQXAg%3d%3d&rt=0&let=58&ct=0&ft=-1
1007193,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۰۸:۲۰:۴۵,۱۴۰۲/۰۱/۰۹ ۰۸:۲۰:۴۵,/Reports/Decision.aspx?LetterSerial=UHVz4dFwJkDZjoJgRh19iA%3d%3d&rt=0&let=58&ct=0&ft=-1
995474,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۱۹:۵۴:۲۳,۱۴۰۱/۱۲/۰۲ ۱۹:۵۴:۲۳,/Reports/Decision.aspx?LetterSerial=Zu1QJFqTejgKhwlAt3folw%3d%3d&rt=0&let=58&ct=0&ft=-1
987116,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۹:۱۳:۱۵,۱۴۰۱/۱۱/۰۴ ۱۹:۱۳:۱۵,/Reports/Decision.aspx?LetterSerial=Jq4ZAYeCa3SEDzx37qbQQQaQQQvw%3d%3d&rt=0&let=58&ct=0&ft=-1
986946,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۵:۱۱:۳۲,۱۴۰۱/۱۱/۰۴ ۱۵:۱۱:۳۲,/Reports/Decision.aspx?LetterSerial=8tJGOeiaDkmxOBWhs0fQJA%3d%3d&rt=0&let=58&ct=0&ft=-1
986947,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۵:۰۲:۰۴,۱۴۰۱/۱۱/۰۴ ۱۵:۰۲:۰۴,/Reports/Decision.aspx?LetterSerial=1jhdYroRYOpeXQWpMWG2eA%3d%3d&rt=0&let=58&ct=0&ft=-1
986948,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۴:۴۹:۰۰,۱۴۰۱/۱۱/۰۴ ۱۴:۴۹:۰۰,/Reports/Decision.aspx?LetterSerial=NWnbAx2CfKcwnqpIV6TM7g%3d%3d&rt=0&let=58&ct=0&ft=-1
984319,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۹:۳۶:۴۴,۱۴۰۱/۱۰/۲۸ ۱۹:۳۶:۴۴,/Reports/Decision.aspx?LetterSerial=wolNK4N9vS9rb2ROxMIFQA%3d%3d&rt=0&let=58&ct=0&ft=-1
974460,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۶:۱۵:۰۰,۱۴۰۱/۱۰/۱۰ ۱۶:۱۵:۰۰,/Reports/Decision.aspx?LetterSerial=vicfUM4JYQQQaQQQLFDEW3tpzmdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
964078,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۲:۳۵:۴۶,۱۴۰۱/۰۹/۰۶ ۱۲:۳۵:۴۶,/Reports/Decision.aspx?LetterSerial=kdQQQaQQQgz96RhCbCITFJhfJ3XA%3d%3d&rt=0&let=58&ct=0&ft=-1
963736,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۱:۴۷:۱۹,۱۴۰۱/۰۹/۰۶ ۱۱:۴۷:۱۹,/Reports/Decision.aspx?LetterSerial=Vr2fPCz1x84gXHCimS3nQA%3d%3d&rt=0&let=58&ct=0&ft=-1
951315,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۲۰:۰۲:۲۲,۱۴۰۱/۰۸/۰۷ ۲۰:۰۲:۲۲,/Reports/Decision.aspx?LetterSerial=obz36ps8mBJNw5Wldo1sEA%3d%3d&rt=0&let=58&ct=0&ft=-1
948130,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۲۳:۵۳:۴۹,۱۴۰۱/۰۷/۳۰ ۲۳:۵۳:۴۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQ0wjRCZDp7RFFDy0eELWvg%3d%3d&rt=0&let=58&ct=0&ft=-1
941659,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۹:۰۱:۳۵,۱۴۰۱/۰۷/۱۰ ۱۹:۰۱:۳۵,/Reports/Decision.aspx?LetterSerial=nO%2by3cw2GPOc34eeN%2budEA%3d%3d&rt=0&let=58&ct=0&ft=-1
931199,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۸:۴۹:۵۹,۱۴۰۱/۰۶/۰۷ ۱۸:۴۹:۵۹,/Reports/Decision.aspx?LetterSerial=D1EEiCsZyoKQpsfoceQJqQ%3d%3d&rt=0&let=58&ct=0&ft=-1
916420,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۶:۴۷:۲۴,۱۴۰۱/۰۵/۰۴ ۱۶:۴۷:۲۴,/Reports/Decision.aspx?LetterSerial=5VO3jn1or%2bCv0suMcolmKA%3d%3d&rt=0&let=58&ct=0&ft=-1
902649,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۸:۱۰:۱۷,۱۴۰۱/۰۴/۰۷ ۱۸:۱۰:۱۷,/Reports/Decision.aspx?LetterSerial=LV0LH18rLeyd6YVDkt1HmA%3d%3d&rt=0&let=58&ct=0&ft=-1
894804,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۲۱ ۲۰:۲۰:۳۲,۱۴۰۱/۰۳/۲۱ ۲۰:۲۰:۳۲,/Reports/Decision.aspx?LetterSerial=k04kAjMmU3ZKbzoMAojpNg%3d%3d&rt=0&let=58&ct=0&ft=-1
887695,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۶:۴۸:۱۲,۱۴۰۱/۰۳/۰۷ ۱۶:۴۸:۱۲,/Reports/Decision.aspx?LetterSerial=dKYcgSMXMQFzmQkMUvBstw%3d%3d&rt=0&let=58&ct=0&ft=-1
879096,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۳:۴۰:۴۲,۱۴۰۱/۰۳/۰۴ ۱۳:۴۰:۴۲,/Reports/Decision.aspx?LetterSerial=KKbo%2bVA8tXNFNuAmMkIvvA%3d%3d&rt=0&let=58&ct=0&ft=-1
875163,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۸ ۱۶:۱۸:۲۱,۱۴۰۱/۰۲/۰۸ ۱۶:۱۸:۲۱,/Reports/Decision.aspx?LetterSerial=GAogOUNQMCWPWIed5tuUzw%3D%3D&rt=0&let=58&ct=0&ft=-1
864933,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۱۹:۴۳:۳۸,۱۴۰۱/۰۱/۱۰ ۱۹:۴۳:۳۸,/Reports/Decision.aspx?LetterSerial=EI%2BlXrgXETCF4c5Pu6VhHA%3D%3D&rt=0&let=58&ct=0&ft=-1
857008,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۸:۵۶:۰۳,۱۴۰۰/۱۲/۰۴ ۱۸:۵۶:۰۳,/Reports/Decision.aspx?LetterSerial=9REZB19BMFlUF9pAGLfQQQaQQQqw%3D%3D&rt=0&let=58&ct=0&ft=-1
846710,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۵:۲۸:۱۵,۱۴۰۰/۱۱/۰۶ ۱۵:۲۸:۱۵,/Reports/Decision.aspx?LetterSerial=GuUPWnhpSF5c4SHps0Ukcw%3D%3D&rt=0&let=58&ct=0&ft=-1
835942,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۶ ۱۳:۵۳:۴۶,۱۴۰۰/۱۰/۰۶ ۱۳:۵۳:۴۶,/Reports/Decision.aspx?LetterSerial=L4SmSbBs5O5%2BS0NLlXVYeQ%3D%3D&rt=0&let=58&ct=0&ft=-1
822617,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۶ ۱۵:۱۸:۳۴,۱۴۰۰/۰۹/۰۶ ۱۵:۱۸:۳۴,/Reports/Decision.aspx?LetterSerial=covkF3rtAnprt8Q1TVULWw%3D%3D&rt=0&let=58&ct=0&ft=-1
810916,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۱۶:۵۱:۵۷,۱۴۰۰/۰۸/۰۸ ۱۶:۵۱:۵۷,/Reports/Decision.aspx?LetterSerial=I32yBvscaU2eMudQwXKtBQ%3D%3D&rt=0&let=58&ct=0&ft=-1
801041,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۰/۰۷/۰۷ ۱۵:۱۴:۲۲,۱۴۰۰/۰۷/۰۷ ۱۵:۱۴:۲۲,/Reports/Decision.aspx?LetterSerial=U6oXDu2oh9ZvQQQaQQQjXYg1BX4w%3D%3D&rt=0&let=58&ct=0&ft=-1
800581,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۷ ۱۱:۲۹:۵۱,۱۴۰۰/۰۷/۰۷ ۱۱:۲۹:۵۱,/Reports/Decision.aspx?LetterSerial=quTORAh%2BR2jxDiQ4NTpFxA%3D%3D&rt=0&let=58&ct=0&ft=-1
786600,شبهرن,نفت بهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۶ ۱۹:۴۱:۲۱,۱۴۰۰/۰۶/۰۶ ۱۹:۴۱:۲۱,/Reports/Decision.aspx?LetterSerial=g3qTNq0AVKDFWPBX24wylg%3D%3D&rt=0&let=58&ct=0&ft=-1
