TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075754,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۹:۱۶:۴۶,۱۴۰۲/۰۶/۰۵ ۱۹:۱۶:۴۶,/Reports/Decision.aspx?LetterSerial=XCZHi9d3ajJ6pOadNwzvaQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063603,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۱:۱۰:۱۶,۱۴۰۲/۰۵/۰۴ ۱۱:۱۰:۱۶,/Reports/Decision.aspx?LetterSerial=wr1WGuSDitL6QQQaQQQBLbt81Sjw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045128,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۳:۱۴:۵۹,۱۴۰۲/۰۴/۰۴ ۱۳:۱۴:۵۹,/Reports/Decision.aspx?LetterSerial=Dc6pCi1BghhEYGbH4luo2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1030565,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۳:۲۳:۵۰,۱۴۰۲/۰۳/۰۴ ۱۳:۲۳:۵۰,/Reports/Decision.aspx?LetterSerial=CEjca7EHnHGhyW5eQ%2bdJzA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017367,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۵:۲۱:۳۹,۱۴۰۲/۰۲/۰۶ ۱۵:۲۱:۳۹,/Reports/Decision.aspx?LetterSerial=T7e0KFglY2yPVTSHQ1WGyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006634,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۵:۱۵:۰۵,۱۴۰۲/۰۱/۰۶ ۱۵:۱۵:۰۵,/Reports/Decision.aspx?LetterSerial=Gu9fHhJZSHamoNwM3ZKgsg%3d%3d&rt=0&let=58&ct=0&ft=-1
995435,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۱:۳۳:۰۴,۱۴۰۱/۱۲/۰۳ ۱۱:۳۳:۰۴,/Reports/Decision.aspx?LetterSerial=Xn46QQQQaQQQ1uXYj24JS5nq3QGA%3d%3d&rt=0&let=58&ct=0&ft=-1
985703,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۳:۲۳:۵۵,۱۴۰۱/۱۱/۰۳ ۱۳:۲۳:۵۵,/Reports/Decision.aspx?LetterSerial=NduF3SgdXoQQQaQQQO7wUfbJJ0hw%3d%3d&rt=0&let=58&ct=0&ft=-1
974106,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۵:۵۰:۳۰,۱۴۰۱/۱۰/۰۳ ۱۵:۵۰:۳۰,/Reports/Decision.aspx?LetterSerial=OtGpQAqKyqtvxCU%2bhWL7OA%3d%3d&rt=0&let=58&ct=0&ft=-1
970825,شجم,صنایع پتروشیمی تخت جمشید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۲۲ ۱۱:۰۶:۳۶,۱۴۰۱/۰۹/۲۲ ۱۱:۰۶:۳۶,/Reports/Decision.aspx?LetterSerial=2gxHSsQQQaQQQqsGPBC%2bRtR2rWoQ%3d%3d&rt=0&let=58&ct=0&ft=-1
