TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1078888,شصفها,پترو شیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۹ ۱۶:۳۴:۱۹,۱۴۰۲/۰۶/۰۹ ۱۶:۳۴:۱۹,/Reports/Decision.aspx?LetterSerial=ddRsW3bCGnLTptvBtjg1zg%3d%3d&rt=0&let=58&ct=0&ft=-1
1067282,شصفها,پترو شیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۱۱ ۱۷:۳۸:۴۱,۱۴۰۲/۰۵/۱۱ ۱۷:۳۸:۴۱,/Reports/Decision.aspx?LetterSerial=VkF63i1CmGTiXw8bPVOSMA%3d%3d&rt=0&let=58&ct=0&ft=-1
1049863,شصفها,پترو شیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۱ ۲۰:۵۲:۴۴,۱۴۰۲/۰۴/۱۱ ۲۰:۵۲:۴۴,/Reports/Decision.aspx?LetterSerial=IQekI%2bmOFPfVxQeilulvjw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045709,شصفها,پترو شیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۱ ۱۹:۳۱:۳۱,۱۴۰۲/۰۴/۱۱ ۱۹:۳۱:۳۱,/Reports/Decision.aspx?LetterSerial=eB6F9lVLxLyKJ4OGZlpagA%3d%3d&rt=0&let=58&ct=0&ft=-1
1036762,شصفها,پترو شیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۱۸ ۱۶:۰۰:۵۸,۱۴۰۲/۰۳/۱۸ ۱۶:۰۰:۵۸,/Reports/Decision.aspx?LetterSerial=CAJXyLBb2LpEOFuWahEaQg%3d%3d&rt=0&let=58&ct=0&ft=-1
1026367,شصفها,پترو شیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۲۷ ۰۸:۴۰:۲۷,۱۴۰۲/۰۲/۲۷ ۰۸:۴۰:۲۷,/Reports/Decision.aspx?LetterSerial=bjqnAx9I7oexl%2b6rZpq0Ew%3d%3d&rt=0&let=58&ct=0&ft=-1
1015735,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۲/۰۳ ۱۲:۰۸:۱۴,۱۴۰۲/۰۲/۰۳ ۱۲:۰۸:۱۴,/Reports/Decision.aspx?LetterSerial=4VwtqxM4CyYWhwhQQQaQQQTa7LHQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1012749,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۲/۰۱/۲۵ ۱۳:۵۷:۲۱,۱۴۰۲/۰۱/۲۵ ۱۳:۵۷:۲۱,/Reports/Decision.aspx?LetterSerial=sZt3iqQUcgMSHxbfr75ujQ%3d%3d&rt=0&let=58&ct=0&ft=-1
991552,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۷ ۱۸:۵۴:۲۸,۱۴۰۱/۱۱/۱۷ ۱۸:۵۴:۲۸,/Reports/Decision.aspx?LetterSerial=IcYW95fzHx4NrQQQaQQQ5XYCaSqQ%3d%3d&rt=0&let=58&ct=0&ft=-1
988062,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۱۳ ۱۲:۰۲:۳۱,۱۴۰۱/۱۱/۱۳ ۱۲:۰۲:۳۱,/Reports/Decision.aspx?LetterSerial=Wjm8rRqLtbwpAQQQaQQQYBhtoHiA%3d%3d&rt=0&let=58&ct=0&ft=-1
988037,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۶ ۱۴:۰۶:۴۴,۱۴۰۱/۱۱/۰۶ ۱۴:۰۶:۴۴,/Reports/Decision.aspx?LetterSerial=2Fn6SQQQaQQQOwtxNHMwbh8ct2vA%3d%3d&rt=0&let=58&ct=0&ft=-1
988021,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۶ ۱۲:۲۲:۲۹,۱۴۰۱/۱۱/۰۶ ۱۲:۲۲:۲۹,/Reports/Decision.aspx?LetterSerial=TrToGusRywiHduKzjbdnKg%3d%3d&rt=0&let=58&ct=0&ft=-1
986005,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۶ ۱۱:۱۰:۵۰,۱۴۰۱/۱۱/۰۶ ۱۱:۱۰:۵۰,/Reports/Decision.aspx?LetterSerial=Qpmj3hgiPX%2btyEIsQYDi1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
966785,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۱۱/۰۲ ۱۷:۳۵:۰۵,۱۴۰۱/۱۱/۰۲ ۱۷:۳۵:۰۵,/Reports/Decision.aspx?LetterSerial=f7dDgWfsFuzBRMBrtHDhYQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931719,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۷/۲۰ ۱۹:۳۵:۰۸,۱۴۰۱/۰۷/۲۰ ۱۹:۳۵:۰۸,/Reports/Decision.aspx?LetterSerial=NfjD9GiWSQQQaQQQ8GPpMNNVPd%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931328,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۰۹:۲۳:۵۴,۱۴۰۱/۰۶/۰۷ ۰۹:۲۳:۵۴,/Reports/Decision.aspx?LetterSerial=myHjuIIiamSxXWzQQQaQQQ5I6fFQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931138,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۴:۳۲:۲۶,۱۴۰۱/۰۶/۰۶ ۱۴:۳۲:۲۶,/Reports/Decision.aspx?LetterSerial=qwBeetM3%2b9wNXXpUc8MpAw%3d%3d&rt=0&let=58&ct=0&ft=-1
895872,شصفها,پتروشیمی اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۱:۵۵:۰۱,۱۴۰۱/۰۶/۰۶ ۱۱:۵۵:۰۱,/Reports/Decision.aspx?LetterSerial=8Zy9p3Myg3fP9XrGvmP3ww%3d%3d&rt=0&let=58&ct=0&ft=-1
