TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075372,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۴:۰۱:۰۳,۱۴۰۲/۰۶/۰۶ ۱۴:۰۱:۰۳,/Reports/Decision.aspx?LetterSerial=LwCy82XeF3c0eS9DZMpyNA%3d%3d&rt=0&let=58&ct=0&ft=-1
1063441,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۷:۳۸:۴۷,۱۴۰۲/۰۵/۰۳ ۱۷:۳۸:۴۷,/Reports/Decision.aspx?LetterSerial=vY8baJSw0po3CWEVTmRL9A%3d%3d&rt=0&let=58&ct=0&ft=-1
1046811,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۶:۱۴:۵۸,۱۴۰۲/۰۴/۰۶ ۱۶:۱۴:۵۸,/Reports/Decision.aspx?LetterSerial=AfjFamWuVwxly5XGMK0BAg%3d%3d&rt=0&let=58&ct=0&ft=-1
1032107,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۹:۳۰:۱۵,۱۴۰۲/۰۳/۰۷ ۱۹:۳۰:۱۵,/Reports/Decision.aspx?LetterSerial=igXk26SJZuTy5ATvI6WBQQQaQQQg%3d%3d&rt=0&let=58&ct=0&ft=-1
1018423,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۰:۳۵:۲۸,۱۴۰۲/۰۲/۰۹ ۱۰:۳۵:۲۸,/Reports/Decision.aspx?LetterSerial=AwLldMDsr38cifEaDaLiPA%3d%3d&rt=0&let=58&ct=0&ft=-1
1016327,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۳:۵۲:۵۳,۱۴۰۲/۰۲/۰۶ ۱۳:۵۲:۵۳,/Reports/Decision.aspx?LetterSerial=QQQaQQQcEQEDDMDz384BvhdNBCjw%3d%3d&rt=0&let=58&ct=0&ft=-1
1007145,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۶:۵۷:۵۱,۱۴۰۲/۰۱/۰۷ ۱۶:۵۷:۵۱,/Reports/Decision.aspx?LetterSerial=8vEnIqdbspjJpisuTF8qdA%3d%3d&rt=0&let=58&ct=0&ft=-1
996052,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۶:۰۲:۵۴,۱۴۰۱/۱۲/۰۶ ۱۶:۰۲:۵۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQY0hKp2BQxnOK1s1fDDy%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
987375,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۱۵:۴۱,۱۴۰۱/۱۱/۰۵ ۱۲:۱۵:۴۱,/Reports/Decision.aspx?LetterSerial=pWHlFzQKyUk54r8xYeh67Q%3d%3d&rt=0&let=58&ct=0&ft=-1
980966,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۱ ۱۵:۰۴:۲۶,۱۴۰۱/۱۰/۲۱ ۱۵:۰۴:۲۶,/Reports/Decision.aspx?LetterSerial=1rbhQQQaQQQSik57kETrKQ5QrepQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974395,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۳:۵۴:۳۰,۱۴۰۱/۱۰/۱۰ ۱۳:۵۴:۳۰,/Reports/Decision.aspx?LetterSerial=1kd1oFMfvXQQQaQQQwtnkfjNK7qw%3d%3d&rt=0&let=58&ct=0&ft=-1
970363,شغدیر,پترو شیمی غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۲۹ ۱۳:۰۲:۴۱,۱۴۰۱/۰۹/۲۹ ۱۳:۰۲:۴۱,/Reports/Decision.aspx?LetterSerial=yz6Q8MrP6oCaUxfiCwt9Vg%3d%3d&rt=0&let=58&ct=0&ft=-1
