TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075594,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۴:۱۵:۱۹,۱۴۰۲/۰۶/۰۵ ۱۴:۱۵:۱۹,/Reports/Decision.aspx?LetterSerial=LC5hWTkdndDtWLMoR7JiVw%3d%3d&rt=2&let=8&ct=0&ft=-1
1063581,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۲:۴۱:۵۱,۱۴۰۲/۰۵/۰۴ ۱۲:۴۱:۵۱,/Reports/Decision.aspx?LetterSerial=SJiDeuWdiJTOWjQto4LaAg%3d%3d&rt=2&let=8&ct=0&ft=-1
1045525,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۱:۱۳:۵۱,۱۴۰۲/۰۴/۰۶ ۱۱:۱۳:۵۱,/Reports/Decision.aspx?LetterSerial=vPABxvzjJDYnfedibbtwhA%3d%3d&rt=2&let=8&ct=0&ft=-1
1028794,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۲ ۲۳:۳۲:۴۴,۱۴۰۲/۰۳/۰۲ ۲۳:۳۲:۴۴,/Reports/Decision.aspx?LetterSerial=omNmYUuNkBR6W7fvRVEhCA%3d%3d&rt=2&let=8&ct=0&ft=-1
1016420,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۲۱:۲۸:۵۶,۱۴۰۲/۰۲/۰۵ ۲۱:۲۸:۵۶,/Reports/Decision.aspx?LetterSerial=gpNxzjsT8VRanBo9x%2bgYFQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1008736,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۹ ۱۸:۰۶:۱۷,۱۴۰۲/۰۱/۰۹ ۱۸:۰۶:۱۷,/Reports/Decision.aspx?LetterSerial=rio7K5efDXNYkgezh7%2bxWQ%3d%3d&rt=2&let=8&ct=0&ft=-1
994585,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۱ ۱۳:۰۷:۵۲,۱۴۰۱/۱۲/۰۱ ۱۳:۰۷:۵۲,/Reports/Decision.aspx?LetterSerial=K07SzJmxzE4qiNzwGm545g%3d%3d&rt=2&let=8&ct=0&ft=-1
984892,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۱ ۱۸:۳۵:۲۴,۱۴۰۱/۱۱/۰۱ ۱۸:۳۵:۲۴,/Reports/Decision.aspx?LetterSerial=dmvpEnUs2FCybuaxiUIZEw%3d%3d&rt=2&let=8&ct=0&ft=-1
975808,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۱۰ ۱۵:۴۷:۳۲,۱۴۰۱/۱۰/۱۰ ۱۵:۴۷:۳۲,/Reports/Decision.aspx?LetterSerial=9RCoM6vtivGJirnyj7Cu6Q%3d%3d&rt=2&let=8&ct=0&ft=-1
962884,شفا,سرمایه گذاری شفادارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۵ ۱۸:۰۱:۱۲,۱۴۰۱/۰۹/۰۵ ۱۸:۰۱:۱۲,/Reports/Decision.aspx?LetterSerial=boiTv68lG1nsyexY0NzFrQ%3d%3d&rt=2&let=8&ct=0&ft=-1
