TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1083215,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۲۹ ۱۳:۰۷:۰۵,۱۴۰۲/۰۶/۲۹ ۱۳:۰۷:۰۵,/Reports/Decision.aspx?LetterSerial=dJBCIYUl1UQOZuc9RDQQQaQQQOZg%3d%3d&rt=0&let=58&ct=0&ft=-1
1068829,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۱۷ ۱۰:۵۲:۳۲,۱۴۰۲/۰۵/۱۷ ۱۰:۵۲:۳۲,/Reports/Decision.aspx?LetterSerial=uuSDLIMMBqM5PP%2bdN9eABw%3d%3d&rt=0&let=58&ct=0&ft=-1
1049167,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۲ ۱۶:۴۷:۱۷,۱۴۰۲/۰۴/۱۲ ۱۶:۴۷:۱۷,/Reports/Decision.aspx?LetterSerial=PyREclMr62ng8QQQaQQQ64pTSk8g%3d%3d&rt=0&let=58&ct=0&ft=-1
1031503,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۳:۰۸:۵۵,۱۴۰۲/۰۳/۰۶ ۱۳:۰۸:۵۵,/Reports/Decision.aspx?LetterSerial=btpcOS6ytoyu8l4IHQQQaQQQDLGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1027032,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۴:۴۶:۲۹,۱۴۰۲/۰۲/۲۸ ۱۴:۴۶:۲۹,/Reports/Decision.aspx?LetterSerial=5Ea55m2NRFIrINO0OcuNVw%3d%3d&rt=0&let=58&ct=0&ft=-1
1017501,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۱ ۱۳:۲۸:۰۳,۱۴۰۲/۰۲/۱۱ ۱۳:۲۸:۰۳,/Reports/Decision.aspx?LetterSerial=u31c33YF4jWvRQQQaQQQKZIN7b7w%3d%3d&rt=0&let=58&ct=0&ft=-1
1006987,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۲:۵۷:۳۱,۱۴۰۲/۰۱/۰۷ ۱۲:۵۷:۳۱,/Reports/Decision.aspx?LetterSerial=rOhmA9x%2b9kKFUA0CHZWJwg%3d%3d&rt=0&let=58&ct=0&ft=-1
997319,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۸:۴۲:۲۰,۱۴۰۱/۱۲/۰۷ ۱۸:۴۲:۲۰,/Reports/Decision.aspx?LetterSerial=JCgG4kyCn5WRUIPElB3oDQ%3d%3d&rt=0&let=58&ct=0&ft=-1
985973,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۳۰:۳۵,۱۴۰۱/۱۱/۰۴ ۱۱:۳۰:۳۵,/Reports/Decision.aspx?LetterSerial=79Ia2wMivxBQtDU26D2LIg%3d%3d&rt=0&let=58&ct=0&ft=-1
983838,شفارا,پتروشیمی فارابی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۳:۰۶:۲۱,۱۴۰۱/۱۰/۲۸ ۱۳:۰۶:۲۱,/Reports/Decision.aspx?LetterSerial=khr6i6t6Ott58lFIMQQQaQQQQPxA%3d%3d&rt=0&let=58&ct=0&ft=-1
