TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076315,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۵:۲۴:۴۵,۱۴۰۲/۰۶/۰۶ ۱۵:۲۴:۴۵,/Reports/Decision.aspx?LetterSerial=Gi9MltlXaokNiUkKQUZHJg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063399,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۰۹:۰۳,۱۴۰۲/۰۵/۰۴ ۱۵:۰۹:۰۳,/Reports/Decision.aspx?LetterSerial=MimktxsrHr5wZ6s1ONld6Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1047558,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۵:۱۰:۰۷,۱۴۰۲/۰۴/۰۷ ۱۵:۱۰:۰۷,/Reports/Decision.aspx?LetterSerial=%2bdp%2bXnVWDKw%2bvBhE3t45iw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031619,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۱۹:۱۹,۱۴۰۲/۰۳/۰۶ ۱۶:۱۹:۱۹,/Reports/Decision.aspx?LetterSerial=Ehkp7D7JhqKEQeJQQQaQQQWhQQQaQQQazg%3d%3d&rt=0&let=58&ct=0&ft=-1
1027377,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۹ ۱۷:۰۹:۲۱,۱۴۰۲/۰۲/۲۹ ۱۷:۰۹:۲۱,/Reports/Decision.aspx?LetterSerial=FMu%2b1tLW2IeK4jQ2SiHs%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1018315,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۵:۴۱:۴۳,۱۴۰۲/۰۲/۰۹ ۱۵:۴۱:۴۳,/Reports/Decision.aspx?LetterSerial=74Zhp7qSJPkMad4M0GDIQg%3d%3d&rt=0&let=58&ct=0&ft=-1
1008952,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۴:۲۸:۵۷,۱۴۰۲/۰۱/۰۹ ۱۴:۲۸:۵۷,/Reports/Decision.aspx?LetterSerial=QQQaQQQvNZsyNP56q4FuGQ9nn32Q%3d%3d&rt=0&let=58&ct=0&ft=-1
994408,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۲۰:۵۴:۴۴,۱۴۰۱/۱۲/۰۶ ۲۰:۵۴:۴۴,/Reports/Decision.aspx?LetterSerial=96o59DgwQ52kkj6vmNW9WA%3d%3d&rt=0&let=58&ct=0&ft=-1
984785,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۵۳:۵۴,۱۴۰۱/۱۱/۰۵ ۱۷:۵۳:۵۴,/Reports/Decision.aspx?LetterSerial=tEvyQbyan0nOtJIlnddd5Q%3d%3d&rt=0&let=58&ct=0&ft=-1
985499,شفارس,صنایع شیمیایی فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۲ ۰۸:۰۷:۳۶,۱۴۰۱/۱۱/۰۲ ۰۸:۰۷:۳۶,/Reports/Decision.aspx?LetterSerial=kHNrC6%2bxkajfBulTcjoqIA%3d%3d&rt=0&let=58&ct=0&ft=-1
