TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077025,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۸:۱۴:۳۰,۱۴۰۲/۰۶/۰۷ ۱۸:۱۴:۳۰,/Reports/Decision.aspx?LetterSerial=HHQYBY7QcsyAOZHswosM2w%3d%3d&rt=0&let=58&ct=0&ft=-1
1065009,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۵:۵۷:۴۴,۱۴۰۲/۰۵/۰۷ ۱۵:۵۷:۴۴,/Reports/Decision.aspx?LetterSerial=UJYzkGaAhUhmdaW1tpsL2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1048063,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۷:۲۰:۳۳,۱۴۰۲/۰۴/۰۷ ۱۷:۲۰:۳۳,/Reports/Decision.aspx?LetterSerial=RhCMxQFUwadthj1dWWn3Hw%3d%3d&rt=0&let=58&ct=0&ft=-1
1032599,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۵۰:۳۱,۱۴۰۲/۰۳/۰۷ ۱۷:۵۰:۳۱,/Reports/Decision.aspx?LetterSerial=cQQQaQQQ7c26XbsnomUmIM231F2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1020827,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۳ ۱۸:۲۱:۳۰,۱۴۰۲/۰۲/۱۳ ۱۸:۲۱:۳۰,/Reports/Decision.aspx?LetterSerial=i2pSJCvBnGLFXIykajVZfw%3d%3d&rt=0&let=58&ct=0&ft=-1
1019273,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۵:۵۱:۴۹,۱۴۰۲/۰۲/۱۰ ۱۵:۵۱:۴۹,/Reports/Decision.aspx?LetterSerial=pPYAMAL6kIzCDS%2bz5lyK%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1009104,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۲۰:۴۹,۱۴۰۲/۰۱/۰۹ ۱۳:۲۰:۴۹,/Reports/Decision.aspx?LetterSerial=pAD2HJ7TNV8oQ9jhdDCrhw%3d%3d&rt=0&let=58&ct=0&ft=-1
997763,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۹:۴۳:۲۳,۱۴۰۱/۱۲/۰۷ ۱۹:۴۳:۲۳,/Reports/Decision.aspx?LetterSerial=5rhU4HqpweZehMK9OlXBtw%3d%3d&rt=0&let=58&ct=0&ft=-1
987838,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۲۷:۴۷,۱۴۰۱/۱۱/۰۵ ۱۷:۲۷:۴۷,/Reports/Decision.aspx?LetterSerial=QrBmTwcIRui7BMnlQQQaQQQRkmwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
976628,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۸:۱۴:۴۱,۱۴۰۱/۱۰/۱۰ ۱۸:۱۴:۴۱,/Reports/Decision.aspx?LetterSerial=BTdxXAjtnDibxcByh%2bfaKA%3d%3d&rt=0&let=58&ct=0&ft=-1
965037,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۸:۴۲:۲۳,۱۴۰۱/۰۹/۰۷ ۱۸:۴۲:۲۳,/Reports/Decision.aspx?LetterSerial=4F1arPbpc8LvYz8OOD2XUA%3d%3d&rt=0&let=58&ct=0&ft=-1
952118,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۹:۱۳:۳۵,۱۴۰۱/۰۸/۰۷ ۱۹:۱۳:۳۵,/Reports/Decision.aspx?LetterSerial=tLjtZmxQQQaQQQ5MrGy7bo%2bhlQQQaQQQSw%3d%3d&rt=0&let=58&ct=0&ft=-1
948823,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۵:۴۱:۰۸,۱۴۰۱/۰۷/۳۰ ۱۵:۴۱:۰۸,/Reports/Decision.aspx?LetterSerial=QQQaQQQ8c8yRHoEeGP0lqruHVDyw%3d%3d&rt=0&let=58&ct=0&ft=-1
948522,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۲:۱۴:۵۸,۱۴۰۱/۰۷/۳۰ ۱۲:۱۴:۵۸,/Reports/Decision.aspx?LetterSerial=RjV1TQQQaQQQvjskI7WqE1G2Vs3A%3d%3d&rt=0&let=58&ct=0&ft=-1
943114,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۶:۴۰:۴۶,۱۴۰۱/۰۷/۱۰ ۱۶:۴۰:۴۶,/Reports/Decision.aspx?LetterSerial=RseDp6wMhoXSx6kay26zzA%3d%3d&rt=0&let=58&ct=0&ft=-1
931915,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۵:۰۰:۰۳,۱۴۰۱/۰۶/۰۷ ۱۵:۰۰:۰۳,/Reports/Decision.aspx?LetterSerial=0OD2RCqqCjXmRkbeSb2G0g%3d%3d&rt=0&let=58&ct=0&ft=-1
919530,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۵:۲۹:۰۶,۱۴۰۱/۰۵/۰۵ ۱۵:۲۹:۰۶,/Reports/Decision.aspx?LetterSerial=O9LWqW%2bL773q64TMq3JhxQ%3d%3d&rt=0&let=58&ct=0&ft=-1
904042,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۸:۳۶:۰۶,۱۴۰۱/۰۴/۰۷ ۱۸:۳۶:۰۶,/Reports/Decision.aspx?LetterSerial=llIjCQMIZLVsYTp7Kfo3CA%3d%3d&rt=0&let=58&ct=0&ft=-1
889094,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۹:۳۹:۲۸,۱۴۰۱/۰۳/۰۷ ۱۹:۳۹:۲۸,/Reports/Decision.aspx?LetterSerial=B7LpG2YzMHvSUcMOonQQQaQQQXPQ%3d%3d&rt=0&let=58&ct=0&ft=-1
876307,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۸ ۱۷:۲۵:۴۰,۱۴۰۱/۰۲/۰۸ ۱۷:۲۵:۴۰,/Reports/Decision.aspx?LetterSerial=E%2B4Sb2XVcc4sT5CFL8rGQQQaQQQw%3D%3D&rt=0&let=58&ct=0&ft=-1
872566,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۱/۳۱ ۲۰:۰۶:۱۵,۱۴۰۱/۰۱/۳۱ ۲۰:۰۶:۱۵,/Reports/Decision.aspx?LetterSerial=6D8Jf7hFSJkGqWtyYXa0Ig%3D%3D&rt=0&let=58&ct=0&ft=-1
866076,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۴ ۰۸:۳۷:۵۱,۱۴۰۱/۰۱/۱۴ ۰۸:۳۷:۵۱,/Reports/Decision.aspx?LetterSerial=tP%2BaH4LQWOgTpR7ozQlOTg%3D%3D&rt=0&let=58&ct=0&ft=-1
857966,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۲۱:۵۵:۴۲,۱۴۰۰/۱۲/۰۷ ۲۱:۵۵:۴۲,/Reports/Decision.aspx?LetterSerial=3RWfss7yDH1nIugwPQfjEA%3D%3D&rt=0&let=58&ct=0&ft=-1
848928,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۲۰:۵۱:۱۰,۱۴۰۰/۱۱/۰۶ ۲۰:۵۱:۱۰,/Reports/Decision.aspx?LetterSerial=D83FpQQQaQQQZEhc1oF0LhQQQaQQQ1MgFA%3D%3D&rt=0&let=58&ct=0&ft=-1
836433,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۷ ۱۳:۱۶:۱۶,۱۴۰۰/۱۰/۰۷ ۱۳:۱۶:۱۶,/Reports/Decision.aspx?LetterSerial=13be7QQQaQQQDdccu4OrVLeVwrHw%3D%3D&rt=0&let=58&ct=0&ft=-1
823991,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۲۱:۰۵:۲۴,۱۴۰۰/۰۹/۰۷ ۲۱:۰۵:۲۴,/Reports/Decision.aspx?LetterSerial=Hraf7VyC4%2BW4Te7ktQQQaQQQdT2w%3D%3D&rt=0&let=58&ct=0&ft=-1
811482,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۱۸:۰۵:۳۵,۱۴۰۰/۰۸/۰۸ ۱۸:۰۵:۳۵,/Reports/Decision.aspx?LetterSerial=VWrlVMya7JL67L6sOYQQQaQQQi1g%3D%3D&rt=0&let=58&ct=0&ft=-1
802004,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۱۰ ۲۳:۳۳:۴۴,۱۴۰۰/۰۷/۱۰ ۲۳:۳۳:۴۴,/Reports/Decision.aspx?LetterSerial=l65C0jej6AoFQ4Gme7CsMw%3D%3D&rt=0&let=58&ct=0&ft=-1
786948,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۵:۱۸:۳۰,۱۴۰۰/۰۶/۰۷ ۱۵:۱۸:۳۰,/Reports/Decision.aspx?LetterSerial=AQQQaQQQ2Qcq449rBKVJi6hnVy5Q%3D%3D&rt=0&let=58&ct=0&ft=-1
778415,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۷ ۰۰:۰۱:۱۱,۱۴۰۰/۰۵/۰۷ ۰۰:۰۱:۱۱,/Reports/Decision.aspx?LetterSerial=sYaQQQaQQQm40P55CQQQaQQQ1SQQQaQQQvcQpKKg%3D%3D&rt=0&let=58&ct=0&ft=-1
764048,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۷ ۱۹:۴۱:۵۴,۱۴۰۰/۰۴/۰۷ ۱۹:۴۱:۵۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQ5NnlrX9akndw5pE2k8bNw%3D%3D&rt=0&let=58&ct=0&ft=-1
751451,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۵:۰۵:۴۹,۱۴۰۰/۰۳/۰۵ ۱۵:۰۵:۴۹,/Reports/Decision.aspx?LetterSerial=WN2j5%2BRQfxItYmwyMGhlrA%3D%3D&rt=0&let=58&ct=0&ft=-1
741151,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۷ ۱۴:۵۷:۱۴,۱۴۰۰/۰۲/۰۷ ۱۴:۵۷:۱۴,/Reports/Decision.aspx?LetterSerial=XmHQ8zrEkKQsLt4pnHgSmA%3D%3D&rt=0&let=58&ct=0&ft=-1
733433,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۴ ۱۸:۱۰:۱۸,۱۴۰۰/۰۱/۱۴ ۱۸:۱۰:۱۸,/Reports/Decision.aspx?LetterSerial=O65xwudEEwLqgM%2BDnOXFcw%3D%3D&rt=0&let=58&ct=0&ft=-1
725469,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۶ ۱۴:۲۸:۵۷,۱۳۹۹/۱۲/۰۶ ۱۴:۲۸:۵۷,/Reports/Decision.aspx?LetterSerial=nNIbczRSwe817QDfPFMUzw%3D%3D&rt=0&let=58&ct=0&ft=-1
716770,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۶ ۲۳:۱۶:۲۰,۱۳۹۹/۱۱/۰۶ ۲۳:۱۶:۲۰,/Reports/Decision.aspx?LetterSerial=bb4rKaYFO2Pt97yOhidmng%3D%3D&rt=0&let=58&ct=0&ft=-1
706398,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۶ ۱۶:۰۵:۴۵,۱۳۹۹/۱۰/۰۶ ۱۶:۰۵:۴۵,/Reports/Decision.aspx?LetterSerial=R%2BjQQQaQQQCHU4hKPjGCuq9RLL2g%3D%3D&rt=0&let=58&ct=0&ft=-1
696994,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۴ ۱۴:۴۵:۱۵,۱۳۹۹/۰۹/۰۴ ۱۴:۴۵:۱۵,/Reports/Decision.aspx?LetterSerial=V0wFP4AZc%2BgWVH%2BV9mEfRg%3D%3D&rt=0&let=58&ct=0&ft=-1
687186,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۰۷ ۱۶:۱۷:۴۱,۱۳۹۹/۰۸/۰۷ ۱۶:۱۷:۴۱,/Reports/Decision.aspx?LetterSerial=Fb5jgGoFky4eVlQQQaQQQZoC1IBA%3D%3D&rt=0&let=58&ct=0&ft=-1
675906,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۶/۳۱,ن-۳۰,۱۳۹۹/۰۷/۰۶ ۱۵:۵۳:۰۹,۱۳۹۹/۰۷/۰۶ ۱۵:۵۳:۰۹,/Reports/Decision.aspx?LetterSerial=LutLsBC%2BBspgNQi57YTg%2BA%3D%3D&rt=0&let=58&ct=0&ft=-1
668083,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۵/۳۱,ن-۳۰,۱۳۹۹/۰۶/۰۵ ۱۴:۴۵:۱۷,۱۳۹۹/۰۶/۰۵ ۱۴:۴۵:۱۷,/Reports/Decision.aspx?LetterSerial=B8AxAJ6zqHtZQJA5%2BL3CRQ%3D%3D&rt=0&let=58&ct=0&ft=-1
658887,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۴/۳۱,ن-۳۰,۱۳۹۹/۰۵/۰۵ ۱۷:۲۷:۱۴,۱۳۹۹/۰۵/۰۵ ۱۷:۲۷:۱۴,/Reports/Decision.aspx?LetterSerial=Em0NIb5eSmx7ZGlqMWiJRA%3D%3D&rt=0&let=58&ct=0&ft=-1
646470,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۳/۳۱,ن-۳۰,۱۳۹۹/۰۴/۰۵ ۱۰:۰۱:۰۳,۱۳۹۹/۰۴/۰۵ ۱۰:۰۱:۰۳,/Reports/Decision.aspx?LetterSerial=H7Dmj1HtYy13H1wQSiDr3A%3D%3D&rt=0&let=58&ct=0&ft=-1
637371,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۲/۳۱,ن-۳۰,۱۳۹۹/۰۳/۰۸ ۱۵:۰۷:۰۱,۱۳۹۹/۰۳/۰۸ ۱۵:۰۷:۰۱,/Reports/Decision.aspx?LetterSerial=LA88AsYjcYLMbX%2B9PHmdzQ%3D%3D&rt=0&let=58&ct=0&ft=-1
626433,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۱/۳۱,ن-۳۰,۱۳۹۹/۰۲/۰۶ ۱۱:۱۸:۱۹,۱۳۹۹/۰۲/۰۶ ۱۱:۱۸:۱۹,/Reports/Decision.aspx?LetterSerial=TzXG3ajrgbKzJN%2BUAJ4AOw%3D%3D&rt=0&let=58&ct=0&ft=-1
618528,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۱۲/۲۹,ن-۳۰,۱۳۹۹/۰۱/۱۴ ۰۹:۵۱:۳۵,۱۳۹۹/۰۱/۱۴ ۰۹:۵۱:۳۵,/Reports/Decision.aspx?LetterSerial=9PDnELbho8YDgy8X3MvVrg%3D%3D&rt=0&let=58&ct=0&ft=-1
611233,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۱۱/۳۰,ن-۳۰,۱۳۹۸/۱۲/۰۶ ۱۴:۰۱:۲۴,۱۳۹۸/۱۲/۰۶ ۱۴:۰۱:۲۴,/Reports/Decision.aspx?LetterSerial=A7I6%2BGK4TPGYuQWFmVAsYA%3D%3D&rt=0&let=58&ct=0&ft=-1
604479,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۱۰/۳۰,ن-۳۰,۱۳۹۸/۱۱/۰۶ ۱۹:۳۳:۵۴,۱۳۹۸/۱۱/۰۶ ۱۹:۳۳:۵۴,/Reports/Decision.aspx?LetterSerial=jTBMmVXSaHkU6vsUpgE7%2Bw%3D%3D&rt=0&let=58&ct=0&ft=-1
596425,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۹/۳۰,ن-۳۰,۱۳۹۸/۱۰/۰۷ ۱۲:۵۷:۰۸,۱۳۹۸/۱۰/۰۷ ۱۲:۵۷:۰۸,/Reports/Decision.aspx?LetterSerial=doCUPbAihzUVLdNlEvmOjg%3D%3D&rt=0&let=58&ct=0&ft=-1
587684,شنفت,نفت پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۸/۳۰,ن-۳۰,۱۳۹۸/۰۹/۰۵ ۱۱:۱۵:۰۶,۱۳۹۸/۰۹/۰۵ ۱۱:۱۵:۰۶,/Reports/Decision.aspx?LetterSerial=YP7f%2BXrZOVqAZAFMQYDB6Q%3D%3D&rt=0&let=58&ct=0&ft=-1
