TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075216,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۶:۰۶:۰۹,۱۴۰۲/۰۶/۰۵ ۱۶:۰۶:۰۹,/Reports/Decision.aspx?LetterSerial=m5lmSRVK6qdOHKShldCfzQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1062396,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۲:۳۱:۲۸,۱۴۰۲/۰۵/۰۴ ۱۲:۳۱:۲۸,/Reports/Decision.aspx?LetterSerial=fJzoEFNYsVSh5n2DX8%2br3Q%3d%3d&rt=2&let=8&ct=0&ft=-1
1048571,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۴/۱۰ ۱۱:۴۸:۵۸,۱۴۰۲/۰۴/۱۰ ۱۱:۴۸:۵۸,/Reports/Decision.aspx?LetterSerial=5PWAoymQQvj4XfdJpunGCA%3d%3d&rt=2&let=8&ct=0&ft=-1
1044824,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۴ ۱۶:۱۲:۵۱,۱۴۰۲/۰۴/۰۴ ۱۶:۱۲:۵۱,/Reports/Decision.aspx?LetterSerial=6Y0vqN0ACu5KG7h6f25FtQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1028873,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۲ ۱۵:۳۵:۱۱,۱۴۰۲/۰۳/۰۲ ۱۵:۳۵:۱۱,/Reports/Decision.aspx?LetterSerial=TYZkHe8TUaWrY0sHbTrSrg%3d%3d&rt=2&let=8&ct=0&ft=-1
1018065,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۷ ۱۲:۳۳:۵۲,۱۴۰۲/۰۲/۰۷ ۱۲:۳۳:۵۲,/Reports/Decision.aspx?LetterSerial=%2b4qnJzzjJUsEqJSMX2K57w%3d%3d&rt=2&let=8&ct=0&ft=-1
1017970,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۸:۳۴:۵۳,۱۴۰۲/۰۲/۰۶ ۱۸:۳۴:۵۳,/Reports/Decision.aspx?LetterSerial=Z9zIIQQQaQQQjwvLc6jjYWFtXJfw%3d%3d&rt=2&let=8&ct=0&ft=-1
1017056,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۸:۰۲:۴۷,۱۴۰۲/۰۲/۰۵ ۱۸:۰۲:۴۷,/Reports/Decision.aspx?LetterSerial=2dzy8lXt41m9mVRDBtBhTQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1016999,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۵:۴۹:۴۴,۱۴۰۲/۰۲/۰۵ ۱۵:۴۹:۴۴,/Reports/Decision.aspx?LetterSerial=u6eupIfgIJwaPOxhgaAMZw%3d%3d&rt=2&let=8&ct=0&ft=-1
1016903,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۵:۰۸:۲۰,۱۴۰۲/۰۲/۰۵ ۱۵:۰۸:۲۰,/Reports/Decision.aspx?LetterSerial=KIN1O3vXzTVgom1O%2bRJx7A%3d%3d&rt=2&let=8&ct=0&ft=-1
1016685,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۴:۱۲:۳۴,۱۴۰۲/۰۲/۰۵ ۱۴:۱۲:۳۴,/Reports/Decision.aspx?LetterSerial=4YVOyBA12ak1ETFpP0%2bgHg%3d%3d&rt=2&let=8&ct=0&ft=-1
1016497,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۱:۱۲:۱۹,۱۴۰۲/۰۲/۰۵ ۱۱:۱۲:۱۹,/Reports/Decision.aspx?LetterSerial=S3sA%2bRWbrAowiM0zkMFjrw%3d%3d&rt=2&let=8&ct=0&ft=-1
1016262,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۲۰:۰۳:۲۴,۱۴۰۲/۰۲/۰۴ ۲۰:۰۳:۲۴,/Reports/Decision.aspx?LetterSerial=e8ALMR0pyOVJu67QQQaQQQUW6Krg%3d%3d&rt=2&let=8&ct=0&ft=-1
1016379,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۷:۵۳:۵۹,۱۴۰۲/۰۲/۰۴ ۱۷:۵۳:۵۹,/Reports/Decision.aspx?LetterSerial=Xvz8B2Ktz9ZVnVr98BBPmQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1016201,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۵:۲۷:۱۷,۱۴۰۲/۰۲/۰۴ ۱۵:۲۷:۱۷,/Reports/Decision.aspx?LetterSerial=WB2W5iLEZWCiv9so0RAeTA%3d%3d&rt=2&let=8&ct=0&ft=-1
1016122,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۲۳:۱۸,۱۴۰۲/۰۲/۰۴ ۱۴:۲۳:۱۸,/Reports/Decision.aspx?LetterSerial=JVlbnUe86c0ebC8h6v%2bawA%3d%3d&rt=2&let=8&ct=0&ft=-1
1016010,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۳:۱۰:۳۲,۱۴۰۲/۰۲/۰۴ ۱۳:۱۰:۳۲,/Reports/Decision.aspx?LetterSerial=sgqvz5pCzisJi1jS7kjW3g%3d%3d&rt=2&let=8&ct=0&ft=-1
1012796,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۱:۴۳:۱۸,۱۴۰۲/۰۲/۰۴ ۱۱:۴۳:۱۸,/Reports/Decision.aspx?LetterSerial=kgRFrcVG6q03OfQQQaQQQ6izV5pg%3d%3d&rt=2&let=8&ct=0&ft=-1
1012747,شهر,گروه مالی شهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۰۹:۴۳:۲۲,۱۴۰۲/۰۲/۰۴ ۰۹:۴۳:۲۲,/Reports/Decision.aspx?LetterSerial=Utll1IhZqguC9labFqjOtQ%3d%3d&rt=2&let=8&ct=0&ft=-1
