TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074587,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۲ ۱۰:۵۰:۳۳,۱۴۰۲/۰۶/۰۲ ۱۰:۵۰:۳۳,/Reports/Decision.aspx?LetterSerial=inKYp5in8InFcB6NSzaKQA%3d%3d&rt=2&let=8&ct=0&ft=-1
1063345,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۳ ۰۸:۱۷:۲۹,۱۴۰۲/۰۵/۰۳ ۰۸:۱۷:۲۹,/Reports/Decision.aspx?LetterSerial=P4%2bng3IqkfVwwV%2bjFJvZZw%3d%3d&rt=2&let=8&ct=0&ft=-1
1046515,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۰:۰۰,۱۴۰۲/۰۴/۰۵ ۱۸:۰۰:۰۰,/Reports/Decision.aspx?LetterSerial=suEwAVame%2bWyYWajj3ms0w%3d%3d&rt=2&let=8&ct=0&ft=-1
1030780,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۷:۱۵:۰۶,۱۴۰۲/۰۳/۰۳ ۱۷:۱۵:۰۶,/Reports/Decision.aspx?LetterSerial=QLbMGpJqc7nPeFQd2N6S9w%3d%3d&rt=2&let=8&ct=0&ft=-1
1017154,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۸:۳۰:۲۳,۱۴۰۲/۰۲/۰۵ ۱۸:۳۰:۲۳,/Reports/Decision.aspx?LetterSerial=3NVsWENQQQaQQQJQQQaQQQ3KvkQKHe%2brpA%3d%3d&rt=2&let=8&ct=0&ft=-1
1006097,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۲۲:۰۳:۴۴,۱۴۰۱/۱۲/۲۸ ۲۲:۰۳:۴۴,/Reports/Decision.aspx?LetterSerial=NZQfnm5DeTgZMqXrRndFWA%3d%3d&rt=2&let=8&ct=0&ft=-1
996589,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۵ ۱۷:۲۴:۱۱,۱۴۰۱/۱۲/۰۵ ۱۷:۲۴:۱۱,/Reports/Decision.aspx?LetterSerial=gCVn0JJLAWTL9A4UEvuVLw%3d%3d&rt=2&let=8&ct=0&ft=-1
987633,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۳:۲۲:۱۴,۱۴۰۱/۱۱/۰۵ ۱۳:۲۲:۱۴,/Reports/Decision.aspx?LetterSerial=Yb3Thlox%2b%2biN8dXLJMEFjA%3d%3d&rt=2&let=8&ct=0&ft=-1
975581,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۸:۴۶:۰۳,۱۴۰۱/۱۰/۰۵ ۱۸:۴۶:۰۳,/Reports/Decision.aspx?LetterSerial=VDGxPDxsQde0Kj53GksNew%3d%3d&rt=2&let=8&ct=0&ft=-1
965055,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۷ ۲۰:۰۶:۰۰,۱۴۰۱/۰۹/۰۷ ۲۰:۰۶:۰۰,/Reports/Decision.aspx?LetterSerial=I1xLj8M4Xurf4hhviFs4HA%3d%3d&rt=2&let=8&ct=0&ft=-1
949117,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۷/۳۰ ۲۰:۱۳:۱۵,۱۴۰۱/۰۷/۳۰ ۲۰:۱۳:۱۵,/Reports/Decision.aspx?LetterSerial=h3k00XpALZQQQaQQQKNWvsQQQaQQQe1I1Q%3d%3d&rt=2&let=8&ct=0&ft=-1
941850,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۶ ۱۳:۳۱:۲۱,۱۴۰۱/۰۷/۰۶ ۱۳:۳۱:۲۱,/Reports/Decision.aspx?LetterSerial=S6lCQQQaQQQ8cyezQ4vBv3dWP9Dg%3d%3d&rt=2&let=8&ct=0&ft=-1
930917,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۵ ۲۰:۰۸:۰۹,۱۴۰۱/۰۶/۰۵ ۲۰:۰۸:۰۹,/Reports/Decision.aspx?LetterSerial=%2bPgCNvLy5FCQ%2bikUsxaWsQ%3d%3d&rt=2&let=8&ct=0&ft=-1
919663,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۵ ۱۷:۰۳:۳۳,۱۴۰۱/۰۵/۰۵ ۱۷:۰۳:۳۳,/Reports/Decision.aspx?LetterSerial=XkDNkQQQaQQQ9emHiU5HMs9caeaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
903220,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۶ ۱۷:۳۵:۱۰,۱۴۰۱/۰۴/۰۶ ۱۷:۳۵:۱۰,/Reports/Decision.aspx?LetterSerial=1mbwm4AZep%2bf8RipaUDbIg%3d%3d&rt=2&let=8&ct=0&ft=-1
887211,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۵ ۱۱:۰۸:۱۵,۱۴۰۱/۰۳/۰۵ ۱۱:۰۸:۱۵,/Reports/Decision.aspx?LetterSerial=e2GReM3XKFK4%2bz8DKdYXZg%3d%3d&rt=2&let=8&ct=0&ft=-1
875401,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۶ ۱۶:۳۳:۴۸,۱۴۰۱/۰۲/۰۶ ۱۶:۳۳:۴۸,/Reports/Decision.aspx?LetterSerial=eNCUQQQaQQQAKYAbUQ%2Bwjtg5Pd0Q%3D%3D&rt=2&let=8&ct=0&ft=-1
864797,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۶ ۱۴:۴۵:۵۸,۱۴۰۱/۰۱/۰۶ ۱۴:۴۵:۵۸,/Reports/Decision.aspx?LetterSerial=mdnD7qTRNORdDB9d3ZQQQaQQQVNA%3D%3D&rt=2&let=8&ct=0&ft=-1
857362,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۵ ۱۳:۳۳:۳۴,۱۴۰۰/۱۲/۰۵ ۱۳:۳۳:۳۴,/Reports/Decision.aspx?LetterSerial=5FA5OtVB1%2B5osao6FQQQaQQQlQQQaQQQ3g%3D%3D&rt=2&let=8&ct=0&ft=-1
848926,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۶ ۲۱:۲۱:۴۰,۱۴۰۰/۱۱/۰۶ ۲۱:۲۱:۴۰,/Reports/Decision.aspx?LetterSerial=Z%2BSeHnswObjL3RqlJVRy5A%3D%3D&rt=2&let=8&ct=0&ft=-1
833944,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۵ ۱۸:۳۹:۱۳,۱۴۰۰/۱۰/۰۵ ۱۸:۳۹:۱۳,/Reports/Decision.aspx?LetterSerial=pKIHT99UQQQaQQQYZOQJkCxQ21bQ%3D%3D&rt=2&let=8&ct=0&ft=-1
822446,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۳ ۱۷:۳۱:۵۸,۱۴۰۰/۰۹/۰۳ ۱۷:۳۱:۵۸,/Reports/Decision.aspx?LetterSerial=UEg76FwVgckO37QQQaQQQ9rwceHQ%3D%3D&rt=2&let=8&ct=0&ft=-1
808510,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۷/۲۹ ۱۵:۴۷:۴۷,۱۴۰۰/۰۷/۲۹ ۱۵:۴۷:۴۷,/Reports/Decision.aspx?LetterSerial=bwJLRwsWUBQQQaQQQQQQaQQQya0n0EWjNQ%3D%3D&rt=2&let=8&ct=0&ft=-1
798501,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۰۱ ۱۳:۱۲:۳۵,۱۴۰۰/۰۷/۰۱ ۱۳:۱۲:۳۵,/Reports/Decision.aspx?LetterSerial=D8uqWaRiQQQaQQQxLyLh2MUi0igg%3D%3D&rt=2&let=8&ct=0&ft=-1
786237,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۶ ۲۰:۱۰:۴۰,۱۴۰۰/۰۶/۰۶ ۲۰:۱۰:۴۰,/Reports/Decision.aspx?LetterSerial=MyKCB91HElbQ8GDGJ%2BxUug%3D%3D&rt=2&let=8&ct=0&ft=-1
777782,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۶ ۱۸:۰۶:۰۳,۱۴۰۰/۰۵/۰۶ ۱۸:۰۶:۰۳,/Reports/Decision.aspx?LetterSerial=whcqMFQm6ZjLBnEN7vVqQg%3D%3D&rt=2&let=8&ct=0&ft=-1
761920,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۱,۱۴۰۰/۰۴/۰۳ ۱۵:۳۳:۳۵,۱۴۰۰/۰۴/۰۳ ۱۵:۳۳:۳۵,/Reports/Decision.aspx?LetterSerial=eBsegoPpVDObzAXMoH7gXA%3D%3D&rt=2&let=8&ct=0&ft=-1
751654,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۱,۱۴۰۰/۰۳/۰۵ ۱۶:۵۹:۴۲,۱۴۰۰/۰۳/۰۵ ۱۶:۵۹:۴۲,/Reports/Decision.aspx?LetterSerial=zeTHGvyxXKqrPQQQaQQQr64DdbyQ%3D%3D&rt=2&let=8&ct=0&ft=-1
739997,شوینده,مدیریت صنعت شوینده توسعه صنایع بهشهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۱,۱۴۰۰/۰۲/۰۵ ۱۲:۳۸:۴۵,۱۴۰۰/۰۲/۰۵ ۱۲:۳۸:۴۵,/Reports/Decision.aspx?LetterSerial=sBWsgflvCTy9LEDVpQiYWA%3D%3D&rt=2&let=8&ct=0&ft=-1
