TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075037,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۴:۵۱:۳۶,۱۴۰۲/۰۶/۰۵ ۱۴:۵۱:۳۶,/Reports/Decision.aspx?LetterSerial=UiuTOXkTHPKmzddEA2StkA%3d%3d&rt=0&let=58&ct=0&ft=-1
1075017,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۴:۰۵:۲۲,۱۴۰۲/۰۶/۰۴ ۱۴:۰۵:۲۲,/Reports/Decision.aspx?LetterSerial=yViiLHtZuuMhsG5OCsYjUA%3d%3d&rt=0&let=58&ct=0&ft=-1
1072445,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۲۸ ۲۱:۲۲:۵۰,۱۴۰۲/۰۵/۲۸ ۲۱:۲۲:۵۰,/Reports/Decision.aspx?LetterSerial=wbiRaLWFEdwcCtKdwDNUmQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063477,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۰:۵۹:۵۶,۱۴۰۲/۰۵/۰۴ ۱۰:۵۹:۵۶,/Reports/Decision.aspx?LetterSerial=rQxtq%2bnxMIrl9irZkk2jAA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045967,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۷:۵۹:۲۳,۱۴۰۲/۰۴/۰۶ ۱۷:۵۹:۲۳,/Reports/Decision.aspx?LetterSerial=oeMrcCErvBq43Eif5mZAhw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031016,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۱۷:۵۲,۱۴۰۲/۰۳/۰۶ ۱۶:۱۷:۵۲,/Reports/Decision.aspx?LetterSerial=R4PQul5WFiRSE9vFobiB2w%3d%3d&rt=0&let=58&ct=0&ft=-1
1023695,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۲۰ ۱۱:۵۷:۴۰,۱۴۰۲/۰۲/۲۰ ۱۱:۵۷:۴۰,/Reports/Decision.aspx?LetterSerial=Kz8de0wECXN5qC9JtbNlmg%3d%3d&rt=0&let=58&ct=0&ft=-1
1008820,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۲:۵۹:۴۲,۱۴۰۲/۰۱/۰۹ ۱۲:۵۹:۴۲,/Reports/Decision.aspx?LetterSerial=wRpy2F6JQjhSxmAGsQQQaQQQRkHw%3d%3d&rt=0&let=58&ct=0&ft=-1
996544,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۱:۵۶:۰۵,۱۴۰۱/۱۲/۰۷ ۱۱:۵۶:۰۵,/Reports/Decision.aspx?LetterSerial=kCqf00skbKvQlad93n8w7w%3d%3d&rt=0&let=58&ct=0&ft=-1
989298,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۰ ۱۷:۳۹:۱۶,۱۴۰۱/۱۱/۱۰ ۱۷:۳۹:۱۶,/Reports/Decision.aspx?LetterSerial=QQQaQQQZxCmhZH2dT4fZjmk3KNdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986077,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۵:۲۴:۳۷,۱۴۰۱/۱۱/۰۴ ۱۵:۲۴:۳۷,/Reports/Decision.aspx?LetterSerial=PwcgyfNr4zbVZS0VEXX0Vg%3d%3d&rt=0&let=58&ct=0&ft=-1
975913,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۴۷:۲۱,۱۴۰۱/۱۰/۱۰ ۱۵:۴۷:۲۱,/Reports/Decision.aspx?LetterSerial=fOrLbVcvLLFPODxClNMK3g%3d%3d&rt=0&let=58&ct=0&ft=-1
963043,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۲:۲۶:۱۰,۱۴۰۱/۰۹/۰۷ ۱۲:۲۶:۱۰,/Reports/Decision.aspx?LetterSerial=JRFC9%2bubzmPg5Nteug9hDw%3d%3d&rt=0&let=58&ct=0&ft=-1
950985,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۴:۲۰:۱۲,۱۴۰۱/۰۸/۰۷ ۱۴:۲۰:۱۲,/Reports/Decision.aspx?LetterSerial=FiVCz4Ej0JIQQQaQQQepiXUI1V3w%3d%3d&rt=0&let=58&ct=0&ft=-1
941673,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۷:۰۰:۱۸,۱۴۰۱/۰۷/۰۹ ۱۷:۰۰:۱۸,/Reports/Decision.aspx?LetterSerial=lRr3MWDR9MPhyQeCo2V1EA%3d%3d&rt=0&let=58&ct=0&ft=-1
930140,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۰۸:۳۶:۳۹,۱۴۰۱/۰۶/۰۷ ۰۸:۳۶:۳۹,/Reports/Decision.aspx?LetterSerial=7ElIIFwrtCl4b5mQQQaQQQAulzXg%3d%3d&rt=0&let=58&ct=0&ft=-1
930137,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۰۳ ۱۱:۳۰:۱۶,۱۴۰۱/۰۶/۰۳ ۱۱:۳۰:۱۶,/Reports/Decision.aspx?LetterSerial=LQVw5r8aJV8POzroGShQQQaQQQ9Q%3d%3d&rt=0&let=58&ct=0&ft=-1
925939,شپاکسا,پاکسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۲۹ ۱۶:۲۹:۱۳,۱۴۰۱/۰۵/۲۹ ۱۶:۲۹:۱۳,/Reports/Decision.aspx?LetterSerial=BfnnnKPIG85xvHSWLLoGTw%3d%3d&rt=0&let=58&ct=0&ft=-1
