TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076291,شپدیس,پترو شیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۰۹:۲۶:۴۴,۱۴۰۲/۰۶/۰۷ ۰۹:۲۶:۴۴,/Reports/Decision.aspx?LetterSerial=11zFrCw1nDyQQQaQQQ6B7DeZZnVw%3d%3d&rt=0&let=58&ct=0&ft=-1
1065628,شپدیس,پترو شیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۸ ۱۶:۱۰:۲۸,۱۴۰۲/۰۵/۰۸ ۱۶:۱۰:۲۸,/Reports/Decision.aspx?LetterSerial=x%2bCZXdnCLPGvhMSnf77zHw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064819,شپدیس,پترو شیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۱:۰۴:۳۱,۱۴۰۲/۰۵/۰۷ ۱۱:۰۴:۳۱,/Reports/Decision.aspx?LetterSerial=3nzZaeSbHLTkEQdScZm50A%3d%3d&rt=0&let=58&ct=0&ft=-1
1046788,شپدیس,پترو شیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۳:۵۶:۰۹,۱۴۰۲/۰۴/۰۶ ۱۳:۵۶:۰۹,/Reports/Decision.aspx?LetterSerial=twEDClAwMwDuUy51Sz6wuA%3d%3d&rt=0&let=58&ct=0&ft=-1
1035355,شپدیس,پترو شیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۱۳ ۱۲:۰۷:۵۶,۱۴۰۲/۰۳/۱۳ ۱۲:۰۷:۵۶,/Reports/Decision.aspx?LetterSerial=kbg98OLvPpYnQQQaQQQsPwZtemnA%3d%3d&rt=0&let=58&ct=0&ft=-1
1032792,شپدیس,پترو شیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۱۳ ۱۱:۴۷:۳۴,۱۴۰۲/۰۳/۱۳ ۱۱:۴۷:۳۴,/Reports/Decision.aspx?LetterSerial=tSiN0UUJO%2b14sQQQaQQQtDTDQWMw%3d%3d&rt=0&let=58&ct=0&ft=-1
1032190,شپدیس,پتروشیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۸ ۰۹:۰۷:۳۲,۱۴۰۲/۰۳/۰۸ ۰۹:۰۷:۳۲,/Reports/Decision.aspx?LetterSerial=qnFZr0gpJG8HU9Err9t%2bGg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031347,شپدیس,پتروشیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۱:۱۴:۵۱,۱۴۰۲/۰۳/۰۷ ۱۱:۱۴:۵۱,/Reports/Decision.aspx?LetterSerial=ajrTM69QQQaQQQbSJ0hRCWurDtRg%3d%3d&rt=0&let=58&ct=0&ft=-1
1029717,شپدیس,پتروشیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۲:۴۳:۰۸,۱۴۰۲/۰۳/۰۲ ۱۲:۴۳:۰۸,/Reports/Decision.aspx?LetterSerial=3gD9KZgDYUc3iEHDDO94dQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1028982,شپدیس,پتروشیمی پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۱:۳۸:۵۹,۱۴۰۲/۰۳/۰۲ ۱۱:۳۸:۵۹,/Reports/Decision.aspx?LetterSerial=eBO5Jg1NBdAJWeQQQaQQQi7rxWCw%3d%3d&rt=0&let=58&ct=0&ft=-1
