TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074724,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۳:۲۸:۰۰,۱۴۰۲/۰۶/۰۴ ۱۳:۲۸:۰۰,/Reports/Decision.aspx?LetterSerial=aQQQaQQQtjlHIHRBXW0hJ3Cmpj%2bA%3d%3d&rt=0&let=58&ct=0&ft=-1
1063457,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۵:۴۶:۵۹,۱۴۰۲/۰۵/۰۳ ۱۵:۴۶:۵۹,/Reports/Decision.aspx?LetterSerial=Hkmp9bdz7UNQjzsWZ5iR0w%3d%3d&rt=0&let=58&ct=0&ft=-1
1060739,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۳۱ ۱۱:۱۴:۲۳,۱۴۰۲/۰۴/۳۱ ۱۱:۱۴:۲۳,/Reports/Decision.aspx?LetterSerial=MIBYhsHTCMaxGfKMzNo2ZQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044160,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۰۸:۴۲:۲۳,۱۴۰۲/۰۴/۰۵ ۰۸:۴۲:۲۳,/Reports/Decision.aspx?LetterSerial=oYzkcc84vphvkguUiM32kg%3d%3d&rt=0&let=58&ct=0&ft=-1
1029641,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۴:۳۶:۳۳,۱۴۰۲/۰۳/۰۲ ۱۴:۳۶:۳۳,/Reports/Decision.aspx?LetterSerial=oTrQQQaQQQZX0UUCqcLP1IOXTqXw%3d%3d&rt=0&let=58&ct=0&ft=-1
1029547,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۰۹:۴۲:۳۱,۱۴۰۲/۰۳/۰۲ ۰۹:۴۲:۳۱,/Reports/Decision.aspx?LetterSerial=8UgvS4X9j174lU9N9E2lOw%3d%3d&rt=0&let=58&ct=0&ft=-1
1015891,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۰۸:۴۷:۳۸,۱۴۰۲/۰۲/۰۵ ۰۸:۴۷:۳۸,/Reports/Decision.aspx?LetterSerial=xlQsk%2bv1IyGIRH7MXotjrg%3d%3d&rt=0&let=58&ct=0&ft=-1
1015347,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۳ ۱۲:۱۸:۱۶,۱۴۰۲/۰۲/۰۳ ۱۲:۱۸:۱۶,/Reports/Decision.aspx?LetterSerial=q8YkrACB48vDgXBRQu0xtw%3d%3d&rt=0&let=58&ct=0&ft=-1
1003850,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۰:۰۹:۳۰,۱۴۰۲/۰۱/۰۵ ۱۰:۰۹:۳۰,/Reports/Decision.aspx?LetterSerial=QQQaQQQX00aa2luMdsHMjDCWNCCg%3d%3d&rt=0&let=58&ct=0&ft=-1
994715,شپلی,پلی اکریل ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۰۸:۴۵:۴۶,۱۴۰۱/۱۲/۰۲ ۰۸:۴۵:۴۶,/Reports/Decision.aspx?LetterSerial=UquOM6yXw7ueMiGztSd2Gg%3d%3d&rt=0&let=58&ct=0&ft=-1
