TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076280,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۶:۳۰:۰۸,۱۴۰۲/۰۶/۰۶ ۱۶:۳۰:۰۸,/Reports/Decision.aspx?LetterSerial=TcubYPCCH1kBOPGp2lZv2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1064100,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۳۱:۱۲,۱۴۰۲/۰۵/۰۴ ۱۶:۳۱:۱۲,/Reports/Decision.aspx?LetterSerial=okQhA4lLesnxTQIuBBTYpw%3d%3d&rt=0&let=58&ct=0&ft=-1
1047369,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۱:۰۱:۰۳,۱۴۰۲/۰۴/۰۷ ۱۱:۰۱:۰۳,/Reports/Decision.aspx?LetterSerial=LUMon%2bF9ZOBgsJfK9IuHwg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031336,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۴:۵۴:۵۳,۱۴۰۲/۰۳/۰۷ ۱۴:۵۴:۵۳,/Reports/Decision.aspx?LetterSerial=%2bGLQggo3KbntS00CDAhYvw%3d%3d&rt=0&let=58&ct=0&ft=-1
1015884,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۶:۴۵:۱۹,۱۴۰۲/۰۲/۰۹ ۱۶:۴۵:۱۹,/Reports/Decision.aspx?LetterSerial=fpP3CR203huFRvF07nnjKg%3d%3d&rt=0&let=58&ct=0&ft=-1
1005411,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۳:۲۳:۰۰,۱۴۰۲/۰۱/۰۷ ۱۳:۲۳:۰۰,/Reports/Decision.aspx?LetterSerial=1F7wd5qzRipFdtEQzvMauA%3d%3d&rt=0&let=58&ct=0&ft=-1
996528,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۷:۰۶:۳۴,۱۴۰۱/۱۲/۰۶ ۱۷:۰۶:۳۴,/Reports/Decision.aspx?LetterSerial=UTT7pWe0qaaBxXK7BsMkHw%3d%3d&rt=0&let=58&ct=0&ft=-1
986043,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۲۷:۳۱,۱۴۰۱/۱۱/۰۵ ۱۷:۲۷:۳۱,/Reports/Decision.aspx?LetterSerial=sOO2VcQ7Yp28PelRIHutgA%3d%3d&rt=0&let=58&ct=0&ft=-1
975717,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۸:۰۷:۳۷,۱۴۰۱/۱۰/۰۷ ۱۸:۰۷:۳۷,/Reports/Decision.aspx?LetterSerial=%2boEGoQKyYmvZv0%2b2WtbbjA%3d%3d&rt=0&let=58&ct=0&ft=-1
975711,شپنا,پالایش نفت اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۷ ۰۸:۲۶:۰۶,۱۴۰۱/۱۰/۰۷ ۰۸:۲۶:۰۶,/Reports/Decision.aspx?LetterSerial=HmYQB%2bZHIFq3nXRav3Rl8A%3d%3d&rt=0&let=58&ct=0&ft=-1
