TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074800,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۲:۱۴:۳۵,۱۴۰۲/۰۶/۰۵ ۱۲:۱۴:۳۵,/Reports/Decision.aspx?LetterSerial=WR7d16o9DyIPcBlR7tRxnw%3d%3d&rt=0&let=58&ct=0&ft=-1
1062809,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۱:۲۳:۳۳,۱۴۰۲/۰۵/۰۳ ۱۱:۲۳:۳۳,/Reports/Decision.aspx?LetterSerial=advAlgOBGdudi8DTGTEqmw%3d%3d&rt=0&let=58&ct=0&ft=-1
1057183,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۱۴:۴۶:۴۵,۱۴۰۲/۰۴/۲۸ ۱۴:۴۶:۴۵,/Reports/Decision.aspx?LetterSerial=1W8MtI3vkhAQ3iWJQQQaQQQvljLA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044343,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۴:۲۳:۳۰,۱۴۰۲/۰۴/۰۳ ۱۴:۲۳:۳۰,/Reports/Decision.aspx?LetterSerial=snzdfsERiTLJzAadxBiJ1g%3d%3d&rt=0&let=58&ct=0&ft=-1
1029794,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۶:۲۶:۵۰,۱۴۰۲/۰۳/۰۲ ۱۶:۲۶:۵۰,/Reports/Decision.aspx?LetterSerial=63E8oaCkvjsfY7CQQQaQQQUWQQQaQQQx1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1026360,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۴:۱۳:۴۰,۱۴۰۲/۰۲/۲۷ ۱۴:۱۳:۴۰,/Reports/Decision.aspx?LetterSerial=kqyOc51%2bMRLUJxRIfcQQQaQQQ08g%3d%3d&rt=0&let=58&ct=0&ft=-1
1016043,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۴:۱۶:۰۰,۱۴۰۲/۰۲/۰۴ ۱۴:۱۶:۰۰,/Reports/Decision.aspx?LetterSerial=FPqYQ5AYts06B1Y4QQQaQQQNh3EQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006160,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۳:۱۵:۲۹,۱۴۰۲/۰۱/۰۷ ۱۳:۱۵:۲۹,/Reports/Decision.aspx?LetterSerial=6jHAhrGHHtcC6Jo5ffffSQ%3d%3d&rt=0&let=58&ct=0&ft=-1
995616,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۳:۵۰:۵۳,۱۴۰۱/۱۲/۰۶ ۱۳:۵۰:۵۳,/Reports/Decision.aspx?LetterSerial=LN3FrSIN%2b5OM8VXeEYT4Ow%3d%3d&rt=0&let=58&ct=0&ft=-1
985837,شگویا,پتروشیمی تندگویان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۴:۵۸:۳۷,۱۴۰۱/۱۱/۰۴ ۱۴:۵۸:۳۷,/Reports/Decision.aspx?LetterSerial=6XJUbQfuJ1H22DvIvOsl7A%3d%3d&rt=0&let=58&ct=0&ft=-1
