TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075928,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۴:۵۶:۴۴,۱۴۰۲/۰۶/۰۷ ۱۴:۵۶:۴۴,/Reports/Decision.aspx?LetterSerial=Lj%2belLVPRJU73wc3lLmx2w%3d%3d&rt=0&let=58&ct=0&ft=-1
1061854,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۴:۵۲:۰۶,۱۴۰۲/۰۵/۰۷ ۱۴:۵۲:۰۶,/Reports/Decision.aspx?LetterSerial=jC6PDwywcerRbW9P9G5hzQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1045827,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۱۷:۵۵,۱۴۰۲/۰۴/۰۷ ۱۲:۱۷:۵۵,/Reports/Decision.aspx?LetterSerial=qZf8pGplCCDF%2bKfDRGRnQg%3d%3d&rt=0&let=58&ct=0&ft=-1
1042464,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۳۱ ۱۸:۴۲:۳۵,۱۴۰۲/۰۳/۳۱ ۱۸:۴۲:۳۵,/Reports/Decision.aspx?LetterSerial=SQmmV2%2bPfDGJzpQQQaQQQUTfXX0A%3d%3d&rt=0&let=58&ct=0&ft=-1
1030129,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۵:۵۳:۳۷,۱۴۰۲/۰۳/۰۷ ۱۵:۵۳:۳۷,/Reports/Decision.aspx?LetterSerial=OHGhX2RDoSURClfrIdBEDw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030128,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۵:۴۹:۰۹,۱۴۰۲/۰۳/۰۷ ۱۵:۴۹:۰۹,/Reports/Decision.aspx?LetterSerial=mtHy3%2bOdZNykZ9J9nrux8g%3d%3d&rt=0&let=58&ct=0&ft=-1
1019791,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۱ ۰۷:۴۴:۲۳,۱۴۰۲/۰۲/۱۱ ۰۷:۴۴:۲۳,/Reports/Decision.aspx?LetterSerial=M9JSdPOkD0SQQQaQQQuFS6q1Tseg%3d%3d&rt=0&let=58&ct=0&ft=-1
1016986,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۱:۲۹:۳۳,۱۴۰۲/۰۲/۱۰ ۱۱:۲۹:۳۳,/Reports/Decision.aspx?LetterSerial=wJGf5%2bWYGH4rE1lR3x1LeA%3d%3d&rt=0&let=58&ct=0&ft=-1
1019007,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۱:۲۳:۳۰,۱۴۰۲/۰۲/۱۰ ۱۱:۲۳:۳۰,/Reports/Decision.aspx?LetterSerial=pZIId8%2bqTXw6sFTw3bGqQQQaQQQw%3d%3d&rt=0&let=58&ct=0&ft=-1
1006590,شیراز,پتروشیمی شیراز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۹:۴۶:۳۴,۱۴۰۲/۰۱/۰۸ ۱۹:۴۶:۳۴,/Reports/Decision.aspx?LetterSerial=%2bXliTIeN6HFDj7xLKzK5NQ%3d%3d&rt=0&let=58&ct=0&ft=-1
