TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075605,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۴:۴۲:۵۹,۱۴۰۲/۰۶/۰۷ ۱۴:۴۲:۵۹,/Reports/Decision.aspx?LetterSerial=uzQfzB44mxjvj3badO7B%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1065227,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۷:۵۹:۰۶,۱۴۰۲/۰۵/۰۷ ۱۷:۵۹:۰۶,/Reports/Decision.aspx?LetterSerial=vVM89jb15Of1z1MFslUFOA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046094,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۴۷:۳۶,۱۴۰۲/۰۴/۰۷ ۱۴:۴۷:۳۶,/Reports/Decision.aspx?LetterSerial=gE6NzyOku6mB0z7jJ3vWvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1029559,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۰:۰۳:۲۶,۱۴۰۲/۰۳/۰۲ ۱۰:۰۳:۲۶,/Reports/Decision.aspx?LetterSerial=TuXSUEhIvJ9Zl33xl%2bTAuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1018351,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۴:۰۹:۳۵,۱۴۰۲/۰۲/۱۰ ۱۴:۰۹:۳۵,/Reports/Decision.aspx?LetterSerial=Vyftmaojt5mLyu48JITgug%3d%3d&rt=0&let=58&ct=0&ft=-1
1007210,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۰۸:۰۸:۱۹,۱۴۰۲/۰۱/۰۹ ۰۸:۰۸:۱۹,/Reports/Decision.aspx?LetterSerial=Q0Zvm6OwOFGAMqfJdbOL3w%3d%3d&rt=0&let=58&ct=0&ft=-1
999565,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۱۱ ۰۹:۱۹:۰۷,۱۴۰۱/۱۲/۱۱ ۰۹:۱۹:۰۷,/Reports/Decision.aspx?LetterSerial=CW53kltXO1KVzwPyfqnLYQ%3d%3d&rt=0&let=58&ct=0&ft=-1
995878,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۰:۴۴:۲۲,۱۴۰۱/۱۲/۰۷ ۱۰:۴۴:۲۲,/Reports/Decision.aspx?LetterSerial=7utuTETgb8j8QWC8XmT3Ow%3d%3d&rt=0&let=58&ct=0&ft=-1
987058,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۵۳:۲۲,۱۴۰۱/۱۱/۰۵ ۱۶:۵۳:۲۲,/Reports/Decision.aspx?LetterSerial=Y1mCyYzeIhTLzhaCcQQQaQQQjxEw%3d%3d&rt=0&let=58&ct=0&ft=-1
975802,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۷:۲۳:۵۷,۱۴۰۱/۱۰/۱۰ ۱۷:۲۳:۵۷,/Reports/Decision.aspx?LetterSerial=UzlxIHTUvEhFLvEIGy%2b97g%3d%3d&rt=0&let=58&ct=0&ft=-1
963739,شیران,سرمایه گذاری صنایع شیمیائی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۰:۰۶:۴۸,۱۴۰۱/۰۹/۰۷ ۱۰:۰۶:۴۸,/Reports/Decision.aspx?LetterSerial=m8o9Xr0nd14p0fKLIhRMMg%3d%3d&rt=0&let=58&ct=0&ft=-1
