TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074551,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۲:۴۶:۵۵,۱۴۰۲/۰۶/۰۶ ۱۲:۴۶:۵۵,/Reports/Decision.aspx?LetterSerial=bmAZYlhUygzZeAen2u5srw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064791,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۰:۴۵:۱۱,۱۴۰۲/۰۵/۰۷ ۱۰:۴۵:۱۱,/Reports/Decision.aspx?LetterSerial=SL7cV4taysFoafKVyfNSCA%3d%3d&rt=0&let=58&ct=0&ft=-1
1043499,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۰۳:۲۷,۱۴۰۲/۰۴/۰۷ ۱۴:۰۳:۲۷,/Reports/Decision.aspx?LetterSerial=I6DqJnN1CmRgciKEeQQQaQQQfhnQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029972,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۳۹:۵۲,۱۴۰۲/۰۳/۰۳ ۱۵:۳۹:۵۲,/Reports/Decision.aspx?LetterSerial=XVjTWquAJe3OJ7DF9KTPAw%3d%3d&rt=0&let=58&ct=0&ft=-1
1018368,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۰:۳۹:۰۷,۱۴۰۲/۰۲/۱۰ ۱۰:۳۹:۰۷,/Reports/Decision.aspx?LetterSerial=GiRxaYbOwi%2bitiJnagRdow%3d%3d&rt=0&let=58&ct=0&ft=-1
1006171,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۲ ۱۲:۱۷:۱۲,۱۴۰۲/۰۱/۱۲ ۱۲:۱۷:۱۲,/Reports/Decision.aspx?LetterSerial=h9MRghd7Hp25ZIkgzrn9bg%3d%3d&rt=0&let=58&ct=0&ft=-1
996812,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۸:۳۶:۵۷,۱۴۰۱/۱۲/۰۷ ۱۸:۳۶:۵۷,/Reports/Decision.aspx?LetterSerial=MdDww41WaHhuwrbP84zTXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986738,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۳۷:۰۵,۱۴۰۱/۱۱/۰۵ ۱۴:۳۷:۰۵,/Reports/Decision.aspx?LetterSerial=Dg47XpW2q%2bKAuIiiPQQQaQQQ291g%3d%3d&rt=0&let=58&ct=0&ft=-1
984786,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۱ ۱۴:۴۸:۵۹,۱۴۰۱/۱۱/۰۱ ۱۴:۴۸:۵۹,/Reports/Decision.aspx?LetterSerial=vBMliULun8ndtbWBzBkRAA%3d%3d&rt=0&let=58&ct=0&ft=-1
982807,عالیس,بهار رز عالیس چناران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۵:۱۲:۳۷,۱۴۰۱/۱۰/۲۸ ۱۵:۱۲:۳۷,/Reports/Decision.aspx?LetterSerial=HXjk6%2b3kQQQaQQQqTZKgtbWSL9qA%3d%3d&rt=0&let=58&ct=0&ft=-1
