TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075064,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۴:۳۶:۲۹,۱۴۰۲/۰۶/۰۴ ۱۴:۳۶:۲۹,/Reports/Decision.aspx?LetterSerial=yBvHEulYd7R4bbQMwMoLAg%3d%3d&rt=0&let=58&ct=0&ft=-1
1075020,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۳:۵۸:۰۸,۱۴۰۲/۰۶/۰۴ ۱۳:۵۸:۰۸,/Reports/Decision.aspx?LetterSerial=9paCRu7P1E0UqPBGHW84nw%3d%3d&rt=0&let=58&ct=0&ft=-1
1074869,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۱:۴۶:۲۱,۱۴۰۲/۰۶/۰۴ ۱۱:۴۶:۲۱,/Reports/Decision.aspx?LetterSerial=hGxBzD4zM0AQQQaQQQb2WZ4mnmZQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1062990,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۵:۳۷:۲۷,۱۴۰۲/۰۵/۰۲ ۱۵:۳۷:۲۷,/Reports/Decision.aspx?LetterSerial=wYiGbePAB0JQX5%2b%2bWwROrw%3d%3d&rt=0&let=58&ct=0&ft=-1
1044575,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۶:۴۸:۴۵,۱۴۰۲/۰۴/۰۴ ۱۶:۴۸:۴۵,/Reports/Decision.aspx?LetterSerial=eZuQeyyhQQQaQQQrtf0XTfbc4XEg%3d%3d&rt=0&let=58&ct=0&ft=-1
1030222,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۲:۲۹:۴۱,۱۴۰۲/۰۳/۰۳ ۱۲:۲۹:۴۱,/Reports/Decision.aspx?LetterSerial=qhiYtvKVjwrbJqAO2Vk6MA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017920,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۶:۵۸:۲۶,۱۴۰۲/۰۲/۰۶ ۱۶:۵۸:۲۶,/Reports/Decision.aspx?LetterSerial=pBcH1vOknVF423rLP5xAeA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006027,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۷:۳۷:۲۳,۱۴۰۱/۱۲/۲۸ ۱۷:۳۷:۲۳,/Reports/Decision.aspx?LetterSerial=w0HKHIIeD0WgI3R%2btAjeoQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996553,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۵ ۱۷:۵۰:۳۱,۱۴۰۱/۱۲/۰۵ ۱۷:۵۰:۳۱,/Reports/Decision.aspx?LetterSerial=TunBLKHKR1eTfqs2FQQQaQQQ7Mow%3d%3d&rt=0&let=58&ct=0&ft=-1
987207,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۳۹:۲۶,۱۴۰۱/۱۱/۰۵ ۱۴:۳۹:۲۶,/Reports/Decision.aspx?LetterSerial=JRsAH9kiLi5OfPW1aiHV7A%3d%3d&rt=0&let=58&ct=0&ft=-1
984106,غاذر,کشت و صنعت پیاذر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۱:۴۴:۲۲,۱۴۰۱/۱۰/۲۹ ۱۱:۴۴:۲۲,/Reports/Decision.aspx?LetterSerial=yEtOQQQaQQQDS8x8kXzs9JlGbT5A%3d%3d&rt=0&let=58&ct=0&ft=-1
