TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074521,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۰۱:۳۶,۱۴۰۲/۰۶/۰۵ ۱۸:۰۱:۳۶,/Reports/Decision.aspx?LetterSerial=Kf0FYJfIaDhpItD8HAzzcA%3d%3d&rt=0&let=58&ct=0&ft=-1
1074515,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۱ ۱۷:۴۵:۱۸,۱۴۰۲/۰۶/۰۱ ۱۷:۴۵:۱۸,/Reports/Decision.aspx?LetterSerial=LvrKNUIk4MYuvPQQQaQQQlMzBrGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1071380,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۲۵ ۱۱:۳۹:۵۰,۱۴۰۲/۰۵/۲۵ ۱۱:۳۹:۵۰,/Reports/Decision.aspx?LetterSerial=ZB0VOydMGwj2c9uNtaHJAw%3d%3d&rt=0&let=58&ct=0&ft=-1
1062354,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۶:۳۶:۰۵,۱۴۰۲/۰۵/۰۲ ۱۶:۳۶:۰۵,/Reports/Decision.aspx?LetterSerial=ImQmtaKimxarligvwBPD7w%3d%3d&rt=0&let=58&ct=0&ft=-1
1061241,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۳۱ ۱۶:۱۱:۳۳,۱۴۰۲/۰۴/۳۱ ۱۶:۱۱:۳۳,/Reports/Decision.aspx?LetterSerial=NtzLD3IqT3qMp5iw7Vl8Dw%3d%3d&rt=0&let=58&ct=0&ft=-1
1044791,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۶:۱۴:۱۵,۱۴۰۲/۰۴/۰۴ ۱۶:۱۴:۱۵,/Reports/Decision.aspx?LetterSerial=1Vi8S2ii7QF1Hjhx1BFGkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030337,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۹:۰۶:۱۰,۱۴۰۲/۰۳/۰۳ ۱۹:۰۶:۱۰,/Reports/Decision.aspx?LetterSerial=IqNpNuiDR%2bJGrGo6yqufgA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017559,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۸:۰۰:۵۸,۱۴۰۲/۰۲/۰۶ ۱۸:۰۰:۵۸,/Reports/Decision.aspx?LetterSerial=hhv%2bZYamKkneKsIlprTLYQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1005643,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۴:۵۴:۰۴,۱۴۰۱/۱۲/۲۸ ۱۴:۵۴:۰۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQURq3z%2bebA6n05sW0%2b7iYQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996504,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۴:۰۶:۰۱,۱۴۰۱/۱۲/۰۴ ۱۴:۰۶:۰۱,/Reports/Decision.aspx?LetterSerial=6raZS3cpiKSNGEqevO%2bZxA%3d%3d&rt=0&let=58&ct=0&ft=-1
994118,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۳۰ ۱۶:۱۲:۰۰,۱۴۰۱/۱۱/۳۰ ۱۶:۱۲:۰۰,/Reports/Decision.aspx?LetterSerial=ZV7EQQQQaQQQFY7HbSjWXIFS2lLQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987854,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۲۰:۳۷:۰۷,۱۴۰۱/۱۱/۰۵ ۲۰:۳۷:۰۷,/Reports/Decision.aspx?LetterSerial=TYzYu8vG2HkJOFw3yW69fQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975501,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۵۴:۵۱,۱۴۰۱/۱۰/۰۵ ۱۶:۵۴:۵۱,/Reports/Decision.aspx?LetterSerial=PPJVZeuRiFEzQNervvl7ZQ%3d%3d&rt=0&let=58&ct=0&ft=-1
963498,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۶:۵۶:۴۶,۱۴۰۱/۰۹/۰۵ ۱۶:۵۶:۴۶,/Reports/Decision.aspx?LetterSerial=6D4JGFWRh2SYeJRPBU0aPA%3d%3d&rt=0&let=58&ct=0&ft=-1
951628,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۴:۳۲:۵۶,۱۴۰۱/۰۸/۰۵ ۱۴:۳۲:۵۶,/Reports/Decision.aspx?LetterSerial=SPfElXWGnZ9laMVdF61uvA%3d%3d&rt=0&let=58&ct=0&ft=-1
949099,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۹:۵۱:۴۳,۱۴۰۱/۰۷/۳۰ ۱۹:۵۱:۴۳,/Reports/Decision.aspx?LetterSerial=Q9Wn5I2b4sHFrKrkXGNypw%3d%3d&rt=0&let=58&ct=0&ft=-1
941791,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۶ ۱۷:۵۹:۱۹,۱۴۰۱/۰۷/۰۶ ۱۷:۵۹:۱۹,/Reports/Decision.aspx?LetterSerial=RKvnTdXWABXhGbtSTxNX0g%3d%3d&rt=0&let=58&ct=0&ft=-1
928399,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۳:۳۹:۱۹,۱۴۰۱/۰۶/۰۲ ۱۳:۳۹:۱۹,/Reports/Decision.aspx?LetterSerial=FyoGWPjk9KpoE9hWrNL1qg%3d%3d&rt=0&let=58&ct=0&ft=-1
928367,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۰:۳۵:۴۱,۱۴۰۱/۰۶/۰۲ ۱۰:۳۵:۴۱,/Reports/Decision.aspx?LetterSerial=C507SlhaLAlcFuXueGcD5A%3d%3d&rt=0&let=58&ct=0&ft=-1
927200,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۳۱ ۱۰:۳۰:۱۰,۱۴۰۱/۰۵/۳۱ ۱۰:۳۰:۱۰,/Reports/Decision.aspx?LetterSerial=1yLhP0fanEXAFXN5puQQQaQQQTbw%3d%3d&rt=0&let=58&ct=0&ft=-1
917755,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۲:۱۳:۱۴,۱۴۰۱/۰۵/۰۴ ۱۲:۱۳:۱۴,/Reports/Decision.aspx?LetterSerial=oZzIhJM8YgoueotjIaaGOg%3d%3d&rt=0&let=58&ct=0&ft=-1
916273,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۲۳:۳۳:۳۵,۱۴۰۱/۰۴/۳۰ ۲۳:۳۳:۳۵,/Reports/Decision.aspx?LetterSerial=Nz8sg0eRupqaXyFyG2aoJg%3d%3d&rt=0&let=58&ct=0&ft=-1
901697,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۹:۱۰:۱۲,۱۴۰۱/۰۴/۰۵ ۱۹:۱۰:۱۲,/Reports/Decision.aspx?LetterSerial=w9EQQQaQQQDyqRpMPyQXd2z9QQQaQQQKZg%3d%3d&rt=0&let=58&ct=0&ft=-1
886528,غدام,خوراک دام پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۲ ۱۹:۴۲:۵۷,۱۴۰۱/۰۳/۰۲ ۱۹:۴۲:۵۷,/Reports/Decision.aspx?LetterSerial=EZLVuUB2EjiuQQQaQQQtedQQQaQQQcrtzg%3d%3d&rt=0&let=58&ct=0&ft=-1
