TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074787,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۶:۵۱:۵۵,۱۴۰۲/۰۶/۰۴ ۱۶:۵۱:۵۵,/Reports/Decision.aspx?LetterSerial=GFipk9fj6VNROXHtZUMDOw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063892,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۱۵:۳۲,۱۴۰۲/۰۵/۰۴ ۱۶:۱۵:۳۲,/Reports/Decision.aspx?LetterSerial=DrYqosIwmPIj9H4bOtCQWQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1059865,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۲۰:۲۹:۴۳,۱۴۰۲/۰۴/۲۸ ۲۰:۲۹:۴۳,/Reports/Decision.aspx?LetterSerial=3sTYKYvpEeMp9riIRfIn8w%3d%3d&rt=0&let=58&ct=0&ft=-1
1046652,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۶ ۰۹:۰۷:۰۱,۱۴۰۲/۰۴/۰۶ ۰۹:۰۷:۰۱,/Reports/Decision.aspx?LetterSerial=we%2bRIZBw0lbGE%2biaQN%2bU9g%3d%3d&rt=0&let=58&ct=0&ft=-1
1044906,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۵:۵۷:۰۸,۱۴۰۲/۰۴/۰۴ ۱۵:۵۷:۰۸,/Reports/Decision.aspx?LetterSerial=zNSUDLIq5qmz7IEkSQQQaQQQT4KQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030961,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۷:۵۴:۴۷,۱۴۰۲/۰۳/۰۴ ۱۷:۵۴:۴۷,/Reports/Decision.aspx?LetterSerial=N4YHUMpstn7UQo8CsDWY2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1027134,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۵:۵۶:۳۸,۱۴۰۲/۰۲/۲۸ ۱۵:۵۶:۳۸,/Reports/Decision.aspx?LetterSerial=%2bbRT72MJYH%2bD29T%2bxixngw%3d%3d&rt=0&let=58&ct=0&ft=-1
1017082,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۲۰:۵۳:۳۳,۱۴۰۲/۰۲/۰۵ ۲۰:۵۳:۳۳,/Reports/Decision.aspx?LetterSerial=sTF9c5ZxXdrYFwlsTqnSwg%3d%3d&rt=0&let=58&ct=0&ft=-1
1007160,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۷:۳۲:۰۳,۱۴۰۲/۰۱/۰۹ ۱۷:۳۲:۰۳,/Reports/Decision.aspx?LetterSerial=GGD9gKukJBu0OFDcUWYpCg%3d%3d&rt=0&let=58&ct=0&ft=-1
996468,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۷:۳۱:۳۳,۱۴۰۱/۱۲/۰۴ ۱۷:۳۱:۳۳,/Reports/Decision.aspx?LetterSerial=W1qnZFQKdqSTF0yvuuJPsQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986704,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۶:۰۷:۵۰,۱۴۰۱/۱۱/۰۴ ۱۶:۰۷:۵۰,/Reports/Decision.aspx?LetterSerial=r06tQQQaQQQLwdx5XeyD0FTOsvag%3d%3d&rt=0&let=58&ct=0&ft=-1
983802,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۶:۵۳:۳۹,۱۴۰۱/۱۰/۲۸ ۱۶:۵۳:۳۹,/Reports/Decision.aspx?LetterSerial=YDaiPrnFgjAACIjh3K3M9w%3d%3d&rt=0&let=58&ct=0&ft=-1
974758,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۸:۳۹:۵۷,۱۴۰۱/۱۰/۰۴ ۱۸:۳۹:۵۷,/Reports/Decision.aspx?LetterSerial=qNojbZRm65iaoiAYCpLT5Q%3d%3d&rt=0&let=58&ct=0&ft=-1
963160,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۸:۰۴:۴۰,۱۴۰۱/۰۹/۰۵ ۱۸:۰۴:۴۰,/Reports/Decision.aspx?LetterSerial=uzNBT6KxGz6uKmA75cLSJg%3d%3d&rt=0&let=58&ct=0&ft=-1
963135,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۱:۲۲:۵۰,۱۴۰۱/۰۹/۰۵ ۱۱:۲۲:۵۰,/Reports/Decision.aspx?LetterSerial=H3LwdduiMx%2b2ZKKpoMvo6g%3d%3d&rt=0&let=58&ct=0&ft=-1
960352,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۶:۲۲:۳۵,۱۴۰۱/۰۸/۳۰ ۱۶:۲۲:۳۵,/Reports/Decision.aspx?LetterSerial=VnBPRNamV%2bAnTglZffjbQA%3d%3d&rt=0&let=58&ct=0&ft=-1
956919,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۷:۰۶:۱۵,۱۴۰۱/۰۸/۲۱ ۱۷:۰۶:۱۵,/Reports/Decision.aspx?LetterSerial=cnrGQQQaQQQt4VCsGGGChdCIbIlA%3d%3d&rt=0&let=58&ct=0&ft=-1
950787,غدیس,پاکدیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۳ ۱۸:۵۲:۲۴,۱۴۰۱/۰۸/۰۳ ۱۸:۵۲:۲۴,/Reports/Decision.aspx?LetterSerial=cfaLYYoG6yn2y9an4WhpaQ%3d%3d&rt=0&let=58&ct=0&ft=-1
