TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075453,غزر,صنعتی زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۵:۴۵:۳۳,۱۴۰۲/۰۶/۰۷ ۱۵:۴۵:۳۳,/Reports/Decision.aspx?LetterSerial=A7FX7pAAE6XnfN7wP7dF5w%3d%3d&rt=0&let=58&ct=0&ft=-1
1063609,غزر,صنعتی زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۳۰:۲۰,۱۴۰۲/۰۵/۰۴ ۱۵:۳۰:۲۰,/Reports/Decision.aspx?LetterSerial=k7ZzPP2QUx4h88dJH7tEJQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1051772,غزر,صنعتی زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۷ ۱۲:۱۷:۴۰,۱۴۰۲/۰۴/۱۷ ۱۲:۱۷:۴۰,/Reports/Decision.aspx?LetterSerial=VxA8yQQQaQQQ9W8bc%2b5o3trfiQIA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044815,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۶:۱۷:۰۹,۱۴۰۲/۰۴/۰۶ ۱۶:۱۷:۰۹,/Reports/Decision.aspx?LetterSerial=P9cN1uhNQQQaQQQ0jCKAKrfFFMnw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030196,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۹:۵۶:۵۱,۱۴۰۲/۰۳/۰۶ ۱۹:۵۶:۵۱,/Reports/Decision.aspx?LetterSerial=n7Okd4y%2bDm2Y2cZ16%2bWccg%3d%3d&rt=0&let=58&ct=0&ft=-1
1016554,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۹:۵۴:۰۷,۱۴۰۲/۰۲/۰۵ ۱۹:۵۴:۰۷,/Reports/Decision.aspx?LetterSerial=1Ry7ycoCzuHiW2lQQQaQQQpjJzcw%3d%3d&rt=0&let=58&ct=0&ft=-1
1006793,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۴:۱۴:۱۳,۱۴۰۲/۰۱/۰۸ ۱۴:۱۴:۱۳,/Reports/Decision.aspx?LetterSerial=Ff7G47EDJDLfBgcLNgekZQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996757,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۸:۵۵:۰۴,۱۴۰۱/۱۲/۰۶ ۱۸:۵۵:۰۴,/Reports/Decision.aspx?LetterSerial=FI9JvVQNGD0WFIH1mWwxVA%3d%3d&rt=0&let=58&ct=0&ft=-1
985858,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۸:۵۷:۴۶,۱۴۰۱/۱۱/۰۴ ۱۸:۵۷:۴۶,/Reports/Decision.aspx?LetterSerial=rcd8AKN47afMMH%2b7ayfHBA%3d%3d&rt=0&let=58&ct=0&ft=-1
984318,غزر,زر ماکارون,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۲۰:۱۹:۲۵,۱۴۰۱/۱۰/۲۸ ۲۰:۱۹:۲۵,/Reports/Decision.aspx?LetterSerial=n4QIhWazt2QmKBjEVRPU7A%3d%3d&rt=0&let=58&ct=0&ft=-1
