TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1073860,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۴:۱۶:۴۱,۱۴۰۲/۰۶/۰۵ ۱۴:۱۶:۴۱,/Reports/Decision.aspx?LetterSerial=w3xRFT8LsRfsEQhoGYrjRQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1064256,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۵۶:۰۸,۱۴۰۲/۰۵/۰۴ ۱۵:۵۶:۰۸,/Reports/Decision.aspx?LetterSerial=mJuClAZH%2bWkkcFUGUgwrvQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1045035,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۰:۴۵:۴۹,۱۴۰۲/۰۴/۰۷ ۱۰:۴۵:۴۹,/Reports/Decision.aspx?LetterSerial=rx4RBGVtEUu0XYvlQQQaQQQ8GIBg%3d%3d&rt=0&let=58&ct=0&ft=-1
1029877,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۴:۵۲:۰۰,۱۴۰۲/۰۳/۰۷ ۱۴:۵۲:۰۰,/Reports/Decision.aspx?LetterSerial=YkZ0vJytQHvnBd1Ik7c9%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1025565,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۴ ۱۶:۲۵:۴۰,۱۴۰۲/۰۲/۲۴ ۱۶:۲۵:۴۰,/Reports/Decision.aspx?LetterSerial=isZCplDZeOgQNTs2FgDWkA%3d%3d&rt=0&let=58&ct=0&ft=-1
1018184,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۰۸:۴۱:۳۷,۱۴۰۲/۰۲/۰۹ ۰۸:۴۱:۳۷,/Reports/Decision.aspx?LetterSerial=Q3t5Ban3EAF9%2b4rkcqhQQQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006678,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۴:۱۶:۳۲,۱۴۰۲/۰۱/۰۷ ۱۴:۱۶:۳۲,/Reports/Decision.aspx?LetterSerial=YoDMH8O6KC7B2p7%2bjQQQaQQQnz6g%3d%3d&rt=0&let=58&ct=0&ft=-1
995967,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۴:۳۷:۳۹,۱۴۰۱/۱۲/۰۶ ۱۴:۳۷:۳۹,/Reports/Decision.aspx?LetterSerial=xlbvLJ7SD2yCneJAmPmAjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987009,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۵:۳۹:۴۹,۱۴۰۱/۱۱/۰۴ ۱۵:۳۹:۴۹,/Reports/Decision.aspx?LetterSerial=VQQQaQQQA6WX7QmIxXRNS9FJERbQ%3d%3d&rt=0&let=58&ct=0&ft=-1
973657,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۱۷:۰۸,۱۴۰۱/۱۰/۰۵ ۱۶:۱۷:۰۸,/Reports/Decision.aspx?LetterSerial=tJYNj3KHthOt8yHpzNJnyw%3d%3d&rt=0&let=58&ct=0&ft=-1
963169,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۰۹:۲۹:۱۰,۱۴۰۱/۰۹/۰۶ ۰۹:۲۹:۱۰,/Reports/Decision.aspx?LetterSerial=9VMgEVMG4kJQ25hm%2bPEQQQaQQQxw%3d%3d&rt=0&let=58&ct=0&ft=-1
957865,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۴ ۰۸:۲۹:۳۷,۱۴۰۱/۰۸/۲۴ ۰۸:۲۹:۳۷,/Reports/Decision.aspx?LetterSerial=vGulzyCF3quhQQQaQQQ4uvvUfF8g%3d%3d&rt=0&let=58&ct=0&ft=-1
951695,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۶:۳۹:۵۸,۱۴۰۱/۰۸/۰۵ ۱۶:۳۹:۵۸,/Reports/Decision.aspx?LetterSerial=BLjxczrhA4BdykfgnQQQaQQQ0u2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
945048,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۲:۳۰:۱۳,۱۴۰۱/۰۷/۳۰ ۱۲:۳۰:۱۳,/Reports/Decision.aspx?LetterSerial=2mno%2b5eD8aELJTlK8fiZOw%3d%3d&rt=0&let=58&ct=0&ft=-1
940633,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۶ ۱۵:۵۵:۱۱,۱۴۰۱/۰۷/۰۶ ۱۵:۵۵:۱۱,/Reports/Decision.aspx?LetterSerial=hK3JNnxUoQQQaQQQGwH%2be%2boiSQEg%3d%3d&rt=0&let=58&ct=0&ft=-1
930239,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۵:۵۶:۲۲,۱۴۰۱/۰۶/۰۵ ۱۵:۵۶:۲۲,/Reports/Decision.aspx?LetterSerial=VcfeP89WEXFnzD4Eg75dRQ%3d%3d&rt=0&let=58&ct=0&ft=-1
919182,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۳:۱۵:۳۷,۱۴۰۱/۰۵/۰۵ ۱۳:۱۵:۳۷,/Reports/Decision.aspx?LetterSerial=67K0GU4KKWUsk%2boT0JceIw%3d%3d&rt=0&let=58&ct=0&ft=-1
901866,غشان,شیر پاستوریزه پگاه خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۶ ۱۱:۳۸:۲۱,۱۴۰۱/۰۴/۰۶ ۱۱:۳۸:۲۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQfkz9E7whtYaqjvCjxD5bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
