TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074978,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۶:۳۹:۳۷,۱۴۰۲/۰۶/۰۴ ۱۶:۳۹:۳۷,/Reports/Decision.aspx?LetterSerial=YAmovHfQcuF5eNAk%2baL3Bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1062578,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۶:۴۶:۵۰,۱۴۰۲/۰۵/۰۲ ۱۶:۴۶:۵۰,/Reports/Decision.aspx?LetterSerial=763GzT27uSRGXQQQaQQQ9AIKx7QQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044129,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۵:۲۹:۵۹,۱۴۰۲/۰۴/۰۴ ۱۵:۲۹:۵۹,/Reports/Decision.aspx?LetterSerial=ehc%2bzPEF9jxCUbU0vnbRtw%3d%3d&rt=0&let=58&ct=0&ft=-1
1026781,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۰۹:۱۸:۵۳,۱۴۰۲/۰۳/۰۴ ۰۹:۱۸:۵۳,/Reports/Decision.aspx?LetterSerial=OWb79yJ1vQQQaQQQxs0bQQQaQQQgK2WcDA%3d%3d&rt=0&let=58&ct=0&ft=-1
1016508,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۴:۰۱:۴۰,۱۴۰۲/۰۲/۰۵ ۱۴:۰۱:۴۰,/Reports/Decision.aspx?LetterSerial=uPeGuHnFCIxlAHSDGS1rgw%3d%3d&rt=0&let=58&ct=0&ft=-1
1001971,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۱ ۰۴:۴۳:۴۴,۱۴۰۲/۰۱/۰۱ ۰۴:۴۳:۴۴,/Reports/Decision.aspx?LetterSerial=iLOx0XiFhSLWCwh43KIIaw%3d%3d&rt=0&let=58&ct=0&ft=-1
995849,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۰۹:۴۱:۳۰,۱۴۰۱/۱۲/۰۳ ۰۹:۴۱:۳۰,/Reports/Decision.aspx?LetterSerial=%2byTzCZ%2bRWGFlhoU0G%2bGktQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986360,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۳:۱۵:۲۳,۱۴۰۱/۱۱/۰۳ ۱۳:۱۵:۲۳,/Reports/Decision.aspx?LetterSerial=rPSSiFTkRb61GQ3bTv5u8A%3d%3d&rt=0&let=58&ct=0&ft=-1
984901,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۰:۵۹:۲۱,۱۴۰۱/۱۱/۰۳ ۱۰:۵۹:۲۱,/Reports/Decision.aspx?LetterSerial=njY6%2bHrk3%2bxMcXiIuF5KNg%3d%3d&rt=0&let=58&ct=0&ft=-1
973770,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۳:۵۲:۱۶,۱۴۰۱/۱۰/۰۳ ۱۳:۵۲:۱۶,/Reports/Decision.aspx?LetterSerial=SkSNmYK2nEYMZTxndlbvVQ%3d%3d&rt=0&let=58&ct=0&ft=-1
962399,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۳ ۰۸:۵۶:۱۰,۱۴۰۱/۰۹/۰۳ ۰۸:۵۶:۱۰,/Reports/Decision.aspx?LetterSerial=Qvxb6EwKG515Gf1xzOGpSQ%3d%3d&rt=0&let=58&ct=0&ft=-1
950651,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۳ ۱۶:۴۵:۱۵,۱۴۰۱/۰۸/۰۳ ۱۶:۴۵:۱۵,/Reports/Decision.aspx?LetterSerial=IKVHXFP%2bTaN2t0CQ5sz6DQ%3d%3d&rt=0&let=58&ct=0&ft=-1
946050,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۲ ۱۲:۴۴:۵۹,۱۴۰۱/۰۷/۲۲ ۱۲:۴۴:۵۹,/Reports/Decision.aspx?LetterSerial=iYb30GWeWQpXltiycUTSuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
940769,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۲ ۱۴:۴۴:۲۱,۱۴۰۱/۰۷/۰۲ ۱۴:۴۴:۲۱,/Reports/Decision.aspx?LetterSerial=YKZe5g73IuAXeT5OTcrZkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
923558,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۳ ۱۱:۳۸:۳۵,۱۴۰۱/۰۶/۰۳ ۱۱:۳۸:۳۵,/Reports/Decision.aspx?LetterSerial=Fgkd6rb0gbJEqLQQQaQQQOCIcnvQ%3d%3d&rt=0&let=58&ct=0&ft=-1
916432,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۰۸:۴۸:۵۲,۱۴۰۱/۰۵/۰۴ ۰۸:۴۸:۵۲,/Reports/Decision.aspx?LetterSerial=VaLJbwaz1UNrp980YbKDRg%3d%3d&rt=0&let=58&ct=0&ft=-1
910677,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۰ ۱۶:۱۱:۱۷,۱۴۰۱/۰۴/۲۰ ۱۶:۱۱:۱۷,/Reports/Decision.aspx?LetterSerial=CQQQaQQQZlTbSBmlGsaPVWWlTDBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
910655,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۰ ۱۵:۵۷:۲۴,۱۴۰۱/۰۴/۲۰ ۱۵:۵۷:۲۴,/Reports/Decision.aspx?LetterSerial=ajIa3D5sTqSJdlejkbSw4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
899708,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۱ ۱۲:۴۳:۰۶,۱۴۰۱/۰۴/۰۱ ۱۲:۴۳:۰۶,/Reports/Decision.aspx?LetterSerial=hKNhJ7B4g%2blBgLBKUi4Ekg%3d%3d&rt=0&let=58&ct=0&ft=-1
887066,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۱:۲۲:۳۴,۱۴۰۱/۰۳/۰۴ ۱۱:۲۲:۳۴,/Reports/Decision.aspx?LetterSerial=LMYJanGw3sjGXkt%2b%2b5BUow%3d%3d&rt=0&let=58&ct=0&ft=-1
877601,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۱۲ ۰۹:۱۸:۰۱,۱۴۰۱/۰۲/۱۲ ۰۹:۱۸:۰۱,/Reports/Decision.aspx?LetterSerial=CaSZhLP5smu%2B1CKAYdYJnA%3D%3D&rt=0&let=58&ct=0&ft=-1
875634,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۵:۳۲:۳۸,۱۴۰۱/۰۲/۰۷ ۱۵:۳۲:۳۸,/Reports/Decision.aspx?LetterSerial=wDU1Gh3Tj751KVOLvzeEbA%3D%3D&rt=0&let=58&ct=0&ft=-1
874097,غشهد,شهد ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۶ ۰۹:۰۵:۰۳,۱۴۰۱/۰۲/۰۶ ۰۹:۰۵:۰۳,/Reports/Decision.aspx?LetterSerial=e0PKYnWQQQaQQQPtX0Qq5LKCdUig%3D%3D&rt=0&let=58&ct=0&ft=-1
