TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074854,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۴:۰۸:۳۷,۱۴۰۲/۰۶/۰۴ ۱۴:۰۸:۳۷,/Reports/Decision.aspx?LetterSerial=A55ryYrftQbePRdaixdGEQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063400,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۰:۳۶:۵۹,۱۴۰۲/۰۵/۰۳ ۱۰:۳۶:۵۹,/Reports/Decision.aspx?LetterSerial=e0GdSZJmhxOcyR8VkH5ZUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1060146,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۰:۲۸:۰۰,۱۴۰۲/۰۴/۲۹ ۱۰:۲۸:۰۰,/Reports/Decision.aspx?LetterSerial=pe2QQQaQQQe2IqzKB58crREWBoUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1045924,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۰۹:۰۲:۲۱,۱۴۰۲/۰۴/۰۶ ۰۹:۰۲:۲۱,/Reports/Decision.aspx?LetterSerial=bnoaIcPwxiNfh%2bNQQQaQQQj9Ze1g%3d%3d&rt=0&let=58&ct=0&ft=-1
1041490,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۱۱:۴۴:۲۳,۱۴۰۲/۰۳/۲۸ ۱۱:۴۴:۲۳,/Reports/Decision.aspx?LetterSerial=NYryjEfHGnVmx6DmKqQQQaQQQ5EA%3d%3d&rt=0&let=58&ct=0&ft=-1
1031027,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۱:۲۱:۲۱,۱۴۰۲/۰۳/۰۶ ۱۱:۲۱:۲۱,/Reports/Decision.aspx?LetterSerial=KD4mHCoxXGoOB8BDLdfZQQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017519,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۲:۵۶:۴۳,۱۴۰۲/۰۲/۰۶ ۱۲:۵۶:۴۳,/Reports/Decision.aspx?LetterSerial=h3rm0usHY2buQQQaQQQTnBO%2bDTXw%3d%3d&rt=0&let=58&ct=0&ft=-1
1010713,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۷ ۰۹:۳۲:۴۱,۱۴۰۲/۰۱/۱۷ ۰۹:۳۲:۴۱,/Reports/Decision.aspx?LetterSerial=LMNUBe%2bX5qQQQaQQQgTOAowClARw%3d%3d&rt=0&let=58&ct=0&ft=-1
996476,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۲:۵۴:۳۴,۱۴۰۱/۱۲/۰۴ ۱۲:۵۴:۳۴,/Reports/Decision.aspx?LetterSerial=WhzQQQaQQQ%2blpbQQQaQQQuRDPh1b52Theg%3d%3d&rt=0&let=58&ct=0&ft=-1
986268,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۴:۳۷:۵۱,۱۴۰۱/۱۱/۰۳ ۱۴:۳۷:۵۱,/Reports/Decision.aspx?LetterSerial=5Tztb5bv7wxykPC4CLxz4g%3d%3d&rt=0&let=58&ct=0&ft=-1
984431,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۰:۰۷:۵۹,۱۴۰۱/۱۰/۲۹ ۱۰:۰۷:۵۹,/Reports/Decision.aspx?LetterSerial=I2PyjObI2sN1oD7rAZfksg%3d%3d&rt=0&let=58&ct=0&ft=-1
975839,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۳:۵۴:۴۷,۱۴۰۱/۱۰/۰۷ ۱۳:۵۴:۴۷,/Reports/Decision.aspx?LetterSerial=khFGIHqxNq6YS6s8XxDDKw%3d%3d&rt=0&let=58&ct=0&ft=-1
962356,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۴:۱۳:۲۴,۱۴۰۱/۰۹/۰۵ ۱۴:۱۳:۲۴,/Reports/Decision.aspx?LetterSerial=hpn8nQc195imHfpe90qvRg%3d%3d&rt=0&let=58&ct=0&ft=-1
951604,غشهداب,کشت و صنعت شهداب ناب خراسان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۵:۵۳:۲۸,۱۴۰۱/۰۸/۰۵ ۱۵:۵۳:۲۸,/Reports/Decision.aspx?LetterSerial=rK6QQQaQQQKtb7t7yNgJsNEUKUVw%3d%3d&rt=0&let=58&ct=0&ft=-1
