TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075048,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۰:۲۷:۲۰,۱۴۰۲/۰۶/۰۵ ۱۰:۲۷:۲۰,/Reports/Decision.aspx?LetterSerial=eJttbF8rAFiQQQaQQQnjT40UPOMA%3d%3d&rt=0&let=58&ct=0&ft=-1
1063144,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۲۰:۱۷,۱۴۰۲/۰۵/۰۴ ۱۵:۲۰:۱۷,/Reports/Decision.aspx?LetterSerial=iekLzoboNoB8lBODRRqQQQaQQQ7w%3d%3d&rt=0&let=58&ct=0&ft=-1
1057660,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۶ ۰۹:۵۱:۴۷,۱۴۰۲/۰۴/۲۶ ۰۹:۵۱:۴۷,/Reports/Decision.aspx?LetterSerial=6AofQQQaQQQx6OKICekULbyyH9PQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044622,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۷:۲۵:۳۴,۱۴۰۲/۰۴/۰۵ ۱۷:۲۵:۳۴,/Reports/Decision.aspx?LetterSerial=vKNUvM%2biB2fAx4scnQjqqQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1028724,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۶:۱۹:۰۹,۱۴۰۲/۰۳/۰۴ ۱۶:۱۹:۰۹,/Reports/Decision.aspx?LetterSerial=yqNBEJ4jOLuku2ocOnJJqw%3d%3d&rt=0&let=58&ct=0&ft=-1
1019427,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۴:۳۹:۵۱,۱۴۰۲/۰۲/۱۰ ۱۴:۳۹:۵۱,/Reports/Decision.aspx?LetterSerial=z54mI9rA2EvRpABq%2b1kwAg%3d%3d&rt=0&let=58&ct=0&ft=-1
1006214,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۰:۴۷:۴۸,۱۴۰۲/۰۱/۰۵ ۱۰:۴۷:۴۸,/Reports/Decision.aspx?LetterSerial=6TMPfHjIYXDhP9fkHxfJMA%3d%3d&rt=0&let=58&ct=0&ft=-1
995239,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۰۸:۴۱:۲۹,۱۴۰۱/۱۲/۰۴ ۰۸:۴۱:۲۹,/Reports/Decision.aspx?LetterSerial=OEOdT%2bUWEDVxhGMZW42RJQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986724,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۵۶:۵۹,۱۴۰۱/۱۱/۰۵ ۱۵:۵۶:۵۹,/Reports/Decision.aspx?LetterSerial=iIYbhy4Q%2bUQkZ3XN3vBI5g%3d%3d&rt=0&let=58&ct=0&ft=-1
981229,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۱ ۱۴:۲۸:۳۶,۱۴۰۱/۱۰/۲۱ ۱۴:۲۸:۳۶,/Reports/Decision.aspx?LetterSerial=US%2boMLHKgVjWiYBcTBrryw%3d%3d&rt=0&let=58&ct=0&ft=-1
974242,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۱:۵۳:۴۶,۱۴۰۱/۱۰/۰۵ ۱۱:۵۳:۴۶,/Reports/Decision.aspx?LetterSerial=6QwHqVlYw6pUdfWy9JbFkw%3d%3d&rt=0&let=58&ct=0&ft=-1
962061,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۷:۲۹:۰۴,۱۴۰۱/۰۹/۰۵ ۱۷:۲۹:۰۴,/Reports/Decision.aspx?LetterSerial=DRbU36zEc%2bhCL6vZS9STgQ%3d%3d&rt=0&let=58&ct=0&ft=-1
960440,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۰۸:۴۴:۳۵,۱۴۰۱/۰۸/۳۰ ۰۸:۴۴:۳۵,/Reports/Decision.aspx?LetterSerial=wqpyeQQQaQQQBLMzqI0ytkh6ul1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
951649,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۵:۲۱:۰۸,۱۴۰۱/۰۸/۰۵ ۱۵:۲۱:۰۸,/Reports/Decision.aspx?LetterSerial=Qc8C97LGBgoF2m82eXdyGA%3d%3d&rt=0&let=58&ct=0&ft=-1
948140,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۲:۵۸:۵۳,۱۴۰۱/۰۷/۳۰ ۱۲:۵۸:۵۳,/Reports/Decision.aspx?LetterSerial=JUqyoHnAZIV8GkPVMBpRxg%3d%3d&rt=0&let=58&ct=0&ft=-1
941572,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۵ ۱۵:۴۸:۴۱,۱۴۰۱/۰۷/۰۵ ۱۵:۴۸:۴۱,/Reports/Decision.aspx?LetterSerial=Yr87QQQaQQQNiH%2b2IQQQaQQQTRZTStiPLg%3d%3d&rt=0&let=58&ct=0&ft=-1
930366,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۰:۱۶:۵۵,۱۴۰۱/۰۶/۰۵ ۱۰:۱۶:۵۵,/Reports/Decision.aspx?LetterSerial=WXwSh812QQQaQQQVet8knC6sGVzg%3d%3d&rt=0&let=58&ct=0&ft=-1
918629,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۰۷:۵۵:۵۹,۱۴۰۱/۰۵/۰۵ ۰۷:۵۵:۵۹,/Reports/Decision.aspx?LetterSerial=B7CCOo4Rs2UQ5SGVaIwesw%3d%3d&rt=0&let=58&ct=0&ft=-1
916080,غفارس,شیر پاستوریزه پگاه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۲:۵۷:۴۲,۱۴۰۱/۰۴/۳۰ ۱۲:۵۷:۴۲,/Reports/Decision.aspx?LetterSerial=1dydW%2bb6K3x5l14GkVQ7Iw%3d%3d&rt=0&let=58&ct=0&ft=-1
