TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075812,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۳۳:۵۸,۱۴۰۲/۰۶/۰۵ ۱۸:۳۳:۵۸,/Reports/Decision.aspx?LetterSerial=XfOKyW3RWOj0QQQaQQQjD4Z2F16A%3d%3d&rt=0&let=58&ct=0&ft=-1
1064148,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۴:۱۰:۵۲,۱۴۰۲/۰۵/۰۴ ۱۴:۱۰:۵۲,/Reports/Decision.aspx?LetterSerial=DcSZPzNa4TTHp5mZr0F5RQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1059700,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۱۸:۱۵:۰۹,۱۴۰۲/۰۴/۲۸ ۱۸:۱۵:۰۹,/Reports/Decision.aspx?LetterSerial=6Nz8tpo39gWISTe8nuiLQQQaQQQw%3d%3d&rt=0&let=58&ct=0&ft=-1
1051504,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۴ ۱۸:۴۹:۰۹,۱۴۰۲/۰۴/۱۴ ۱۸:۴۹:۰۹,/Reports/Decision.aspx?LetterSerial=CV0kxUH7a5A1dh3%2bL3D48w%3d%3d&rt=0&let=58&ct=0&ft=-1
1045712,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۷:۳۱:۱۲,۱۴۰۲/۰۴/۰۵ ۱۷:۳۱:۱۲,/Reports/Decision.aspx?LetterSerial=tmJWmTGfN9Y2P7r4W1NJ8g%3d%3d&rt=0&let=58&ct=0&ft=-1
1030973,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۲:۵۶:۴۵,۱۴۰۲/۰۳/۰۴ ۱۲:۵۶:۴۵,/Reports/Decision.aspx?LetterSerial=JQvcE1OWjOdVeTknSh%2bqcw%3d%3d&rt=0&let=58&ct=0&ft=-1
1027376,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۹ ۱۵:۱۲:۵۱,۱۴۰۲/۰۲/۲۹ ۱۵:۱۲:۵۱,/Reports/Decision.aspx?LetterSerial=7eP50MQQQaQQQd2euJ78dvmfQQQaQQQAeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016846,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۷:۴۶:۰۷,۱۴۰۲/۰۲/۰۵ ۱۷:۴۶:۰۷,/Reports/Decision.aspx?LetterSerial=hYrWgkT8bho928qhQlG4kQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1005921,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۱:۰۵:۱۵,۱۴۰۲/۰۱/۰۸ ۱۱:۰۵:۱۵,/Reports/Decision.aspx?LetterSerial=d1h7SNKerUHzH03BVyffrg%3d%3d&rt=0&let=58&ct=0&ft=-1
1000532,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۱۵ ۱۰:۰۴:۵۶,۱۴۰۱/۱۲/۱۵ ۱۰:۰۴:۵۶,/Reports/Decision.aspx?LetterSerial=HRTFkj%2b2xAL7fNVVrVFuGw%3d%3d&rt=0&let=58&ct=0&ft=-1
996406,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۸:۴۴:۵۳,۱۴۰۱/۱۲/۰۳ ۱۸:۴۴:۵۳,/Reports/Decision.aspx?LetterSerial=X8tE6QQQaQQQQjv4nQQQaQQQmvqN9y1LHQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987920,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۸:۵۲:۱۱,۱۴۰۱/۱۱/۰۵ ۱۸:۵۲:۱۱,/Reports/Decision.aspx?LetterSerial=9xhgdcrvBRelZBH1QQQaQQQFCQDg%3d%3d&rt=0&let=58&ct=0&ft=-1
984489,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۳:۵۱:۵۹,۱۴۰۱/۱۰/۲۹ ۱۳:۵۱:۵۹,/Reports/Decision.aspx?LetterSerial=RQQQaQQQ3rdAaShl4PXuKhQbGxvQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974524,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۲:۳۲:۴۰,۱۴۰۱/۱۰/۰۴ ۱۲:۳۲:۴۰,/Reports/Decision.aspx?LetterSerial=0sI2u05U%2b4XMuMf1GJ1AOw%3d%3d&rt=0&let=58&ct=0&ft=-1
962994,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۵:۱۶:۱۴,۱۴۰۱/۰۹/۰۵ ۱۵:۱۶:۱۴,/Reports/Decision.aspx?LetterSerial=tjrc%2bD4Vo24TotQLCpP3NQ%3d%3d&rt=0&let=58&ct=0&ft=-1
951371,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۸:۱۲:۱۳,۱۴۰۱/۰۸/۰۴ ۱۸:۱۲:۱۳,/Reports/Decision.aspx?LetterSerial=hI4kyyRsJOMDpxEP3PKNwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
948142,غمهرا,گروه تولیدی مهرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۸ ۱۲:۱۹:۵۳,۱۴۰۱/۰۷/۲۸ ۱۲:۱۹:۵۳,/Reports/Decision.aspx?LetterSerial=EqmHS1SuFXFLXSE%2bMABnHg%3d%3d&rt=0&let=58&ct=0&ft=-1
