TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075976,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۴:۲۷:۵۴,۱۴۰۲/۰۶/۰۶ ۱۴:۲۷:۵۴,/Reports/Decision.aspx?LetterSerial=i5k%2b1UO1W1VNR700nfb%2bEQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063760,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۴۹:۲۶,۱۴۰۲/۰۵/۰۴ ۱۲:۴۹:۲۶,/Reports/Decision.aspx?LetterSerial=xZutYmzEs34XpOhX4FSCGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1048603,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۰ ۱۱:۳۰:۰۶,۱۴۰۲/۰۴/۲۰ ۱۱:۳۰:۰۶,/Reports/Decision.aspx?LetterSerial=0ZEQQQaQQQc4aTT3UByRO1dEbqgA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046402,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۴:۱۰:۰۸,۱۴۰۲/۰۴/۰۶ ۱۴:۱۰:۰۸,/Reports/Decision.aspx?LetterSerial=Cpal3yVGpMRkipXs7Djj2w%3d%3d&rt=0&let=58&ct=0&ft=-1
1029636,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۴:۴۹:۲۳,۱۴۰۲/۰۳/۰۶ ۱۴:۴۹:۲۳,/Reports/Decision.aspx?LetterSerial=NCWb2yVEBp0dPY9wAX8xjA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017332,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۴:۱۰:۱۵,۱۴۰۲/۰۲/۰۶ ۱۴:۱۰:۱۵,/Reports/Decision.aspx?LetterSerial=c9Ec4Ypc6YCII4KWCReyDw%3d%3d&rt=0&let=58&ct=0&ft=-1
1004492,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۵:۰۹:۳۵,۱۴۰۱/۱۲/۲۸ ۱۵:۰۹:۳۵,/Reports/Decision.aspx?LetterSerial=QEipChx1CeTka2yttQQQaQQQxf3A%3d%3d&rt=0&let=58&ct=0&ft=-1
996755,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۵:۱۲:۳۹,۱۴۰۱/۱۲/۰۶ ۱۵:۱۲:۳۹,/Reports/Decision.aspx?LetterSerial=ICfSU0QCAnvuHR083D6nqQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987373,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۵۵:۱۶,۱۴۰۱/۱۱/۰۵ ۱۵:۵۵:۱۶,/Reports/Decision.aspx?LetterSerial=gZSoOdO5MQmUt72wn6QJ4A%3d%3d&rt=0&let=58&ct=0&ft=-1
974676,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۵:۱۵:۵۶,۱۴۰۱/۱۰/۰۴ ۱۵:۱۵:۵۶,/Reports/Decision.aspx?LetterSerial=2klqhDOyxkJT3Qh7E27E0w%3d%3d&rt=0&let=58&ct=0&ft=-1
962931,غنیلی,مجتمع تولیدی نیلی صنعت کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۲:۳۴:۴۵,۱۴۰۱/۰۹/۰۵ ۱۲:۳۴:۴۵,/Reports/Decision.aspx?LetterSerial=QQQaQQQHbrizfBAUQH5dcZdCIGgA%3d%3d&rt=0&let=58&ct=0&ft=-1
