TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075273,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۲:۵۳:۰۲,۱۴۰۲/۰۶/۰۵ ۱۲:۵۳:۰۲,/Reports/Decision.aspx?LetterSerial=L%2bmpLIi2WVIffs0dxQZrBg%3d%3d&rt=0&let=58&ct=0&ft=-1
1064048,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۱:۰۵:۲۰,۱۴۰۲/۰۵/۰۴ ۱۱:۰۵:۲۰,/Reports/Decision.aspx?LetterSerial=SgAOP3i7pMob2GFpKRd5xw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045833,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۰۳:۵۸,۱۴۰۲/۰۴/۰۵ ۱۵:۰۳:۵۸,/Reports/Decision.aspx?LetterSerial=jlurH7tlHNU0HivHGY3XAA%3d%3d&rt=0&let=58&ct=0&ft=-1
1043691,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۱ ۰۸:۴۵:۴۴,۱۴۰۲/۰۴/۰۱ ۰۸:۴۵:۴۴,/Reports/Decision.aspx?LetterSerial=TjMgXsG7YA1inLWGDOyijQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031277,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۰۹:۴۰:۳۰,۱۴۰۲/۰۳/۰۶ ۰۹:۴۰:۳۰,/Reports/Decision.aspx?LetterSerial=uycZK6sJt%2bWjX2F4LrM6Dw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016475,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۴:۰۵:۲۳,۱۴۰۲/۰۲/۰۵ ۱۴:۰۵:۲۳,/Reports/Decision.aspx?LetterSerial=xeS8v0TRag2iTc9sp0wysA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006173,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۰:۳۰:۵۷,۱۴۰۲/۰۱/۰۵ ۱۰:۳۰:۵۷,/Reports/Decision.aspx?LetterSerial=D7tRMMq0f1R3hU3sylzrWA%3d%3d&rt=0&let=58&ct=0&ft=-1
996608,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۱:۲۹:۲۵,۱۴۰۱/۱۲/۰۶ ۱۱:۲۹:۲۵,/Reports/Decision.aspx?LetterSerial=C6ECn9ZaUehw6t2KPXmSqQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987614,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۴۱:۰۹,۱۴۰۱/۱۱/۰۵ ۱۳:۴۱:۰۹,/Reports/Decision.aspx?LetterSerial=vQQQaQQQdzCcXoaFPutSp30ZLoTA%3d%3d&rt=0&let=58&ct=0&ft=-1
974543,غویتا,ویتانا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۴:۰۴:۱۹,۱۴۰۱/۱۰/۰۴ ۱۴:۰۴:۱۹,/Reports/Decision.aspx?LetterSerial=PlMlYbdEx4DgMBAQQQaQQQeut2rQ%3d%3d&rt=0&let=58&ct=0&ft=-1
