TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074578,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۴:۱۵:۴۸,۱۴۰۲/۰۶/۰۴ ۱۴:۱۵:۴۸,/Reports/Decision.aspx?LetterSerial=eqWIEpYuowLhVIh70aY7Ww%3d%3d&rt=0&let=58&ct=0&ft=-1
1062690,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۰:۱۳:۱۶,۱۴۰۲/۰۵/۰۳ ۱۰:۱۳:۱۶,/Reports/Decision.aspx?LetterSerial=3dBsni9blSLJ1jQQQaQQQtHMHqKQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044621,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۴:۲۸:۵۶,۱۴۰۲/۰۴/۰۴ ۱۴:۲۸:۵۶,/Reports/Decision.aspx?LetterSerial=NIlJHTlfuQNSoQQQaQQQKri3slUA%3d%3d&rt=0&let=58&ct=0&ft=-1
1030959,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۲:۲۹:۳۵,۱۴۰۲/۰۳/۰۴ ۱۲:۲۹:۳۵,/Reports/Decision.aspx?LetterSerial=VtIEwB2U0HVt4otm5oM0wg%3d%3d&rt=0&let=58&ct=0&ft=-1
1016721,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۲:۳۸:۴۷,۱۴۰۲/۰۲/۰۶ ۱۲:۳۸:۴۷,/Reports/Decision.aspx?LetterSerial=YQQQaQQQCV%2bscVkFlGm9u7FcaE7Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1005863,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۳:۲۰:۲۷,۱۴۰۲/۰۱/۰۵ ۱۳:۲۰:۲۷,/Reports/Decision.aspx?LetterSerial=OUvum2qIVBPUcHSBYChVTA%3d%3d&rt=0&let=58&ct=0&ft=-1
995479,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۱:۲۵:۰۷,۱۴۰۱/۱۲/۰۴ ۱۱:۲۵:۰۷,/Reports/Decision.aspx?LetterSerial=tpEgbIQGv7wdt%2bm41FlNWw%3d%3d&rt=0&let=58&ct=0&ft=-1
987380,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۰۹:۲۲,۱۴۰۱/۱۱/۰۵ ۱۴:۰۹:۲۲,/Reports/Decision.aspx?LetterSerial=jpgRl8HkRiIwuUuL1%2bJr0w%3d%3d&rt=0&let=58&ct=0&ft=-1
986567,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۶:۵۷:۳۰,۱۴۰۱/۱۱/۰۴ ۱۶:۵۷:۳۰,/Reports/Decision.aspx?LetterSerial=gEIQQQaQQQ2wC3yCsQpGKd5Quvqg%3d%3d&rt=0&let=58&ct=0&ft=-1
974744,غپینو,صنعتی پارس مینو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۷:۱۴:۴۳,۱۴۰۱/۱۰/۰۵ ۱۷:۱۴:۴۳,/Reports/Decision.aspx?LetterSerial=OZpU%2b9CQ54I75AigtD3Edw%3d%3d&rt=0&let=58&ct=0&ft=-1
