TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1073837,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۸:۴۴:۵۱,۱۴۰۲/۰۶/۰۷ ۱۸:۴۴:۵۱,/Reports/Decision.aspx?LetterSerial=WgUG86RoFUGj50su6nKnBw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064469,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۸:۱۲:۳۸,۱۴۰۲/۰۵/۰۴ ۱۸:۱۲:۳۸,/Reports/Decision.aspx?LetterSerial=fqDvlsQQQaQQQtUitqbal7HS%2bpBw%3d%3d&rt=0&let=58&ct=0&ft=-1
1046076,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۰۹:۰۱:۵۵,۱۴۰۲/۰۴/۰۶ ۰۹:۰۱:۵۵,/Reports/Decision.aspx?LetterSerial=hgqiDePYfskjkcj8R8ZCBg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031252,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۶:۰۰:۳۴,۱۴۰۲/۰۳/۰۷ ۱۶:۰۰:۳۴,/Reports/Decision.aspx?LetterSerial=uPcsANAaM1TVj8egT0cm9A%3d%3d&rt=0&let=58&ct=0&ft=-1
1027341,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۸:۳۵:۰۳,۱۴۰۲/۰۲/۲۸ ۱۸:۳۵:۰۳,/Reports/Decision.aspx?LetterSerial=fuTnAc0Dl3O%2bxX7%2b3jXJRw%3d%3d&rt=0&let=58&ct=0&ft=-1
1018444,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۱:۲۶:۰۹,۱۴۰۲/۰۲/۰۹ ۱۱:۲۶:۰۹,/Reports/Decision.aspx?LetterSerial=ceYfPU5%2bbQOUtttQEA2qMQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1005434,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۶ ۱۳:۴۴:۲۱,۱۴۰۲/۰۱/۱۶ ۱۳:۴۴:۲۱,/Reports/Decision.aspx?LetterSerial=0ubVBCVIrt6%2bqWvQQQaQQQhTg9sA%3d%3d&rt=0&let=58&ct=0&ft=-1
996737,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۷:۱۰:۲۱,۱۴۰۱/۱۲/۰۷ ۱۷:۱۰:۲۱,/Reports/Decision.aspx?LetterSerial=F8%2buyOICtgZHClUSJtNzaw%3d%3d&rt=0&let=58&ct=0&ft=-1
986467,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۴۸:۳۱,۱۴۰۱/۱۱/۰۵ ۱۳:۴۸:۳۱,/Reports/Decision.aspx?LetterSerial=mBIY44LiOr5jXIGsFEcS3g%3d%3d&rt=0&let=58&ct=0&ft=-1
973787,غگرجی,بیسکویت گرجی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۰۲:۵۰,۱۴۰۱/۱۰/۰۵ ۱۶:۰۲:۵۰,/Reports/Decision.aspx?LetterSerial=z54EqygBKFjvb9WarMmjJQ%3d%3d&rt=0&let=58&ct=0&ft=-1
