TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076742,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۵:۰۰:۲۲,۱۴۰۲/۰۶/۰۷ ۱۵:۰۰:۲۲,/Reports/Decision.aspx?LetterSerial=KzvbELF9KKPJxOxC8m4HQQQaQQQQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063643,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۳:۱۳:۴۸,۱۴۰۲/۰۵/۰۷ ۱۳:۱۳:۴۸,/Reports/Decision.aspx?LetterSerial=n5tH6%2bFtKXVw3h6rznud6g%3d%3d&rt=0&let=58&ct=0&ft=-1
1045309,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۲۶:۱۸,۱۴۰۲/۰۴/۰۷ ۱۴:۲۶:۱۸,/Reports/Decision.aspx?LetterSerial=h85jOql56xJg7Io1aq4vrQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031571,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۳۸:۰۳,۱۴۰۲/۰۳/۰۷ ۱۷:۳۸:۰۳,/Reports/Decision.aspx?LetterSerial=mkDJkKcaa%2bQQQaQQQNhiQFsiPyew%3d%3d&rt=0&let=58&ct=0&ft=-1
1017949,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۰۹:۵۵:۱۳,۱۴۰۲/۰۲/۱۰ ۰۹:۵۵:۱۳,/Reports/Decision.aspx?LetterSerial=9QQQaQQQvUQQQaQQQ6KYLCzk0Titvni25g%3d%3d&rt=0&let=58&ct=0&ft=-1
1006483,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۷:۳۳:۰۴,۱۴۰۲/۰۱/۰۷ ۱۷:۳۳:۰۴,/Reports/Decision.aspx?LetterSerial=e2K9Q6fmQQQaQQQix60%2bRNUQQiKQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996655,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۹:۲۷:۳۸,۱۴۰۱/۱۲/۰۶ ۱۹:۲۷:۳۸,/Reports/Decision.aspx?LetterSerial=0a8tn61nmTiZZMPfEWBRww%3d%3d&rt=0&let=58&ct=0&ft=-1
987424,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۲۷:۱۴,۱۴۰۱/۱۱/۰۵ ۱۶:۲۷:۱۴,/Reports/Decision.aspx?LetterSerial=X49QSMhab8OUpZJrdQpERg%3d%3d&rt=0&let=58&ct=0&ft=-1
984651,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۸:۲۲:۰۹,۱۴۰۱/۱۰/۲۹ ۱۸:۲۲:۰۹,/Reports/Decision.aspx?LetterSerial=LahxECwfgleGR31IsJTjrg%3d%3d&rt=0&let=58&ct=0&ft=-1
984574,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۴:۲۹:۲۵,۱۴۰۱/۱۰/۲۹ ۱۴:۲۹:۲۵,/Reports/Decision.aspx?LetterSerial=3cDjfbj2XiMklOfAVYG1Rw%3d%3d&rt=0&let=58&ct=0&ft=-1
976204,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۸:۴۱:۰۱,۱۴۰۱/۱۰/۱۰ ۱۸:۴۱:۰۱,/Reports/Decision.aspx?LetterSerial=pmrTSDlk5gGIVgIIQQQaQQQWqEEQ%3d%3d&rt=0&let=58&ct=0&ft=-1
965357,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۹ ۱۰:۵۳:۵۲,۱۴۰۱/۰۹/۰۹ ۱۰:۵۳:۵۲,/Reports/Decision.aspx?LetterSerial=uN2xzjmYV2FGbWMs2F6htA%3d%3d&rt=0&let=58&ct=0&ft=-1
963615,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۵:۴۷:۴۰,۱۴۰۱/۰۹/۰۷ ۱۵:۴۷:۴۰,/Reports/Decision.aspx?LetterSerial=u04sTSFb66FPUVrd%2bywGrg%3d%3d&rt=0&let=58&ct=0&ft=-1
960252,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۱:۵۴:۲۰,۱۴۰۱/۰۸/۳۰ ۱۱:۵۴:۲۰,/Reports/Decision.aspx?LetterSerial=m93t3ebl6EyVasmAMw3POg%3d%3d&rt=0&let=58&ct=0&ft=-1
951607,غگل,گلوکوزان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۰۸:۰۹:۵۳,۱۴۰۱/۰۸/۰۷ ۰۸:۰۹:۵۳,/Reports/Decision.aspx?LetterSerial=QkWWQQQaQQQ8tQ1xtk0jc3egkQQQaQQQKw%3d%3d&rt=0&let=58&ct=0&ft=-1
