TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074856,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۱:۱۲:۵۹,۱۴۰۲/۰۶/۰۴ ۱۱:۱۲:۵۹,/Reports/Decision.aspx?LetterSerial=IHzNK8hYxxtK4TLEg3Nieg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063796,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۵:۰۸:۳۲,۱۴۰۲/۰۵/۰۳ ۱۵:۰۸:۳۲,/Reports/Decision.aspx?LetterSerial=CG6dLG5MoHlKJUgDYdpz2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1060308,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۴:۴۳:۳۸,۱۴۰۲/۰۴/۲۹ ۱۴:۴۳:۳۸,/Reports/Decision.aspx?LetterSerial=Em2eNVB8av6Evm7nkmKoQw%3d%3d&rt=0&let=58&ct=0&ft=-1
1055438,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۱ ۱۰:۵۴:۱۰,۱۴۰۲/۰۴/۲۱ ۱۰:۵۴:۱۰,/Reports/Decision.aspx?LetterSerial=q1uOr9KsteX39KuisnvpHA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045946,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۰:۱۲:۴۲,۱۴۰۲/۰۴/۰۵ ۱۰:۱۲:۴۲,/Reports/Decision.aspx?LetterSerial=K450Zad%2bqyLmA2MIwAcHhQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030252,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۰۲:۰۴,۱۴۰۲/۰۳/۰۳ ۱۱:۰۲:۰۴,/Reports/Decision.aspx?LetterSerial=4l8Hak5JH%2bIRVMOulVHMvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1021745,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۶ ۱۵:۴۹:۴۳,۱۴۰۲/۰۲/۱۶ ۱۵:۴۹:۴۳,/Reports/Decision.aspx?LetterSerial=h0W9BOOk2lT6zrG3ZKwMeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016026,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۳:۰۷:۰۴,۱۴۰۲/۰۲/۰۴ ۱۳:۰۷:۰۴,/Reports/Decision.aspx?LetterSerial=bM7Hqt1UJD%2bPy3gVaYkIHQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1008569,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۰:۵۵:۰۸,۱۴۰۲/۰۱/۰۸ ۱۰:۵۵:۰۸,/Reports/Decision.aspx?LetterSerial=5SS5EeQEn%2bAC2smZ%2bdMiJg%3d%3d&rt=0&let=58&ct=0&ft=-1
996360,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۷:۴۳:۵۰,۱۴۰۱/۱۲/۰۳ ۱۷:۴۳:۵۰,/Reports/Decision.aspx?LetterSerial=WqEhaP8omHYHryXSSWZRzA%3d%3d&rt=0&let=58&ct=0&ft=-1
986458,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۵:۲۸:۱۶,۱۴۰۱/۱۱/۰۳ ۱۵:۲۸:۱۶,/Reports/Decision.aspx?LetterSerial=kBLIFxkFpPKg8y7A2FwWHA%3d%3d&rt=0&let=58&ct=0&ft=-1
981091,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۱ ۱۱:۵۵:۰۷,۱۴۰۱/۱۰/۲۱ ۱۱:۵۵:۰۷,/Reports/Decision.aspx?LetterSerial=D7RaFMrJcq7wigVQQQaQQQjHVsfA%3d%3d&rt=0&let=58&ct=0&ft=-1
974135,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۵:۲۵:۱۸,۱۴۰۱/۱۰/۰۳ ۱۵:۲۵:۱۸,/Reports/Decision.aspx?LetterSerial=AeLTNAQQQaQQQrhKyemqxRrQQQaQQQP0tA%3d%3d&rt=0&let=58&ct=0&ft=-1
963024,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۰:۱۴:۱۸,۱۴۰۱/۰۹/۰۵ ۱۰:۱۴:۱۸,/Reports/Decision.aspx?LetterSerial=isgI94ApyXqRMmFaK2ukbg%3d%3d&rt=0&let=58&ct=0&ft=-1
950831,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۳ ۱۶:۲۴:۳۹,۱۴۰۱/۰۸/۰۳ ۱۶:۲۴:۳۹,/Reports/Decision.aspx?LetterSerial=myxX7AlTUZVG7vYyAaGZ%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
941970,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۶ ۱۶:۲۳:۳۰,۱۴۰۱/۰۷/۰۶ ۱۶:۲۳:۳۰,/Reports/Decision.aspx?LetterSerial=VRgAUAB3h0TLQQQaQQQAKEjpeXzg%3d%3d&rt=0&let=58&ct=0&ft=-1
930365,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۱:۲۱:۲۰,۱۴۰۱/۰۶/۰۵ ۱۱:۲۱:۲۰,/Reports/Decision.aspx?LetterSerial=ltXPwIMcQBPdCGdrLGkVGw%3d%3d&rt=0&let=58&ct=0&ft=-1
917789,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۳ ۰۹:۵۷:۴۲,۱۴۰۱/۰۵/۰۳ ۰۹:۵۷:۴۲,/Reports/Decision.aspx?LetterSerial=kf%2bhQQQaQQQp%2bXTQ8p63lsOFOEMQ%3d%3d&rt=0&let=58&ct=0&ft=-1
911738,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۲ ۰۹:۲۵:۴۴,۱۴۰۱/۰۴/۲۲ ۰۹:۲۵:۴۴,/Reports/Decision.aspx?LetterSerial=wFEODZ7qeUqcG6uiQfgKew%3d%3d&rt=0&let=58&ct=0&ft=-1
901090,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۴ ۱۰:۲۷:۴۳,۱۴۰۱/۰۴/۰۴ ۱۰:۲۷:۴۳,/Reports/Decision.aspx?LetterSerial=xuGtINwhBRUD25WJL2HU4w%3d%3d&rt=0&let=58&ct=0&ft=-1
886753,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۳ ۱۲:۳۷:۰۴,۱۴۰۱/۰۳/۰۳ ۱۲:۳۷:۰۴,/Reports/Decision.aspx?LetterSerial=LtTCgD4iGyqX1Ill1tx%2bhw%3d%3d&rt=0&let=58&ct=0&ft=-1
877209,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۱۱ ۱۶:۲۰:۱۰,۱۴۰۱/۰۲/۱۱ ۱۶:۲۰:۱۰,/Reports/Decision.aspx?LetterSerial=3QQQaQQQsCim8fiUtHqRhWL8gFGg%3D%3D&rt=0&let=58&ct=0&ft=-1
873633,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۴ ۱۷:۰۶:۰۰,۱۴۰۱/۰۲/۰۴ ۱۷:۰۶:۰۰,/Reports/Decision.aspx?LetterSerial=mCvi%2BNauc2i7p3DzLeTlgg%3D%3D&rt=0&let=58&ct=0&ft=-1
864888,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۸ ۱۶:۰۲:۲۲,۱۴۰۱/۰۱/۰۸ ۱۶:۰۲:۲۲,/Reports/Decision.aspx?LetterSerial=%2BEBSyoIQk64lDPqxnJ3r6Q%3D%3D&rt=0&let=58&ct=0&ft=-1
856632,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۴:۳۵:۳۴,۱۴۰۰/۱۲/۰۴ ۱۴:۳۵:۳۴,/Reports/Decision.aspx?LetterSerial=ItlQQQaQQQT1wQQQaQQQy9tiwuz8tFnJEA%3D%3D&rt=0&let=58&ct=0&ft=-1
846365,غگلپا,شیر پاستوریزه پگاه گلپایگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۰:۳۳:۳۵,۱۴۰۰/۱۱/۰۵ ۱۰:۳۳:۳۵,/Reports/Decision.aspx?LetterSerial=oWBYRsFqbfLb5ev8GS4C0g%3D%3D&rt=0&let=58&ct=0&ft=-1
