TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074786,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۰:۰۱:۱۵,۱۴۰۲/۰۶/۰۴ ۱۰:۰۱:۱۵,/Reports/Decision.aspx?LetterSerial=atTG3ugfgQQQaQQQ0pzekaomkFdA%3d%3d&rt=5&let=58&ct=0&ft=-1
1063644,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۵:۲۵:۵۶,۱۴۰۲/۰۵/۰۳ ۱۵:۲۵:۵۶,/Reports/Decision.aspx?LetterSerial=oBgyuyTXIZKWZuErGyIvsQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1046213,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۱۴:۱۳,۱۴۰۲/۰۴/۰۵ ۱۵:۱۴:۱۳,/Reports/Decision.aspx?LetterSerial=SjTXPzrsvP63hChH4NqLjg%3d%3d&rt=5&let=58&ct=0&ft=-1
1030347,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۰۷:۰۱,۱۴۰۲/۰۳/۰۳ ۱۱:۰۷:۰۱,/Reports/Decision.aspx?LetterSerial=cv41jN5loT%2b38g1ewDRNeg%3d%3d&rt=5&let=58&ct=0&ft=-1
1016640,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۰:۴۹:۳۷,۱۴۰۲/۰۲/۰۵ ۱۰:۴۹:۳۷,/Reports/Decision.aspx?LetterSerial=RCqtlnNZhwNkKbr97wQxrA%3d%3d&rt=5&let=58&ct=0&ft=-1
1005745,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۰:۰۹:۵۱,۱۴۰۱/۱۲/۲۸ ۱۰:۰۹:۵۱,/Reports/Decision.aspx?LetterSerial=IyRQQQaQQQoIILtExZR6RCWWbRgw%3d%3d&rt=5&let=58&ct=0&ft=-1
996263,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۱۷:۰۱,۱۴۰۱/۱۲/۰۳ ۱۶:۱۷:۰۱,/Reports/Decision.aspx?LetterSerial=G6fFMlis578vIm5D6sT8NA%3d%3d&rt=5&let=58&ct=0&ft=-1
988262,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۸ ۱۱:۳۱:۰۱,۱۴۰۱/۱۱/۰۸ ۱۱:۳۱:۰۱,/Reports/Decision.aspx?LetterSerial=nm1LoMNfngNmbPJ%2bQJK5kQ%3d%3d&rt=5&let=58&ct=0&ft=-1
986921,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۳:۱۴:۰۵,۱۴۰۱/۱۱/۰۴ ۱۳:۱۴:۰۵,/Reports/Decision.aspx?LetterSerial=xP%2b60XDQQQaQQQkOw12XzaZXqBrw%3d%3d&rt=5&let=58&ct=0&ft=-1
975300,فاذر,صنایع آذرآب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۵:۳۳:۱۳,۱۴۰۱/۱۰/۰۵ ۱۵:۳۳:۱۳,/Reports/Decision.aspx?LetterSerial=hOhUb9kUlSznRcR2GQUXOw%3d%3d&rt=5&let=58&ct=0&ft=-1
