TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075481,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۶:۰۳:۴۴,۱۴۰۲/۰۶/۰۵ ۱۶:۰۳:۴۴,/Reports/Decision.aspx?LetterSerial=WlKvldZBNCVcicrV%2bBSQ1g%3d%3d&rt=5&let=58&ct=0&ft=-1
1063553,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۱:۳۶:۰۹,۱۴۰۲/۰۵/۰۳ ۱۱:۳۶:۰۹,/Reports/Decision.aspx?LetterSerial=0ftnC5PL6UuUMIup5Movkw%3d%3d&rt=5&let=58&ct=0&ft=-1
1046327,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۱۵:۴۲,۱۴۰۲/۰۴/۰۵ ۱۵:۱۵:۴۲,/Reports/Decision.aspx?LetterSerial=1EQQQaQQQGP1LOStWQQQaQQQdAoj0ZBx3g%3d%3d&rt=5&let=58&ct=0&ft=-1
1031083,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۵:۱۸:۳۸,۱۴۰۲/۰۳/۰۴ ۱۵:۱۸:۳۸,/Reports/Decision.aspx?LetterSerial=ag21Kt2UTwc57ST8MJQNZQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1017064,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۶:۴۵:۲۴,۱۴۰۲/۰۲/۰۵ ۱۶:۴۵:۲۴,/Reports/Decision.aspx?LetterSerial=TPQQQaQQQijPyJdRSVJTkiTOIAQg%3d%3d&rt=5&let=58&ct=0&ft=-1
1006032,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۶:۵۲:۰۵,۱۴۰۱/۱۲/۲۸ ۱۶:۵۲:۰۵,/Reports/Decision.aspx?LetterSerial=Qz4KiQQQaQQQgQdqtr5tv8gFLx6w%3d%3d&rt=5&let=58&ct=0&ft=-1
996536,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۵:۰۸:۳۱,۱۴۰۱/۱۲/۰۴ ۱۵:۰۸:۳۱,/Reports/Decision.aspx?LetterSerial=mUJptToQibtZVrLb96KaaQ%3d%3d&rt=5&let=58&ct=0&ft=-1
987618,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۱۰:۱۸,۱۴۰۱/۱۱/۰۵ ۱۳:۱۰:۱۸,/Reports/Decision.aspx?LetterSerial=HFQOG8wHQK0jHZCzsK9gwg%3d%3d&rt=5&let=58&ct=0&ft=-1
975458,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۱۹:۲۷,۱۴۰۱/۱۰/۰۵ ۱۶:۱۹:۲۷,/Reports/Decision.aspx?LetterSerial=HBOrLZZ2r5LWkk3pPBMZyw%3d%3d&rt=5&let=58&ct=0&ft=-1
963305,فاراک,ماشین سازی اراک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۵:۳۲:۳۵,۱۴۰۱/۰۹/۰۵ ۱۵:۳۲:۳۵,/Reports/Decision.aspx?LetterSerial=MGsaW%2byre2OjDAzvIvl4Aw%3d%3d&rt=5&let=58&ct=0&ft=-1
