TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076732,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۷ ۱۱:۳۵:۵۸,۱۴۰۲/۰۶/۰۷ ۱۱:۳۵:۵۸,/Reports/Decision.aspx?LetterSerial=zix4vK5g73krB%2bcRjiBOkw%3d%3d&rt=2&let=8&ct=0&ft=-1
1076705,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۶/۰۷ ۱۱:۰۴:۳۶,۱۴۰۲/۰۶/۰۷ ۱۱:۰۴:۳۶,/Reports/Decision.aspx?LetterSerial=uqIJO9GoiJmN1QQQaQQQknx1IbEw%3d%3d&rt=2&let=8&ct=0&ft=-1
1076642,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۶/۰۷ ۱۰:۴۸:۱۱,۱۴۰۲/۰۶/۰۷ ۱۰:۴۸:۱۱,/Reports/Decision.aspx?LetterSerial=QSpbC90abru1riFRm3AJUg%3d%3d&rt=2&let=8&ct=0&ft=-1
1069995,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۵/۲۸ ۱۴:۲۳:۳۱,۱۴۰۲/۰۵/۲۸ ۱۴:۲۳:۳۱,/Reports/Decision.aspx?LetterSerial=6EQQQaQQQ%2bTQLJhbKpriyu53gAFg%3d%3d&rt=2&let=8&ct=0&ft=-1
1062871,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۱۴:۵۹:۲۷,۱۴۰۲/۰۵/۰۷ ۱۴:۵۹:۲۷,/Reports/Decision.aspx?LetterSerial=PhXU0Q4xgKDwR4S79%2byu%2bw%3d%3d&rt=2&let=8&ct=0&ft=-1
1047171,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۱۱:۴۳:۰۲,۱۴۰۲/۰۴/۰۷ ۱۱:۴۳:۰۲,/Reports/Decision.aspx?LetterSerial=v8EfQxkVydpP0gL8Fk6bCA%3d%3d&rt=2&let=8&ct=0&ft=-1
1032069,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۷ ۱۲:۲۱:۵۲,۱۴۰۲/۰۳/۰۷ ۱۲:۲۱:۵۲,/Reports/Decision.aspx?LetterSerial=WlLJFdR2jn5OQQQaQQQNJkB1FHeQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1018730,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۱۰ ۱۱:۰۰:۳۴,۱۴۰۲/۰۲/۱۰ ۱۱:۰۰:۳۴,/Reports/Decision.aspx?LetterSerial=nsq3WAyi8PQy5TRuCzaKRQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1005746,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۸ ۱۰:۲۵:۵۵,۱۴۰۲/۰۱/۰۸ ۱۰:۲۵:۵۵,/Reports/Decision.aspx?LetterSerial=qliE0VQ%2bxJQk7aPaTDmCJw%3d%3d&rt=2&let=8&ct=0&ft=-1
996644,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۱۰:۵۱:۲۰,۱۴۰۱/۱۲/۰۶ ۱۰:۵۱:۲۰,/Reports/Decision.aspx?LetterSerial=N7cTMJEZjZEv0L%2bBecfKmg%3d%3d&rt=2&let=8&ct=0&ft=-1
988163,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۸ ۰۹:۵۴:۰۹,۱۴۰۱/۱۱/۰۸ ۰۹:۵۴:۰۹,/Reports/Decision.aspx?LetterSerial=c7MPY8z9TZVD0vgxjjSKJA%3d%3d&rt=2&let=8&ct=0&ft=-1
976086,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۱۰ ۱۲:۵۲:۰۹,۱۴۰۱/۱۰/۱۰ ۱۲:۵۲:۰۹,/Reports/Decision.aspx?LetterSerial=vM4QQQaQQQVFeNjv%2bQqznSMKKbNQ%3d%3d&rt=2&let=8&ct=0&ft=-1
964574,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۷ ۱۱:۱۹:۰۵,۱۴۰۱/۰۹/۰۷ ۱۱:۱۹:۰۵,/Reports/Decision.aspx?LetterSerial=VraCgbC7iebGkNPbjUAY1g%3d%3d&rt=2&let=8&ct=0&ft=-1
950550,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۷ ۱۱:۴۶:۴۰,۱۴۰۱/۰۸/۰۷ ۱۱:۴۶:۴۰,/Reports/Decision.aspx?LetterSerial=gMz8UWo2rF2MohC5jKD2ig%3d%3d&rt=2&let=8&ct=0&ft=-1
941775,فارس,صنایع پتروشیمی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۶ ۱۷:۴۱:۲۵,۱۴۰۱/۰۷/۰۶ ۱۷:۴۱:۲۵,/Reports/Decision.aspx?LetterSerial=LoiQx0GCfeBZNusa7w8UEw%3d%3d&rt=2&let=8&ct=0&ft=-1
