TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1073376,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۰:۴۱:۴۰,۱۴۰۲/۰۶/۰۵ ۱۰:۴۱:۴۰,/Reports/Decision.aspx?LetterSerial=nj3zUIlsQCSr4ExdClwz9g%3d%3d&rt=2&let=8&ct=0&ft=-1
1060791,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۰:۲۰:۰۴,۱۴۰۲/۰۵/۰۴ ۱۰:۲۰:۰۴,/Reports/Decision.aspx?LetterSerial=g2kycvklX0QIVgS%2bhwXE8A%3d%3d&rt=2&let=8&ct=0&ft=-1
1048408,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۴/۱۰ ۰۹:۱۸:۱۳,۱۴۰۲/۰۴/۱۰ ۰۹:۱۸:۱۳,/Reports/Decision.aspx?LetterSerial=T9HKPWu4fJnJ4K5D1hyuKg%3d%3d&rt=2&let=8&ct=0&ft=-1
1046146,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۱۴:۲۱:۲۲,۱۴۰۲/۰۴/۰۵ ۱۴:۲۱:۲۲,/Reports/Decision.aspx?LetterSerial=BWwefotUdXsQQQaQQQSunAn52gow%3d%3d&rt=2&let=8&ct=0&ft=-1
1031292,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۰۹:۲۰:۱۹,۱۴۰۲/۰۳/۰۶ ۰۹:۲۰:۱۹,/Reports/Decision.aspx?LetterSerial=0TzGlvPS%2bzoyp5N1eQglxg%3d%3d&rt=2&let=8&ct=0&ft=-1
1014961,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۰۸:۴۲:۰۲,۱۴۰۲/۰۲/۰۴ ۰۸:۴۲:۰۲,/Reports/Decision.aspx?LetterSerial=8pmNGSLAvvqeU%2bNryYjsfg%3d%3d&rt=2&let=8&ct=0&ft=-1
1011122,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۴۰۲/۰۱/۲۰ ۰۸:۳۱:۰۸,۱۴۰۲/۰۱/۲۰ ۰۸:۳۱:۰۸,/Reports/Decision.aspx?LetterSerial=mSmTUL3tbijQQQaQQQgaOQgAn1HQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1005931,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۵ ۱۳:۱۴:۲۸,۱۴۰۲/۰۱/۰۵ ۱۳:۱۴:۲۸,/Reports/Decision.aspx?LetterSerial=15UbWpGz%2b1K9%2bttGYsljlw%3d%3d&rt=2&let=8&ct=0&ft=-1
994277,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۱:۲۵:۱۳,۱۴۰۱/۱۲/۰۳ ۱۱:۲۵:۱۳,/Reports/Decision.aspx?LetterSerial=TwPc3JknQQQaQQQXa%2bNQQQaQQQJdo7BCOw%3d%3d&rt=2&let=8&ct=0&ft=-1
985304,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۱:۰۷:۲۲,۱۴۰۱/۱۱/۰۵ ۱۱:۰۷:۲۲,/Reports/Decision.aspx?LetterSerial=GWObAGVBl9w7tIA3cDVYWw%3d%3d&rt=2&let=8&ct=0&ft=-1
977524,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۱۲ ۱۴:۴۶:۵۱,۱۴۰۱/۱۰/۱۲ ۱۴:۴۶:۵۱,/Reports/Decision.aspx?LetterSerial=weYqL1pD2HsRq4ek%2btXWUQ%3d%3d&rt=2&let=8&ct=0&ft=-1
962286,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۲ ۱۶:۱۸:۱۶,۱۴۰۱/۰۹/۰۲ ۱۶:۱۸:۱۶,/Reports/Decision.aspx?LetterSerial=eNBobHdoRVgrGHTQQQaQQQ5LgIpg%3d%3d&rt=2&let=8&ct=0&ft=-1
950106,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۲ ۱۵:۰۱:۳۳,۱۴۰۱/۰۸/۰۲ ۱۵:۰۱:۳۳,/Reports/Decision.aspx?LetterSerial=ZREC83MHfPF7jmYDU7siTw%3d%3d&rt=2&let=8&ct=0&ft=-1
947318,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۰۷/۲۶ ۱۲:۱۰:۳۸,۱۴۰۱/۰۷/۲۶ ۱۲:۱۰:۳۸,/Reports/Decision.aspx?LetterSerial=oEuQahcCdGxNnNI4ELj8jw%3d%3d&rt=2&let=8&ct=0&ft=-1
940558,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۰,ن-۳۱,۱۴۰۱/۰۷/۰۲ ۱۲:۳۶:۵۸,۱۴۰۱/۰۷/۰۲ ۱۲:۳۶:۵۸,/Reports/Decision.aspx?LetterSerial=eZm5JHFVu2s87Ca56%2bRQHQ%3d%3d&rt=2&let=8&ct=0&ft=-1
936001,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۶/۱۵ ۱۱:۳۴:۰۷,۱۴۰۱/۰۶/۱۵ ۱۱:۳۴:۰۷,/Reports/Decision.aspx?LetterSerial=JVNTZN5ggvg%2bgHrHVw1WyQ%3d%3d&rt=2&let=8&ct=0&ft=-1
928352,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۵ ۱۲:۳۳:۵۱,۱۴۰۱/۰۶/۰۵ ۱۲:۳۳:۵۱,/Reports/Decision.aspx?LetterSerial=jnixBi1RKHxInBQM9YTciw%3d%3d&rt=2&let=8&ct=0&ft=-1
916557,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۵ ۱۳:۰۴:۱۹,۱۴۰۱/۰۵/۰۵ ۱۳:۰۴:۱۹,/Reports/Decision.aspx?LetterSerial=L%2beF3HfHSirC5B32QQQaQQQI4UmA%3d%3d&rt=2&let=8&ct=0&ft=-1
901417,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۴ ۱۵:۳۰:۴۱,۱۴۰۱/۰۴/۰۴ ۱۵:۳۰:۴۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQGw6itGuJuJ3C4mgayh2bg%3d%3d&rt=2&let=8&ct=0&ft=-1
887551,فافق,صنایع مس افق کرمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۴ ۱۸:۰۹:۳۸,۱۴۰۱/۰۳/۰۴ ۱۸:۰۹:۳۸,/Reports/Decision.aspx?LetterSerial=6XL92Ov87PQOjGrnxbCk1A%3d%3d&rt=2&let=8&ct=0&ft=-1
