TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075296,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۲:۵۵:۱۶,۱۴۰۲/۰۶/۰۶ ۱۲:۵۵:۱۶,/Reports/Decision.aspx?LetterSerial=Ce3r2Ycd0aNxGwFv9PCUHg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063492,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۳۶:۴۶,۱۴۰۲/۰۵/۰۴ ۱۵:۳۶:۴۶,/Reports/Decision.aspx?LetterSerial=b8jfM2s5e2QQQaQQQfF0g1eUaAew%3d%3d&rt=0&let=58&ct=0&ft=-1
1060090,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۰۸:۱۲:۲۶,۱۴۰۲/۰۴/۲۹ ۰۸:۱۲:۲۶,/Reports/Decision.aspx?LetterSerial=KrUQ2aWpkmRfj7pluBH6yw%3d%3d&rt=0&let=58&ct=0&ft=-1
1046354,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۵:۰۸:۰۰,۱۴۰۲/۰۴/۰۷ ۱۵:۰۸:۰۰,/Reports/Decision.aspx?LetterSerial=969sWeozbLsramVJHLnevw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030396,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۲:۴۷:۰۷,۱۴۰۲/۰۳/۰۷ ۱۲:۴۷:۰۷,/Reports/Decision.aspx?LetterSerial=JCt6xlvk1oGQQQaQQQfmsFN8HbIQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1015757,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۷:۱۰:۲۴,۱۴۰۲/۰۲/۰۹ ۱۷:۱۰:۲۴,/Reports/Decision.aspx?LetterSerial=Bx0oNGrwlJpeHFfgjbnG3g%3d%3d&rt=0&let=58&ct=0&ft=-1
1008445,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۴:۱۵:۰۳,۱۴۰۲/۰۱/۰۸ ۱۴:۱۵:۰۳,/Reports/Decision.aspx?LetterSerial=nJ2Y8GVQQQaQQQK2QQQaQQQzoYnbHFeWwg%3d%3d&rt=0&let=58&ct=0&ft=-1
993634,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۹:۰۷:۱۳,۱۴۰۱/۱۲/۰۷ ۰۹:۰۷:۱۳,/Reports/Decision.aspx?LetterSerial=GKDZb56rGsTEUZZJGUCtjA%3d%3d&rt=0&let=58&ct=0&ft=-1
985495,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۳۰:۱۰,۱۴۰۱/۱۱/۰۵ ۱۳:۳۰:۱۰,/Reports/Decision.aspx?LetterSerial=ZP%2b4rHJqs4VV%2bzKqGNOcOg%3d%3d&rt=0&let=58&ct=0&ft=-1
977112,فجام,صنعتی جام دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۱ ۱۱:۲۷:۴۰,۱۴۰۱/۱۰/۱۱ ۱۱:۲۷:۴۰,/Reports/Decision.aspx?LetterSerial=6VIrZSir75KFhJ6Il%2bG6Gg%3d%3d&rt=0&let=58&ct=0&ft=-1
