TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075285,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۷:۲۵:۰۸,۱۴۰۲/۰۶/۰۷ ۱۷:۲۵:۰۸,/Reports/Decision.aspx?LetterSerial=XJHQQQaQQQ%2bJkdP4M0rQiZu2hnsQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1062148,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۲۰:۰۵:۰۸,۱۴۰۲/۰۵/۰۷ ۲۰:۰۵:۰۸,/Reports/Decision.aspx?LetterSerial=gxzHQQQaQQQiLPet8W%2blss1clBMg%3d%3d&rt=0&let=58&ct=0&ft=-1
1044479,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۰:۵۵:۴۳,۱۴۰۲/۰۴/۰۷ ۱۰:۵۵:۴۳,/Reports/Decision.aspx?LetterSerial=kK6dysHmKmg2RCn0GJETPQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1028022,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۹:۲۸:۰۶,۱۴۰۲/۰۳/۰۷ ۱۹:۲۸:۰۶,/Reports/Decision.aspx?LetterSerial=hF8wkEHhNVmvMcIS%2bSuMlg%3d%3d&rt=0&let=58&ct=0&ft=-1
1016007,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۵:۴۷:۱۵,۱۴۰۲/۰۲/۱۰ ۱۵:۴۷:۱۵,/Reports/Decision.aspx?LetterSerial=WZn6Ob4jzy2yc3zmPBXGwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1003053,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۰:۲۵:۰۱,۱۴۰۲/۰۱/۰۹ ۱۰:۲۵:۰۱,/Reports/Decision.aspx?LetterSerial=BM6XLUNt4IjUfYMY3cWmHg%3d%3d&rt=0&let=58&ct=0&ft=-1
994885,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۹:۵۹:۴۸,۱۴۰۱/۱۲/۰۷ ۰۹:۵۹:۴۸,/Reports/Decision.aspx?LetterSerial=AwIxxlGbOSAOFxo2iqWagQ%3d%3d&rt=0&let=58&ct=0&ft=-1
985085,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۱۷:۱۲,۱۴۰۱/۱۱/۰۵ ۱۷:۱۷:۱۲,/Reports/Decision.aspx?LetterSerial=LqihRnf7x9g4nsp8RAy45w%3d%3d&rt=0&let=58&ct=0&ft=-1
975938,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۹:۲۵:۱۱,۱۴۰۱/۱۰/۱۰ ۱۹:۲۵:۱۱,/Reports/Decision.aspx?LetterSerial=Koxi4nkyKNhrdZjdWVCdqg%3d%3d&rt=0&let=58&ct=0&ft=-1
972089,فزر,پویا زرکان آق دره,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۹:۱۷:۲۴,۱۴۰۱/۱۰/۱۰ ۱۹:۱۷:۲۴,/Reports/Decision.aspx?LetterSerial=EdIWssXDsi2WV8nLRIjuqA%3d%3d&rt=0&let=58&ct=0&ft=-1
