TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076598,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۵۱:۱۰,۱۴۰۲/۰۶/۰۷ ۱۶:۵۱:۱۰,/Reports/Decision.aspx?LetterSerial=EHrXeVi1R4YKZXkC5KtcKw%3d%3d&rt=0&let=58&ct=0&ft=-1
1065181,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۶:۰۲:۴۴,۱۴۰۲/۰۵/۰۷ ۱۶:۰۲:۴۴,/Reports/Decision.aspx?LetterSerial=QsZVzlehcfd1V5s6RAtWLQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1047689,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۵:۰۸:۰۴,۱۴۰۲/۰۴/۰۷ ۱۵:۰۸:۰۴,/Reports/Decision.aspx?LetterSerial=Mf4yZ8WQQQaQQQRqwHGzNQDECv7g%3d%3d&rt=0&let=58&ct=0&ft=-1
1040668,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۵ ۱۵:۴۸:۱۵,۱۴۰۲/۰۳/۲۵ ۱۵:۴۸:۱۵,/Reports/Decision.aspx?LetterSerial=t%2binYQwy7jvZDdRIdlZD4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1032695,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۹:۱۴:۱۴,۱۴۰۲/۰۳/۰۷ ۱۹:۱۴:۱۴,/Reports/Decision.aspx?LetterSerial=TxH5zIWRyOHnfXatHfp1qg%3d%3d&rt=0&let=58&ct=0&ft=-1
1019558,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۷:۲۹:۵۸,۱۴۰۲/۰۲/۱۰ ۱۷:۲۹:۵۸,/Reports/Decision.aspx?LetterSerial=Os%2boiUkXvJYXnErrUG8sUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1009171,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۸:۵۹:۲۷,۱۴۰۲/۰۱/۰۹ ۱۸:۵۹:۲۷,/Reports/Decision.aspx?LetterSerial=fkbDe7QQQaQQQVE4dnnSdBU49uQQ%3d%3d&rt=0&let=58&ct=0&ft=-1
997151,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۲۱:۰۳:۲۹,۱۴۰۱/۱۲/۰۷ ۲۱:۰۳:۲۹,/Reports/Decision.aspx?LetterSerial=TMegDZoQTKAwsZn7MX6VrQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987325,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۲۰:۱۹:۳۶,۱۴۰۱/۱۱/۰۵ ۲۰:۱۹:۳۶,/Reports/Decision.aspx?LetterSerial=WamnMPyvDXU7wC82xuEyLg%3d%3d&rt=0&let=58&ct=0&ft=-1
984646,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۷:۵۲:۱۳,۱۴۰۱/۱۰/۲۹ ۱۷:۵۲:۱۳,/Reports/Decision.aspx?LetterSerial=xq5M0WKELnOe39z429Ph0A%3d%3d&rt=0&let=58&ct=0&ft=-1
976517,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۴۰:۰۵,۱۴۰۱/۱۰/۱۰ ۱۵:۴۰:۰۵,/Reports/Decision.aspx?LetterSerial=dTakKBMZYVkB2w90i3U1gQ%3d%3d&rt=0&let=58&ct=0&ft=-1
964947,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۹:۱۷:۰۸,۱۴۰۱/۰۹/۰۷ ۱۹:۱۷:۰۸,/Reports/Decision.aspx?LetterSerial=MAsJylQVjK5Zmx6Yv74XdA%3d%3d&rt=0&let=58&ct=0&ft=-1
951965,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۶:۳۲:۱۷,۱۴۰۱/۰۸/۰۷ ۱۶:۳۲:۱۷,/Reports/Decision.aspx?LetterSerial=uHjiCoiaXF5PYnN0YBNVHw%3d%3d&rt=0&let=58&ct=0&ft=-1
949157,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۲۳:۰۴:۰۳,۱۴۰۱/۰۷/۳۰ ۲۳:۰۴:۰۳,/Reports/Decision.aspx?LetterSerial=fnaxj3jODPXX1roiz%2bidtw%3d%3d&rt=0&let=58&ct=0&ft=-1
948360,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۰۹:۳۰:۵۳,۱۴۰۱/۰۷/۳۰ ۰۹:۳۰:۵۳,/Reports/Decision.aspx?LetterSerial=juqdrTnH%2bJsfJVIbWOftFA%3d%3d&rt=0&let=58&ct=0&ft=-1
941219,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۲:۲۸:۳۰,۱۴۰۱/۰۷/۰۹ ۱۲:۲۸:۳۰,/Reports/Decision.aspx?LetterSerial=Gd%2bSXEABV2fiuh1viTXUmw%3d%3d&rt=0&let=58&ct=0&ft=-1
931334,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۷:۰۰:۰۹,۱۴۰۱/۰۶/۰۷ ۱۷:۰۰:۰۹,/Reports/Decision.aspx?LetterSerial=p0JQQQaQQQ%2bK5OFmyvEdEA%2bo0Ykg%3d%3d&rt=0&let=58&ct=0&ft=-1
918770,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۷:۵۹:۴۴,۱۴۰۱/۰۵/۰۵ ۱۷:۵۹:۴۴,/Reports/Decision.aspx?LetterSerial=hK6BgpF2Irgntu663OKXDw%3d%3d&rt=0&let=58&ct=0&ft=-1
916122,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۵:۳۰:۵۷,۱۴۰۱/۰۴/۳۰ ۱۵:۳۰:۵۷,/Reports/Decision.aspx?LetterSerial=S1f4KI0RHn0AXcI1B61h1A%3d%3d&rt=0&let=58&ct=0&ft=-1
903594,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۹:۵۳:۵۱,۱۴۰۱/۰۴/۰۷ ۱۹:۵۳:۵۱,/Reports/Decision.aspx?LetterSerial=4Ec9CCQ6LXzv29YbIlGiUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
892772,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۱۲ ۱۳:۰۵:۱۱,۱۴۰۱/۰۳/۱۲ ۱۳:۰۵:۱۱,/Reports/Decision.aspx?LetterSerial=t5e8LoDM8ELqN9fMDLMW3w%3d%3d&rt=0&let=58&ct=0&ft=-1
892048,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۱۱ ۱۷:۲۱:۲۶,۱۴۰۱/۰۳/۱۱ ۱۷:۲۱:۲۶,/Reports/Decision.aspx?LetterSerial=xtdhqhXWr8xVQQQaQQQKSDnkU0gA%3d%3d&rt=0&let=58&ct=0&ft=-1
888578,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۷:۱۲:۱۴,۱۴۰۱/۰۳/۰۷ ۱۷:۱۲:۱۴,/Reports/Decision.aspx?LetterSerial=F%2bImBGMCLH4tomizVKFOPg%3d%3d&rt=0&let=58&ct=0&ft=-1
876772,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۵:۴۵:۳۱,۱۴۰۱/۰۲/۱۰ ۱۵:۴۵:۳۱,/Reports/Decision.aspx?LetterSerial=4YuIXOhfX9tJI1gqfwy7ww%3D%3D&rt=0&let=58&ct=0&ft=-1
865786,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۱۴:۱۴:۲۵,۱۴۰۱/۰۱/۱۰ ۱۴:۱۴:۲۵,/Reports/Decision.aspx?LetterSerial=DH3fYByiFnQPmd1Q7Ul25g%3D%3D&rt=0&let=58&ct=0&ft=-1
857912,فزرین,زرین معدن آسیا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۱۷:۵۳:۳۷,۱۴۰۰/۱۲/۰۷ ۱۷:۵۳:۳۷,/Reports/Decision.aspx?LetterSerial=akQ8%2Bc66WpJrmL2%2BS1dCNQ%3D%3D&rt=0&let=58&ct=0&ft=-1
