TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1081872,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۲۰ ۰۹:۱۲:۳۴,۱۴۰۲/۰۶/۲۰ ۰۹:۱۲:۳۴,/Reports/Decision.aspx?LetterSerial=M%2bA7zaThLyLxmmXj6CKzyA%3d%3d&rt=0&let=58&ct=0&ft=-1
1076089,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۵:۵۰:۲۰,۱۴۰۲/۰۶/۰۶ ۱۵:۵۰:۲۰,/Reports/Decision.aspx?LetterSerial=nJUGstzRdPOPMbDUyGRUzA%3d%3d&rt=0&let=58&ct=0&ft=-1
1064268,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۱:۱۴:۴۲,۱۴۰۲/۰۵/۰۴ ۱۱:۱۴:۴۲,/Reports/Decision.aspx?LetterSerial=w6tps2JVo9IBACDNx2Jhgg%3d%3d&rt=0&let=58&ct=0&ft=-1
1057583,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۰:۴۷:۴۳,۱۴۰۲/۰۴/۲۹ ۱۰:۴۷:۴۳,/Reports/Decision.aspx?LetterSerial=M2ReL38cMVMQQQaQQQh3gp2ZOU5g%3d%3d&rt=0&let=58&ct=0&ft=-1
1046246,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۵:۱۷:۱۷,۱۴۰۲/۰۴/۰۷ ۱۵:۱۷:۱۷,/Reports/Decision.aspx?LetterSerial=89Lh8QcOidr0YEiQQQaQQQHChfYw%3d%3d&rt=0&let=58&ct=0&ft=-1
1032222,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۵:۲۲:۲۹,۱۴۰۲/۰۳/۰۷ ۱۵:۲۲:۲۹,/Reports/Decision.aspx?LetterSerial=YbF6VxUAEBIjpdmo2AF4sg%3d%3d&rt=0&let=58&ct=0&ft=-1
1023009,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۹ ۰۹:۲۸:۲۷,۱۴۰۲/۰۲/۱۹ ۰۹:۲۸:۲۷,/Reports/Decision.aspx?LetterSerial=DCgCG7O59YXQQQaQQQiDfMtQQQaQQQ2otQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1019479,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۶:۱۰:۳۷,۱۴۰۲/۰۲/۱۰ ۱۶:۱۰:۳۷,/Reports/Decision.aspx?LetterSerial=VuD0hvdsAMCgk2iGp8v3dQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1007021,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۲:۰۳:۲۱,۱۴۰۲/۰۱/۰۹ ۱۲:۰۳:۲۱,/Reports/Decision.aspx?LetterSerial=%2buk92KLscefqQQQaQQQrjadwD72g%3d%3d&rt=0&let=58&ct=0&ft=-1
996977,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۹:۴۱:۲۸,۱۴۰۱/۱۲/۰۷ ۰۹:۴۱:۲۸,/Reports/Decision.aspx?LetterSerial=JgcEJh6mt1Ps08ZNZLp6fg%3d%3d&rt=0&let=58&ct=0&ft=-1
987356,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۱۱:۲۱,۱۴۰۱/۱۱/۰۵ ۱۴:۱۱:۲۱,/Reports/Decision.aspx?LetterSerial=3vLNTpTDtyT0KJ63TRYbcg%3d%3d&rt=0&let=58&ct=0&ft=-1
982198,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۶ ۱۳:۰۷:۳۱,۱۴۰۱/۱۰/۲۶ ۱۳:۰۷:۳۱,/Reports/Decision.aspx?LetterSerial=Uefeoer3JW9lqSewigpQvg%3d%3d&rt=0&let=58&ct=0&ft=-1
974954,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۰:۱۰:۲۳,۱۴۰۱/۱۰/۱۰ ۱۰:۱۰:۲۳,/Reports/Decision.aspx?LetterSerial=XmRJLQQQaQQQpFPrACMVe0HQQQaQQQoteQ%3d%3d&rt=0&let=58&ct=0&ft=-1
973768,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۵ ۰۸:۲۲:۴۰,۱۴۰۱/۱۰/۰۵ ۰۸:۲۲:۴۰,/Reports/Decision.aspx?LetterSerial=kQQQaQQQDrBU4MpQQ5sIiSm3ugrA%3d%3d&rt=0&let=58&ct=0&ft=-1
964948,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۵:۵۶:۰۷,۱۴۰۱/۰۹/۰۷ ۱۵:۵۶:۰۷,/Reports/Decision.aspx?LetterSerial=7U2LbiBDak8HqRxHeuBpeA%3d%3d&rt=0&let=58&ct=0&ft=-1
952138,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۷:۲۶:۴۷,۱۴۰۱/۰۸/۰۷ ۱۷:۲۶:۴۷,/Reports/Decision.aspx?LetterSerial=R9vTkF228KODpOcwdZCTrQ%3d%3d&rt=0&let=58&ct=0&ft=-1
949128,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۲۰:۵۹:۵۴,۱۴۰۱/۰۷/۳۰ ۲۰:۵۹:۵۴,/Reports/Decision.aspx?LetterSerial=UvN9ebb0bM0lJIGtFA4rNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
943040,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۵:۵۹:۵۹,۱۴۰۱/۰۷/۱۰ ۱۵:۵۹:۵۹,/Reports/Decision.aspx?LetterSerial=r9biXoQQQaQQQQQQaQQQ7TVG3Iv3LUmbPQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931437,فسازان,غلتک سازان سپاهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۶:۲۹:۰۷,۱۴۰۱/۰۶/۰۶ ۱۶:۲۹:۰۷,/Reports/Decision.aspx?LetterSerial=zTIgD6CmovsM9E2Zks7C8A%3d%3d&rt=0&let=58&ct=0&ft=-1
