TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074629,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۳ ۰۰:۱۵:۴۰,۱۴۰۲/۰۶/۰۳ ۰۰:۱۵:۴۰,/Reports/Decision.aspx?LetterSerial=DmhYT%2bfnUO91LHcJ9UhsEg%3d%3d&rt=0&let=58&ct=0&ft=-1
1064508,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۲۵:۲۳,۱۴۰۲/۰۵/۰۴ ۱۶:۲۵:۲۳,/Reports/Decision.aspx?LetterSerial=0OVe8fS1ivbX6TI6BDTGTw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045285,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۴:۰۶:۵۹,۱۴۰۲/۰۴/۰۴ ۱۴:۰۶:۵۹,/Reports/Decision.aspx?LetterSerial=Gbna1c12cJ3qW%2b5ts9d1tw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031010,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۵ ۱۱:۱۸:۱۶,۱۴۰۲/۰۳/۰۵ ۱۱:۱۸:۱۶,/Reports/Decision.aspx?LetterSerial=UpuQ33LvZ1%2bhiWDQO8xOHg%3d%3d&rt=0&let=58&ct=0&ft=-1
1016287,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۰:۰۰:۲۷,۱۴۰۲/۰۲/۰۵ ۱۰:۰۰:۲۷,/Reports/Decision.aspx?LetterSerial=Ankd3eAlqC2RxnFeAJHLUA%3d%3d&rt=0&let=58&ct=0&ft=-1
1015010,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۳۰ ۱۱:۴۲:۰۲,۱۴۰۲/۰۱/۳۰ ۱۱:۴۲:۰۲,/Reports/Decision.aspx?LetterSerial=TR43WXJHeRyG0VqETBUIHQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006278,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۲:۲۲:۳۳,۱۴۰۲/۰۱/۰۵ ۱۲:۲۲:۳۳,/Reports/Decision.aspx?LetterSerial=yuK9YRYTfqMUWRneYfqxAg%3d%3d&rt=0&let=58&ct=0&ft=-1
996520,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۹:۳۸:۰۵,۱۴۰۱/۱۲/۰۴ ۱۹:۳۸:۰۵,/Reports/Decision.aspx?LetterSerial=uEIJu0ifPh0bLQhSfDLhWQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986076,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۰:۵۱:۴۴,۱۴۰۱/۱۱/۰۴ ۱۰:۵۱:۴۴,/Reports/Decision.aspx?LetterSerial=FZvgQQQaQQQ6H7mhSe1jYjRchCbw%3d%3d&rt=0&let=58&ct=0&ft=-1
974182,فسبزوار,پارس فولاد سبزوار,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۶:۳۱:۱۰,۱۴۰۱/۱۰/۰۴ ۱۶:۳۱:۱۰,/Reports/Decision.aspx?LetterSerial=cmPUQPEIQQQaQQQYeCjoFcFdszbg%3d%3d&rt=0&let=58&ct=0&ft=-1
