TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076364,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۵:۵۰:۱۲,۱۴۰۲/۰۶/۰۶ ۱۵:۵۰:۱۲,/Reports/Decision.aspx?LetterSerial=MWROYqQItgN9NCMvZJTiOw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064172,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۰۱:۳۸,۱۴۰۲/۰۵/۰۴ ۱۳:۰۱:۳۸,/Reports/Decision.aspx?LetterSerial=QJmQQQaQQQFQIHwdKpP6GYRPdpcQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1045880,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۱۰:۰۱,۱۴۰۲/۰۴/۰۷ ۱۴:۱۰:۰۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQ8kAMQQQaQQQsYggnhNx8Du1yZ1w%3d%3d&rt=0&let=58&ct=0&ft=-1
1030867,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۲۰:۵۶:۴۰,۱۴۰۲/۰۳/۰۷ ۲۰:۵۶:۴۰,/Reports/Decision.aspx?LetterSerial=YSTL2RbX6%2b4aAC6W992rjw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016250,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۵:۰۴:۵۳,۱۴۰۲/۰۲/۰۹ ۱۵:۰۴:۵۳,/Reports/Decision.aspx?LetterSerial=f2Zx%2bQQQaQQQhsmvk2UbAyrTIaCg%3d%3d&rt=0&let=58&ct=0&ft=-1
1006492,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۲۰:۰۲:۳۲,۱۴۰۲/۰۱/۰۹ ۲۰:۰۲:۳۲,/Reports/Decision.aspx?LetterSerial=t0y8vAIqLKEEwp1QKC1poA%3d%3d&rt=0&let=58&ct=0&ft=-1
997235,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۵:۳۱:۳۳,۱۴۰۱/۱۲/۰۷ ۱۵:۳۱:۳۳,/Reports/Decision.aspx?LetterSerial=Xgnx3x%2bzRZoGJpOV2reNrA%3d%3d&rt=0&let=58&ct=0&ft=-1
987502,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۰۸:۴۹,۱۴۰۱/۱۱/۰۵ ۱۲:۰۸:۴۹,/Reports/Decision.aspx?LetterSerial=PQ0FvLeto1dCBxpoQQQaQQQhPjvQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974617,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۶:۰۸:۳۳,۱۴۰۱/۱۰/۱۰ ۱۶:۰۸:۳۳,/Reports/Decision.aspx?LetterSerial=eIlvgb51bEwAIxAKLXozog%3d%3d&rt=0&let=58&ct=0&ft=-1
967587,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۴ ۱۴:۲۵:۳۰,۱۴۰۱/۰۹/۱۴ ۱۴:۲۵:۳۰,/Reports/Decision.aspx?LetterSerial=6s2QQQaQQQ556P0FGUERRR7fsHrA%3d%3d&rt=0&let=58&ct=0&ft=-1
965197,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۸ ۱۲:۰۸:۲۴,۱۴۰۱/۰۹/۰۸ ۱۲:۰۸:۲۴,/Reports/Decision.aspx?LetterSerial=IWMaw2R43Yovd9a0vz%2bdgw%3d%3d&rt=0&let=58&ct=0&ft=-1
961633,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۴:۵۳:۳۳,۱۴۰۱/۰۹/۰۷ ۱۴:۵۳:۳۳,/Reports/Decision.aspx?LetterSerial=AyYIswZIIBblvRTSroLH5w%3d%3d&rt=0&let=58&ct=0&ft=-1
952410,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۱۰ ۱۶:۵۷:۱۰,۱۴۰۱/۰۸/۱۰ ۱۶:۵۷:۱۰,/Reports/Decision.aspx?LetterSerial=QQQaQQQJmxjkYNfhWXPYIz4PspaQ%3d%3d&rt=0&let=58&ct=0&ft=-1
952308,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۸:۵۸:۴۴,۱۴۰۱/۰۸/۰۷ ۱۸:۵۸:۴۴,/Reports/Decision.aspx?LetterSerial=Uo1e3CM0241V%2b%2bjuipKbhA%3d%3d&rt=0&let=58&ct=0&ft=-1
947203,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۶ ۱۰:۳۸:۰۷,۱۴۰۱/۰۷/۲۶ ۱۰:۳۸:۰۷,/Reports/Decision.aspx?LetterSerial=sRFG6UzGzK2IpPA7QYx3Kw%3d%3d&rt=0&let=58&ct=0&ft=-1
942576,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۴:۵۷:۴۳,۱۴۰۱/۰۷/۱۰ ۱۴:۵۷:۴۳,/Reports/Decision.aspx?LetterSerial=fp4uSBOu7XcGFMIeTFFZyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
930995,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۲:۴۲:۵۳,۱۴۰۱/۰۶/۰۶ ۱۲:۴۲:۵۳,/Reports/Decision.aspx?LetterSerial=4p5BRdPTU8G3FdF1hkgrvA%3d%3d&rt=0&let=58&ct=0&ft=-1
917898,فغدیر,آهن و فولاد غدیر ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۳ ۱۱:۲۲:۰۰,۱۴۰۱/۰۵/۰۳ ۱۱:۲۲:۰۰,/Reports/Decision.aspx?LetterSerial=i74QQQaQQQiWUIj3k1BWFwYROfag%3d%3d&rt=0&let=58&ct=0&ft=-1
