TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075112,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۰:۳۱:۳۸,۱۴۰۲/۰۶/۰۵ ۱۰:۳۱:۳۸,/Reports/Decision.aspx?LetterSerial=lb%2bGQQQaQQQ5YB08Sk9MoGkRmvRw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063346,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۰:۴۰:۰۵,۱۴۰۲/۰۵/۰۷ ۱۰:۴۰:۰۵,/Reports/Decision.aspx?LetterSerial=yMeG93hQ8q6DcgbjapI0KQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044093,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۰۸:۳۸:۳۹,۱۴۰۲/۰۴/۰۳ ۰۸:۳۸:۳۹,/Reports/Decision.aspx?LetterSerial=l9BXLQQQaQQQJTfY5BtHZr3zPDqQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029487,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۰۸:۳۵:۲۵,۱۴۰۲/۰۳/۰۲ ۰۸:۳۵:۲۵,/Reports/Decision.aspx?LetterSerial=40tMebEqeJN4WlH5ooxJ8A%3d%3d&rt=0&let=58&ct=0&ft=-1
1015752,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۰۸:۳۱:۳۱,۱۴۰۲/۰۲/۰۴ ۰۸:۳۱:۳۱,/Reports/Decision.aspx?LetterSerial=81hA9u0TDdPcnPMgVgoQQQaQQQHA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006137,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۰۹:۴۳:۱۱,۱۴۰۲/۰۱/۰۶ ۰۹:۴۳:۱۱,/Reports/Decision.aspx?LetterSerial=ynNyLlJRBmLFQQQaQQQgQQQaQQQiuJPFnw%3d%3d&rt=0&let=58&ct=0&ft=-1
995912,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۴:۴۲:۵۳,۱۴۰۱/۱۲/۰۳ ۱۴:۴۲:۵۳,/Reports/Decision.aspx?LetterSerial=yqYGBtoWVnVGlKfj1q8PXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987445,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۳۵:۳۴,۱۴۰۱/۱۱/۰۵ ۱۴:۳۵:۳۴,/Reports/Decision.aspx?LetterSerial=XIi3fWgUYPvZGQQQaQQQMsXI7D6Q%3d%3d&rt=0&let=58&ct=0&ft=-1
975024,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۳:۱۹:۵۱,۱۴۰۱/۱۰/۰۷ ۱۳:۱۹:۵۱,/Reports/Decision.aspx?LetterSerial=e82BH2eGZWf36w%2b4hAXWMA%3d%3d&rt=0&let=58&ct=0&ft=-1
962956,فماک,ماداکتو استیل کرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۲۰:۱۳:۲۹,۱۴۰۱/۰۹/۰۵ ۲۰:۱۳:۲۹,/Reports/Decision.aspx?LetterSerial=OWatj7PfkfRNK7V6UQ51LQ%3d%3d&rt=0&let=58&ct=0&ft=-1
