TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077150,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۸ ۱۶:۰۳:۳۸,۱۴۰۲/۰۶/۰۸ ۱۶:۰۳:۳۸,/Reports/Decision.aspx?LetterSerial=cc8e3hcBa91KMhtQQQaQQQaRWlrg%3d%3d&rt=5&let=58&ct=0&ft=-1
1075144,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۶:۰۸:۴۴,۱۴۰۲/۰۶/۰۴ ۱۶:۰۸:۴۴,/Reports/Decision.aspx?LetterSerial=gJB7Y8OXZaJgUFKFWfcJeg%3d%3d&rt=5&let=58&ct=0&ft=-1
1064399,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۴۰:۴۳,۱۴۰۲/۰۵/۰۴ ۱۲:۴۰:۴۳,/Reports/Decision.aspx?LetterSerial=CA%2bOaKrENaKralataGSYHw%3d%3d&rt=5&let=58&ct=0&ft=-1
1064387,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۳۱:۲۱,۱۴۰۲/۰۵/۰۴ ۱۲:۳۱:۲۱,/Reports/Decision.aspx?LetterSerial=UmVnvc7yYObrUInTJs7Ydw%3d%3d&rt=5&let=58&ct=0&ft=-1
1045050,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۰۹:۱۸:۴۷,۱۴۰۲/۰۴/۰۴ ۰۹:۱۸:۴۷,/Reports/Decision.aspx?LetterSerial=vaB%2bkgJ6nI6a0tNLJ5SwYw%3d%3d&rt=5&let=58&ct=0&ft=-1
1030987,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۶:۴۴:۳۳,۱۴۰۲/۰۳/۰۴ ۱۶:۴۴:۳۳,/Reports/Decision.aspx?LetterSerial=Q4ezWVwyQJD0Hxkhqpl5ow%3d%3d&rt=5&let=58&ct=0&ft=-1
1018858,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۷:۲۵:۳۷,۱۴۰۲/۰۲/۰۹ ۱۷:۲۵:۳۷,/Reports/Decision.aspx?LetterSerial=fSSQQQaQQQrq4gZtXI%2bss1HV93Bg%3d%3d&rt=5&let=58&ct=0&ft=-1
1009156,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۵۷:۱۶,۱۴۰۲/۰۱/۰۹ ۱۳:۵۷:۱۶,/Reports/Decision.aspx?LetterSerial=ISoQQQaQQQrOCQQQaQQQQQQaQQQL01RziAknDvKA%3d%3d&rt=5&let=58&ct=0&ft=-1
996559,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۷:۳۰:۰۵,۱۴۰۱/۱۲/۰۴ ۱۷:۳۰:۰۵,/Reports/Decision.aspx?LetterSerial=xTXffn6y7AWlfQQQaQQQg8V0JJZQ%3d%3d&rt=5&let=58&ct=0&ft=-1
987666,قاسم,قاسم ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۲۵:۱۲,۱۴۰۱/۱۱/۰۵ ۱۳:۲۵:۱۲,/Reports/Decision.aspx?LetterSerial=tUnbY8F2v1IMEdXf8iDDsw%3d%3d&rt=5&let=58&ct=0&ft=-1
