TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074721,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۵:۱۵:۲۲,۱۴۰۲/۰۶/۰۴ ۱۵:۱۵:۲۲,/Reports/Decision.aspx?LetterSerial=Cvd6w0QQQaQQQ5vdcq47DLwODQQQaQQQJw%3d%3d&rt=0&let=58&ct=0&ft=-1
1071398,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۲۸ ۱۲:۱۹:۲۸,۱۴۰۲/۰۵/۲۸ ۱۲:۱۹:۲۸,/Reports/Decision.aspx?LetterSerial=Dk2om%2bPjsaKt%2bsmGNfsyZA%3d%3d&rt=0&let=58&ct=0&ft=-1
1067608,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۲۲ ۱۳:۳۸:۵۱,۱۴۰۲/۰۵/۲۲ ۱۳:۳۸:۵۱,/Reports/Decision.aspx?LetterSerial=7gi%2b9ihmH39JSbOrLY3gzQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063349,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۰:۲۷:۲۴,۱۴۰۲/۰۵/۰۳ ۱۰:۲۷:۲۴,/Reports/Decision.aspx?LetterSerial=5fXoY8Dn2WAXWe4W8JdzRQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044550,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۴:۰۶:۰۹,۱۴۰۲/۰۴/۰۵ ۱۴:۰۶:۰۹,/Reports/Decision.aspx?LetterSerial=QYh2b9HXXZ2hTuvRqu0%2bLg%3d%3d&rt=0&let=58&ct=0&ft=-1
1026561,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۰۱:۲۲,۱۴۰۲/۰۳/۰۳ ۱۵:۰۱:۲۲,/Reports/Decision.aspx?LetterSerial=xZgxsGB%2bHxoz7nOSR3iDCQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1015957,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۱:۳۱:۴۳,۱۴۰۲/۰۲/۰۵ ۱۱:۳۱:۴۳,/Reports/Decision.aspx?LetterSerial=ijXp11duxYMEJ4zM1Vz%2bfA%3d%3d&rt=0&let=58&ct=0&ft=-1
1015061,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۳۰ ۱۲:۱۹:۳۳,۱۴۰۲/۰۱/۳۰ ۱۲:۱۹:۳۳,/Reports/Decision.aspx?LetterSerial=c6QmlDvVbOyee%2b1iFAQQQQaQQQlQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1012000,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۲۱ ۱۳:۲۷:۱۴,۱۴۰۲/۰۱/۲۱ ۱۳:۲۷:۱۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQsylknWI2l24isucccSB7A%3d%3d&rt=0&let=58&ct=0&ft=-1
1004292,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۵ ۱۵:۲۶:۴۷,۱۴۰۱/۱۲/۲۵ ۱۵:۲۶:۴۷,/Reports/Decision.aspx?LetterSerial=wdIQQQaQQQSzb8Qluuhr92kZA31w%3d%3d&rt=0&let=58&ct=0&ft=-1
996202,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۵:۰۰:۲۴,۱۴۰۱/۱۲/۰۳ ۱۵:۰۰:۲۴,/Reports/Decision.aspx?LetterSerial=Nt0KwBrvEmFXQNvLGrpjow%3d%3d&rt=0&let=58&ct=0&ft=-1
985709,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۰۴:۳۸,۱۴۰۱/۱۱/۰۵ ۱۰:۰۴:۳۸,/Reports/Decision.aspx?LetterSerial=lfRY9ZFnp0hcmu866R9QMg%3d%3d&rt=0&let=58&ct=0&ft=-1
984736,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۳۰ ۲۳:۵۴:۳۶,۱۴۰۱/۱۰/۳۰ ۲۳:۵۴:۳۶,/Reports/Decision.aspx?LetterSerial=efTDgewjGqLENsFLrzMv3Q%3d%3d&rt=0&let=58&ct=0&ft=-1
975045,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۵:۴۰:۴۸,۱۴۰۱/۱۰/۰۵ ۱۵:۴۰:۴۸,/Reports/Decision.aspx?LetterSerial=pSv8EAtsQ%2bjvl8HlWlVQQQaQQQZw%3d%3d&rt=0&let=58&ct=0&ft=-1
963427,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۶:۱۱:۲۷,۱۴۰۱/۰۹/۰۵ ۱۶:۱۱:۲۷,/Reports/Decision.aspx?LetterSerial=4D73LQQQaQQQQWQQQaQQQAXl3TELWMmlSQ%3d%3d&rt=0&let=58&ct=0&ft=-1
950709,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۲:۰۴:۰۰,۱۴۰۱/۰۸/۰۵ ۱۲:۰۴:۰۰,/Reports/Decision.aspx?LetterSerial=ZX5coL5XW%2b%2bkxVROugk%2bkg%3d%3d&rt=0&let=58&ct=0&ft=-1
941232,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۱:۵۸:۰۱,۱۴۰۱/۰۷/۰۴ ۱۱:۵۸:۰۱,/Reports/Decision.aspx?LetterSerial=czX81aKS1npS%2bSqgWOicBg%3d%3d&rt=0&let=58&ct=0&ft=-1
931249,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۴:۱۳:۴۰,۱۴۰۱/۰۶/۰۶ ۱۴:۱۳:۴۰,/Reports/Decision.aspx?LetterSerial=SLjbxnl4P2ygtMHbFVbAtQ%3d%3d&rt=0&let=58&ct=0&ft=-1
919513,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۵:۱۱:۰۸,۱۴۰۱/۰۵/۰۵ ۱۵:۱۱:۰۸,/Reports/Decision.aspx?LetterSerial=VJQQQaQQQqnC0Kd5hwxIBNO%2bVxQQQaQQQw%3d%3d&rt=0&let=58&ct=0&ft=-1
919505,قجام,فرآورده های غذائی و قند تربت جام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۴:۵۸:۴۹,۱۴۰۱/۰۵/۰۵ ۱۴:۵۸:۴۹,/Reports/Decision.aspx?LetterSerial=oSeytxeKReeKC%2bg3D8bQQQaQQQaQ%3d%3d&rt=0&let=58&ct=0&ft=-1
