TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074462,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۷:۲۸:۰۴,۱۴۰۲/۰۶/۰۴ ۱۷:۲۸:۰۴,/Reports/Decision.aspx?LetterSerial=qhGKZlEEjTjV6tDAiEAQOg%3d%3d&rt=0&let=58&ct=0&ft=-1
1062136,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۰:۵۶:۱۵,۱۴۰۲/۰۵/۰۲ ۱۰:۵۶:۱۵,/Reports/Decision.aspx?LetterSerial=%2b0Yn7X9Z8mFRG9QO95NvXA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044067,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۵:۱۰:۱۹,۱۴۰۲/۰۴/۰۴ ۱۵:۱۰:۱۹,/Reports/Decision.aspx?LetterSerial=qZZ9tEUTxtQvobSuThZwuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029710,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۰۸:۲۱:۵۱,۱۴۰۲/۰۳/۰۳ ۰۸:۲۱:۵۱,/Reports/Decision.aspx?LetterSerial=5XgnC8MTqqQQQaQQQ308kw4lAyuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1015820,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۳:۲۹:۱۴,۱۴۰۲/۰۲/۰۴ ۱۳:۲۹:۱۴,/Reports/Decision.aspx?LetterSerial=ZjxrClEwDoj%2bIxhXE4FxvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1005448,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۵:۵۴:۴۷,۱۴۰۱/۱۲/۲۸ ۱۵:۵۴:۴۷,/Reports/Decision.aspx?LetterSerial=E%2bQku823x1WcVEoBjcK2gQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996871,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۴:۴۸:۴۰,۱۴۰۱/۱۲/۰۷ ۱۴:۴۸:۴۰,/Reports/Decision.aspx?LetterSerial=twIFDFomwOf035tg95XyIQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996549,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۶:۵۴:۱۲,۱۴۰۱/۱۲/۰۴ ۱۶:۵۴:۱۲,/Reports/Decision.aspx?LetterSerial=ddnSj7CnWBQv3wUYt5xiJQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986582,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۴۴:۲۶,۱۴۰۱/۱۱/۰۵ ۱۷:۴۴:۲۶,/Reports/Decision.aspx?LetterSerial=vxUoKIeQOdPkKBN4eQxwHg%3d%3d&rt=0&let=58&ct=0&ft=-1
974181,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۷:۵۵:۴۵,۱۴۰۱/۱۰/۰۵ ۱۷:۵۵:۴۵,/Reports/Decision.aspx?LetterSerial=4k8eeYooBsyVcN9q1LJioQ%3d%3d&rt=0&let=58&ct=0&ft=-1
962763,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۳ ۱۷:۰۹:۰۴,۱۴۰۱/۰۹/۰۳ ۱۷:۰۹:۰۴,/Reports/Decision.aspx?LetterSerial=petR1TKnCwfGOSeTdOW9PA%3d%3d&rt=0&let=58&ct=0&ft=-1
950806,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۶:۲۹:۳۹,۱۴۰۱/۰۸/۰۴ ۱۶:۲۹:۳۹,/Reports/Decision.aspx?LetterSerial=Nzn8C4Y9ghS7CfR6vuL6XQ%3d%3d&rt=0&let=58&ct=0&ft=-1
940655,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۷:۱۷:۲۰,۱۴۰۱/۰۷/۰۴ ۱۷:۱۷:۲۰,/Reports/Decision.aspx?LetterSerial=bQQQaQQQpooLxn8aeCp2ldlO9kZA%3d%3d&rt=0&let=58&ct=0&ft=-1
928895,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۷:۲۷:۴۵,۱۴۰۱/۰۶/۰۵ ۱۷:۲۷:۴۵,/Reports/Decision.aspx?LetterSerial=r97RMvZ9G5R2VwrNG94hKw%3d%3d&rt=0&let=58&ct=0&ft=-1
919364,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۷:۴۴:۳۲,۱۴۰۱/۰۵/۰۵ ۱۷:۴۴:۳۲,/Reports/Decision.aspx?LetterSerial=fREFSljR5GRc1xDr42Rfug%3d%3d&rt=0&let=58&ct=0&ft=-1
901153,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۱:۵۴:۳۱,۱۴۰۱/۰۴/۰۵ ۱۱:۵۴:۳۱,/Reports/Decision.aspx?LetterSerial=iXTocl1W7zr65dQF4uG%2b2w%3d%3d&rt=0&let=58&ct=0&ft=-1
885091,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۲:۳۶:۴۰,۱۴۰۱/۰۳/۰۴ ۱۲:۳۶:۴۰,/Reports/Decision.aspx?LetterSerial=PdLzeRbeNZFbqUTcVsjYFg%3d%3d&rt=0&let=58&ct=0&ft=-1
883967,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۲۹ ۱۶:۳۳:۰۲,۱۴۰۱/۰۲/۲۹ ۱۶:۳۳:۰۲,/Reports/Decision.aspx?LetterSerial=JjqGQQQaQQQuAFp4yo5Qc2%2bv8r2A%3d%3d&rt=0&let=58&ct=0&ft=-1
873718,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۴ ۱۵:۳۱:۴۲,۱۴۰۱/۰۲/۰۴ ۱۵:۳۱:۴۲,/Reports/Decision.aspx?LetterSerial=2DXu8O8kLQewroFZ%2Bf5lUg%3D%3D&rt=0&let=58&ct=0&ft=-1
864162,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۰/۱۲/۲۶ ۱۹:۵۳:۵۷,۱۴۰۰/۱۲/۲۶ ۱۹:۵۳:۵۷,/Reports/Decision.aspx?LetterSerial=7qCyEcrS1%2Bp5eiuZfeu6vQ%3D%3D&rt=0&let=58&ct=0&ft=-1
856012,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۵ ۱۴:۴۶:۵۹,۱۴۰۰/۱۲/۰۵ ۱۴:۴۶:۵۹,/Reports/Decision.aspx?LetterSerial=RL3dBzHrfNFvS648QQQaQQQ786Rw%3D%3D&rt=0&let=58&ct=0&ft=-1
845760,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۷:۵۵:۱۱,۱۴۰۰/۱۱/۰۵ ۱۷:۵۵:۱۱,/Reports/Decision.aspx?LetterSerial=GwCkHZNtTzRp1SpSXQQQaQQQ1qZA%3D%3D&rt=0&let=58&ct=0&ft=-1
835283,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۱۸:۱۱:۴۰,۱۴۰۰/۱۰/۰۵ ۱۸:۱۱:۴۰,/Reports/Decision.aspx?LetterSerial=EyibUzZroVKw6BlZwoSTvA%3D%3D&rt=0&let=58&ct=0&ft=-1
821674,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۴ ۱۵:۰۱:۵۲,۱۴۰۰/۰۹/۰۴ ۱۵:۰۱:۵۲,/Reports/Decision.aspx?LetterSerial=o9kv%2BN7GdGdQiX2wj2%2Bnww%3D%3D&rt=0&let=58&ct=0&ft=-1
809270,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۴ ۱۶:۰۱:۵۷,۱۴۰۰/۰۸/۰۴ ۱۶:۰۱:۵۷,/Reports/Decision.aspx?LetterSerial=QtGkycQNEQLdZl2lKKo5wA%3D%3D&rt=0&let=58&ct=0&ft=-1
798609,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۴ ۱۶:۲۵:۵۶,۱۴۰۰/۰۷/۰۴ ۱۶:۲۵:۵۶,/Reports/Decision.aspx?LetterSerial=dPI5ZocmB9R80jp8fnyUrw%3D%3D&rt=0&let=58&ct=0&ft=-1
785121,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۴ ۱۳:۴۳:۲۵,۱۴۰۰/۰۶/۰۴ ۱۳:۴۳:۲۵,/Reports/Decision.aspx?LetterSerial=P60ACLQQQQaQQQ15UEy4zgfooJVg%3D%3D&rt=0&let=58&ct=0&ft=-1
776181,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۷:۰۳:۴۳,۱۴۰۰/۰۵/۰۵ ۱۷:۰۳:۴۳,/Reports/Decision.aspx?LetterSerial=7uO4utoYa7vrtjctzsmraQ%3D%3D&rt=0&let=58&ct=0&ft=-1
760864,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۱ ۱۰:۱۵:۱۲,۱۴۰۰/۰۴/۰۱ ۱۰:۱۵:۱۲,/Reports/Decision.aspx?LetterSerial=LgaBBK1seJlJQQQaQQQ5PgiEIXEQ%3D%3D&rt=0&let=58&ct=0&ft=-1
749476,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۸:۳۰:۲۰,۱۴۰۰/۰۳/۰۵ ۱۸:۳۰:۲۰,/Reports/Decision.aspx?LetterSerial=w3f458YmRtX0X8DWs7UixA%3D%3D&rt=0&let=58&ct=0&ft=-1
739053,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۵ ۱۶:۵۰:۵۴,۱۴۰۰/۰۲/۰۵ ۱۶:۵۰:۵۴,/Reports/Decision.aspx?LetterSerial=kblkSmW72pHFgyoQUVsctA%3D%3D&rt=0&let=58&ct=0&ft=-1
730946,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۳۹۹/۱۲/۲۷ ۱۸:۵۶:۴۸,۱۳۹۹/۱۲/۲۷ ۱۸:۵۶:۴۸,/Reports/Decision.aspx?LetterSerial=6PI6QQQaQQQ73lsX8VrPs%2Bv6bzhw%3D%3D&rt=0&let=58&ct=0&ft=-1
724257,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۴ ۱۵:۴۷:۱۹,۱۳۹۹/۱۲/۰۴ ۱۵:۴۷:۱۹,/Reports/Decision.aspx?LetterSerial=y2KBh4wdaHAAgmGQZgNXLw%3D%3D&rt=0&let=58&ct=0&ft=-1
715319,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۵ ۱۴:۵۰:۰۴,۱۳۹۹/۱۱/۰۵ ۱۴:۵۰:۰۴,/Reports/Decision.aspx?LetterSerial=XuIAPHNiJCtgUSALFY7cNA%3D%3D&rt=0&let=58&ct=0&ft=-1
705823,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۵ ۱۵:۳۵:۴۸,۱۳۹۹/۱۰/۰۵ ۱۵:۳۵:۴۸,/Reports/Decision.aspx?LetterSerial=atrrulzkv%2B6ZSFRNEZHAGA%3D%3D&rt=0&let=58&ct=0&ft=-1
697520,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۵ ۱۶:۴۴:۲۱,۱۳۹۹/۰۹/۰۵ ۱۶:۴۴:۲۱,/Reports/Decision.aspx?LetterSerial=PdvAq6KqdFbLZ5lAa5LnrA%3D%3D&rt=0&let=58&ct=0&ft=-1
685730,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۰۵ ۱۷:۴۶:۰۹,۱۳۹۹/۰۸/۰۵ ۱۷:۴۶:۰۹,/Reports/Decision.aspx?LetterSerial=hpixfo5oVRCbK1BTKAWofw%3D%3D&rt=0&let=58&ct=0&ft=-1
675039,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۶/۳۱,ن-۳۰,۱۳۹۹/۰۷/۰۵ ۱۳:۳۰:۵۳,۱۳۹۹/۰۷/۰۵ ۱۳:۳۰:۵۳,/Reports/Decision.aspx?LetterSerial=hS4q2KI3y6wdDWJ3iFc7fg%3D%3D&rt=0&let=58&ct=0&ft=-1
666603,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۵/۳۱,ن-۳۰,۱۳۹۹/۰۶/۰۲ ۱۷:۴۰:۳۹,۱۳۹۹/۰۶/۰۲ ۱۷:۴۰:۳۹,/Reports/Decision.aspx?LetterSerial=ZNmONLGzVHAJsGPeYQQQaQQQLoeQ%3D%3D&rt=0&let=58&ct=0&ft=-1
657939,قزوین,کارخانجات قند قزوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۴/۳۱,ن-۳۰,۱۳۹۹/۰۵/۰۵ ۱۶:۰۲:۰۱,۱۳۹۹/۰۵/۰۵ ۱۶:۰۲:۰۱,/Reports/Decision.aspx?LetterSerial=KC0pe7OzNO7dUJJLk5jXqQ%3D%3D&rt=0&let=58&ct=0&ft=-1
