TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074818,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۰:۳۲:۴۴,۱۴۰۲/۰۶/۰۴ ۱۰:۳۲:۴۴,/Reports/Decision.aspx?LetterSerial=7E2F86g5QQQaQQQTXBC%2bTicj5P1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1059148,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۱ ۱۵:۵۴:۱۱,۱۴۰۲/۰۵/۰۱ ۱۵:۵۴:۱۱,/Reports/Decision.aspx?LetterSerial=c3keHun0zTu%2bOUdYAqM7xw%3d%3d&rt=0&let=58&ct=0&ft=-1
1052997,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۰ ۱۰:۰۴:۰۸,۱۴۰۲/۰۴/۲۰ ۱۰:۰۴:۰۸,/Reports/Decision.aspx?LetterSerial=fW7tCHOKEcyDFTL9WTqdrg%3d%3d&rt=0&let=58&ct=0&ft=-1
1051383,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۰ ۱۰:۰۱:۳۲,۱۴۰۲/۰۴/۲۰ ۱۰:۰۱:۳۲,/Reports/Decision.aspx?LetterSerial=0ocqyU6WKTFzMydkCAtOeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044739,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۵:۵۷:۵۷,۱۴۰۲/۰۴/۰۳ ۱۵:۵۷:۵۷,/Reports/Decision.aspx?LetterSerial=yzK%2bB0PqklMxQQQaQQQ8WHuBWQQQaQQQDw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030372,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۲۷:۲۸,۱۴۰۲/۰۳/۰۳ ۱۱:۲۷:۲۸,/Reports/Decision.aspx?LetterSerial=XVwAdnAgSskBQQQaQQQTw22jWloA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017265,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۰۹:۵۲:۰۵,۱۴۰۲/۰۲/۰۶ ۰۹:۵۲:۰۵,/Reports/Decision.aspx?LetterSerial=GoWG3bjeV5GH0vmMCLRGzw%3d%3d&rt=0&let=58&ct=0&ft=-1
1005190,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۶:۰۶:۰۸,۱۴۰۱/۱۲/۲۸ ۱۶:۰۶:۰۸,/Reports/Decision.aspx?LetterSerial=kR467rfArVAaOTv9FGZrpg%3d%3d&rt=0&let=58&ct=0&ft=-1
995303,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۱۰:۳۵:۵۱,۱۴۰۱/۱۲/۰۲ ۱۰:۳۵:۵۱,/Reports/Decision.aspx?LetterSerial=QvxZEZ1dqJuktw4Yd1V7jA%3d%3d&rt=0&let=58&ct=0&ft=-1
985302,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۱ ۱۶:۳۷:۰۹,۱۴۰۱/۱۱/۰۱ ۱۶:۳۷:۰۹,/Reports/Decision.aspx?LetterSerial=JvK9xVmXOQJcwPGsnJF6UQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974036,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۵:۳۶:۳۵,۱۴۰۱/۱۰/۰۳ ۱۵:۳۶:۳۵,/Reports/Decision.aspx?LetterSerial=%2bx5mN2ElG3S6ST6%2bpx2m3g%3d%3d&rt=0&let=58&ct=0&ft=-1
960614,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۲ ۱۵:۲۹:۴۸,۱۴۰۱/۰۹/۰۲ ۱۵:۲۹:۴۸,/Reports/Decision.aspx?LetterSerial=cemRQsv8wMiXjYgrKksBww%3d%3d&rt=0&let=58&ct=0&ft=-1
956373,قصفها,قند اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۰:۳۱:۴۰,۱۴۰۱/۰۸/۲۱ ۱۰:۳۱:۴۰,/Reports/Decision.aspx?LetterSerial=Sj72%2bQQQaQQQYmuwGGJD6KbXIF1g%3d%3d&rt=0&let=58&ct=0&ft=-1
