TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074653,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۷:۲۴:۴۷,۱۴۰۲/۰۶/۰۴ ۱۷:۲۴:۴۷,/Reports/Decision.aspx?LetterSerial=9XWMWYu8rk4x9XWesxwjHw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063335,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۰۹:۳۷:۴۱,۱۴۰۲/۰۵/۰۴ ۰۹:۳۷:۴۱,/Reports/Decision.aspx?LetterSerial=IPmRMx0BhrG5ZUGUWM9gkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046004,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۵۲:۰۷,۱۴۰۲/۰۴/۰۵ ۱۵:۵۲:۰۷,/Reports/Decision.aspx?LetterSerial=N88sEUo%2bXWtzzZfpiO9Ryg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031086,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۶:۰۶:۴۹,۱۴۰۲/۰۳/۰۴ ۱۶:۰۶:۴۹,/Reports/Decision.aspx?LetterSerial=DXev6mzTwJEDGLGsdmVprw%3d%3d&rt=0&let=58&ct=0&ft=-1
1026090,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۶:۲۸:۱۸,۱۴۰۲/۰۲/۲۸ ۱۶:۲۸:۱۸,/Reports/Decision.aspx?LetterSerial=6e%2bemokUcLxBgmrMr8%2brzQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016735,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۴:۲۴:۴۷,۱۴۰۲/۰۲/۰۵ ۱۴:۲۴:۴۷,/Reports/Decision.aspx?LetterSerial=gZ3joqq5CjQQQaQQQcQQQaQQQitE5bsUkA%3d%3d&rt=0&let=58&ct=0&ft=-1
1009046,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۱:۵۳:۳۴,۱۴۰۲/۰۱/۰۹ ۱۱:۵۳:۳۴,/Reports/Decision.aspx?LetterSerial=bz6yphUjUnLVUQueUdyFig%3d%3d&rt=0&let=58&ct=0&ft=-1
996798,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۲:۱۶:۱۳,۱۴۰۱/۱۲/۰۶ ۱۲:۱۶:۱۳,/Reports/Decision.aspx?LetterSerial=vV7lbhGxjswWVYbwoE9fuA%3d%3d&rt=0&let=58&ct=0&ft=-1
996733,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۱:۵۱:۵۱,۱۴۰۱/۱۲/۰۶ ۱۱:۵۱:۵۱,/Reports/Decision.aspx?LetterSerial=PJNgP9TG9%2bRtN39vhfdenA%3d%3d&rt=0&let=58&ct=0&ft=-1
986783,قچار,فرآورده های غذایی و قند چهارمحال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۴۸:۴۹,۱۴۰۱/۱۱/۰۵ ۱۷:۴۸:۴۹,/Reports/Decision.aspx?LetterSerial=WvjVXjnw7S22XG0TC1ySnw%3d%3d&rt=0&let=58&ct=0&ft=-1
